ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
600518.SH,20180428,20180428,20180331,1,1,1,0.288,0.286,9135184162.23,9135184162.23,,,,,,,,,,,,,,,,12108982.74,12108982.74,,7465191929.87,6468232694.14,,,68397768.04,249066505.07,323849365.34,308783481.31,46862115.97,,,,,,,,,,,1694184607.54,8914057.89,4132125.13,,1698966540.3,281763845.15,1417202695.15,1423085287.87,-5882592.72,-2284864.09,1414917831.06,1420800423.78,-5882592.72,2037721222.08,,,,,,,,,,,,,,,,,,,,,,0
600323.SH,20180427,20180427,20180331,1,1,1,0.4,0.4,1134607317.29,1134607317.29,,,,,,,,,,,,,,,,88158914.94,491718.32,,873346660.45,724548253.76,,,8046503.27,15526752.24,76001542.96,49223608.22,,,,,,,,,,,,387784758.01,1222729.02,480391.89,,388527095.14,75802191.24,312724903.9,308177479.33,4547424.57,,,,,348882111.99,,,,,,,,,,,,,,,,,,,,,,0
600398.SH,20180428,20180428,20180331,1,1,1,0.25,0.25,5786244917.35,5786244917.35,,,,,,,,,,,,,,,-2049253.32,4767261.78,457456.28,,4252163617.76,3477535512.86,,,43032242.76,376525458.61,285617747.04,-12686429.24,82139085.73,,,,,,,,,,,1542560439.89,13334891.47,3808405.28,,1552086926.08,421145675.18,1130941250.9,1130941250.9,,10038874.78,1140980125.68,1140980125.68,,1609233574.08,,,,,,,,,,,,,,,,,,,,,,0
600589.SH,20180424,20180424,20180331,1,1,1,0.046,0.046,357799317.83,357799317.83,,,,,,,,,,,,,,,,300623.26,-6679.48,,320347374.24,271471952.85,,,348623.2,3617979.89,23060989.79,19179296.36,2668532.15,,,,,,,,,,,37752566.85,280.0,,,37752846.85,5070516.5,32682330.35,32684980.46,-2650.11,,32682330.35,32684980.46,-2650.11,59299772.1,,,,,,,,,,,,,,,,,,,,,,0
600467.SH,20180428,20180428,20180331,1,1,1,0.007,0.007,318231739.5,318231739.5,,,,,,,,,,,,,,,,8179658.75,,,317700236.33,267335204.93,,,1572326.42,14739554.78,13711234.55,20739871.74,-397956.09,,,,,,,,,,,8711161.92,2381109.09,160931.62,,10931339.39,646041.8,10285297.59,10426812.33,-141514.74,,10285297.59,10426812.33,-141514.74,20873418.82,,,,,,,,,,,,,,,,,,,,,,0
600545.SH,20180428,20180428,20180331,1,1,1,0.0746,0.0746,2286276000.0,2286276000.0,,,,,,,,,,,,,,,16000.0,-350000.0,-350000.0,,2056566000.0,1682986000.0,,,4743000.0,162513000.0,193044000.0,11594000.0,1686000.0,,,,,,,,,,,229527000.0,693000.0,29000.0,,230191000.0,67132000.0,163059000.0,141448000.0,21611000.0,-32246000.0,130813000.0,109202000.0,21611000.0,242990000.0,,,,,,,,,,,,,,,,,,,,,,0
600348.SH,20180428,20180428,20180331,1,1,1,0.21,0.21,8039683579.0,8039683579.0,,,,,,,,,,,,,,,,30694890.05,30694890.05,,7384570845.86,6585321045.2,,,312985245.89,74688713.91,264467181.93,147108658.93,,,,,,,,,,,,696268942.75,3257604.68,6707766.16,,692818781.27,144681531.07,548137250.2,500739911.28,47397338.92,,548137250.2,500739911.28,47397338.92,812682711.63,,,,,,,,,,,,,,,,,,,,,,0
600493.SH,20180420,20180420,20180331,1,1,1,0.0217,0.0217,174364363.55,174364363.55,,,,,,,,,,,,,,,,,,,170359169.96,152713351.93,,,735078.91,2533679.5,10468750.56,4028956.77,-120647.71,,,,,,,,,,,7108194.59,239940.55,1143.86,,7346991.28,1457344.06,5889647.22,5889647.22,,,5889647.22,5889647.22,,11016503.65,,,,,,,,,,,,,,,,,,,,,,0
600408.SH,20180421,20180421,20180331,1,1,1,0.04,0.04,1765510790.88,1765510790.88,,,,,,,,,,,,,,,,,,,1736375836.46,1562331200.78,,,9676353.27,55269780.84,25375644.82,43578899.46,40143957.29,,,,,,,,,,,31735783.15,21776189.35,5481812.06,,48030160.44,,48030160.44,38803598.52,9226561.92,,48030160.44,38803598.52,9226561.92,115458639.9,,,,,,,,,,,,,,,,,,,,,,0
600567.SH,20180412,20180412,20180331,1,1,1,0.132,0.132,5418906784.65,5418906784.65,,,,,,,,,,,,,,,-233422.8,-4054746.58,,,4900939081.67,4266516842.98,,,60416253.07,239838692.1,187447846.53,191581323.99,-44861877.0,,,,,,,,,,,717554734.91,1151606.62,1278310.1,,717428031.43,111661168.3,605766863.13,605396067.78,370795.35,-703208.34,605063654.79,604692859.44,370795.35,868467819.39,,,,,,,,,,,,,,,,,,,,,,0
