ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
002389.SZ,20120118,20120118,20111231,1,1,4,0.76,0.76,397194769.31,397194769.31,,,,,,,,,,,,,,,-560197.6,171835.21,171835.21,,274886480.79,234910300.3,,,2640978.51,5119379.38,35370846.41,-5306528.09,2151504.28,,,,,,,,,,,121919926.13,3675208.43,675595.24,1677.36,124919539.32,19359468.84,105560070.48,101354421.51,4205648.97,,105560070.48,101354421.51,4205648.97,117001760.43,147841233.87,,,,,,,,,,,,,,,,,,,,,0
002355.SZ,20120118,20120118,20111231,1,1,4,0.56,0.56,1507884857.28,1507884857.28,,,,,,,,,,,,,,,,338533.0,,,1354538311.09,1254656204.82,,,2595277.26,42741441.74,34264792.96,15320461.83,4960132.48,,,,,,,,,,,153685079.19,4260878.61,345729.4,7086.4,157600228.4,39544702.73,118055525.67,117821754.14,233771.53,,118055525.67,117821754.14,233771.53,168667008.02,200491497.5,,,,,,,,,,,,,,,,,,,,,0
600094.SH,20120119,20120119,20111231,1,1,4,0.4608,0.4608,3302711273.01,3302711273.01,,,,,,,,,,,,,,,,4130131.55,301665.42,,1970915305.72,1251792014.05,,,588174471.69,49360602.67,60056562.29,22324777.16,-793122.14,,,,,,,,,,,1335926098.84,4115588.3,3062226.0,253645.07,1336979461.14,339417386.04,997562075.1,696528292.97,301033782.13,,997562075.1,696528292.97,301033782.13,1354120744.45,1360585402.88,,,,,,,,,,,,,,,,,,,,,0
600136.SH,20120119,20120119,20111231,1,1,4,0.11,0.11,65585173.72,65585173.72,,,,,,,,,,,,,,,,,,,61708331.81,53519309.9,,,827190.71,2062404.12,7728357.73,132503.95,-2561434.6,,,,,,,,,,,3876841.91,3432.16,-11758390.36,810.0,15638664.43,2683998.15,12954666.28,11986464.78,968201.5,,12954666.28,11986464.78,968201.5,4009345.86,6708057.61,,,,,,,,,,,,,,,,,,,,,0
600603.SH,20120118,20120118,20111231,1,1,4,-0.11,-0.11,,,,,,,,,,,,,,,,,,,,,9013474.79,,,,,,7881141.87,1132750.56,-417.64,,,,,,,,,,,-9013474.79,,12295395.6,,-21308870.39,,-21308870.39,-21308870.39,,,-21308870.39,-21308870.39,,-7880724.23,-7528181.56,,,,,,,,,,,,,,,,,,,,,0
000892.SZ,20120120,20120120,20111231,1,1,4,0.0015,0.0015,17882349.8,17882349.8,,,,,,,,,,,,,,,,,,,16713559.38,13512108.16,,,267386.29,,2946645.76,-12580.83,,,,,,,,,,,,1168790.42,103703.61,,,1272494.03,641669.1,630824.93,630824.93,,,630824.93,630824.93,,1156209.59,1156209.59,,,,,,,,,,,,,,,,,,,,,0
002479.SZ,20120119,20120119,20111231,1,1,4,0.44,0.44,1165583167.18,1165583167.18,,,,,,,,,,,,,,,,,,,958458633.03,914075348.21,,,1340977.96,716981.34,69514145.99,-27423391.09,234570.62,,,,,,,,,,,207124534.15,20930666.41,4248126.4,,223807074.16,33542107.38,190264966.78,190264966.78,,,190264966.78,190264966.78,,179701143.06,252894576.6,,,,,,,,,,,,,,,,,,,,,0
600317.SH,20120120,20120120,20111231,1,1,4,0.2125,0.2125,2914147231.25,2914147231.25,,,,,,,,,,,,,,,,36376685.24,36376685.24,,2599362956.19,2015599475.12,,,93484794.09,,186061927.53,303430492.14,786267.31,,,,,,,,,,,351160960.3,118739.86,115061.38,94061.38,351164638.78,76377823.8,274786814.98,233266195.01,41520619.97,,274786814.98,233266195.01,41520619.97,618214767.2,1114333414.87,,,,,,,,,,,,,,,,,,,,,0
600687.SH,20120120,20120120,20111231,1,1,4,0.71,0.71,1580880716.79,1580880716.79,,,,,,,,,,,,,,,-9391724.32,37668076.82,-2361652.24,,1478142762.9,1433988658.31,,,37396310.88,9632319.9,18024214.98,-15200529.98,-5698211.19,,,,,,,,,,,131014306.39,291715.88,1718664.78,,129587357.49,30154846.49,99432511.0,90353714.68,9078796.32,,99432511.0,90353714.68,9078796.32,93702089.9,95721054.71,,,,,,,,,,,,,,,,,,,,,0
002014.SZ,20120118,20120118,20111231,1,1,4,0.81,0.8,1513086127.13,1513086127.13,,,,,,,,,,,,,,,,1366444.54,,,1354184427.7,1210645252.47,,,5306071.64,68067204.99,66431389.13,67676.07,3666833.4,,,,,,,,,,,160268143.97,14372284.6,764435.8,595685.79,173875992.77,26083459.02,147792533.75,147844170.7,-51636.95,,147792533.75,147844170.7,-51636.95,158969375.5,202566039.88,,,,,,,,,,,,,,,,,,,,,0
000722.SZ,20120110,20120110,20111231,1,1,4,0.1786,0.1786,188104562.91,188104562.91,,,,,,,,,,,,,,,,9368642.22,9368642.22,,114636238.8,88013385.13,,,4550954.1,,24720974.11,-2110759.46,-538315.08,,,,,,,,,,,82836966.33,58822.45,,,82895788.78,,82895788.78,82895788.78,,,82895788.78,82895788.78,,71357564.65,127748690.12,,,,,,,,,,,,,,,,,,,,,0
002433.SZ,20120120,20120120,20111231,1,1,4,0.74,0.74,417367363.6,417367363.6,,,,,,,,,,,,,,,,,,,332557233.01,240314601.85,,,3647701.55,59941246.62,28299101.38,-1395667.12,1750248.73,,,,,,,,,,,84810130.59,4000209.44,1266065.5,,87544274.53,13391658.95,74152615.58,74152615.58,,,74152615.58,74152615.58,,83414463.47,97473188.7,,,,,,,,,,,,,,,,,,,,,0
300182.SZ,20120117,20120117,20111231,1,1,4,0.94,0.94,471194544.39,471194544.39,,,,,,,,,,,,,,,,,,,371455528.78,279625518.62,,,3827928.19,17223142.28,78377889.65,-10255411.28,2656461.32,,,,,,,,,,,99739015.61,17426940.0,70000.0,,117095955.61,13757757.76,103338197.85,103338197.85,,,103338197.85,103338197.85,,89483604.33,107231416.67,,,,,,,,,,,,,,,,,,,,,0
