ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
000047.SZ,20140425,20140425,20140331,1,1,1,,,0.0,0.0,,,,,,,,,,,,,,,,,,,9585314.12,,,,,,1191976.74,8393337.38,,,,,,,,,,,,-9585314.12,,,,-9585314.12,,-9585314.12,-9585314.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
688139.SH,20140429,20140429,20140331,1,1,1,,,,103177237.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19648056.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
600816.SH,20140428,20140428,20140331,1,2,1,0.5521,0.5521,423786864.57,423786864.57,30719759.83,,389370857.71,389370857.71,3696247.03,,,,,,,,,,3696247.03,,,,89499788.29,,,,24312642.27,,65187146.02,,,,,,,,89499788.29,,,,,334287076.28,,,,334287076.28,83571769.07,250715307.21,250715307.21,,,250715307.21,250715307.21,,423786864.57,,,,,,,,,,,,,,,,,,,,,,0
601628.SH,20140426,20140426,20140331,1,3,1,0.26,0.26,154214000000.0,154214000000.0,,128970000000.0,,,,,132178000000.0,120000000.0,3088000000.0,2000000.0,,,,855000000.0,104000000.0,24175000000.0,691000000.0,110000000.0,145442000000.0,,,7747000000.0,417000000.0,,5448000000.0,,46000000.0,20003000000.0,40482000000.0,64101000000.0,5328000000.0,,145442000000.0,57000000.0,2000000.0,23000000.0,1952000000.0,8772000000.0,7000000.0,18000000.0,,8761000000.0,1461000000.0,7300000000.0,7228000000.0,72000000.0,-3277000000.0,4023000000.0,3954000000.0,69000000.0,8017000000.0,,,,,,,,,,,,,,,,,,,,,,0
600837.SH,20140430,20140430,20140331,1,4,1,0.13,0.13,3036282728.77,3036282728.77,,,,1579721942.32,,,,,,,839443628.96,520297299.29,64928891.6,21106500.19,-199413561.22,918730227.57,32374348.15,-18543089.45,1384836112.87,,,,123012586.5,,1228092702.15,,19138239.82,,,,,,1384836112.87,,,,14592584.4,1651446615.9,6186980.26,7111800.04,,1650521796.12,386539869.15,1263981926.97,1210342495.02,53639431.95,36198153.88,1300180080.85,1240868459.0,59311621.85,,,,,,,,,,,,,,,,,,,,,,,0
605208.SH,20140430,20140430,20140331,1,1,1,,,302573010.26,302573010.26,,,,,,,,,,,,,,,,1000000.0,,,300337929.05,291538765.64,,,199870.43,773343.32,3291844.74,4534104.92,,,,,,,,,,,,3502487.17,,,,3502487.17,444485.51,3058001.66,3058001.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
300881.SZ,20140428,20140428,20140331,1,1,1,,,137241534.38,137241534.38,,,,,,,,,,,,,,,,,,,131872787.29,111617998.55,,,288121.97,4250121.35,9714299.1,6002246.32,,,,,,,,,,,,5483428.59,136200.0,200000.0,,5419628.59,812944.29,4606684.3,4606684.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
600369.SH,20140425,20140425,20140331,1,4,1,0.11,0.11,787441498.85,787441498.85,,,,526115835.78,,,,,,,139393821.46,355852789.67,19038909.87,3333836.64,79478297.03,186567845.04,1820594.52,372107.92,420655839.72,,,,47397586.67,,372540562.24,,,,,,,,420655839.72,,,,717690.81,366785659.13,169619.36,25700.77,,366929577.72,91301052.67,275628525.05,272249674.17,3378850.88,-6118260.09,269510264.96,266131414.08,3378850.88,787441498.85,,,,,,,,,,,,,,,,,,,,,,0
601788.SH,20140426,20140426,20140331,1,4,1,0.07,0.07,914210134.48,914210134.48,,,,674266379.98,,,,,,,534472287.69,9483203.26,130310889.03,10071665.33,-159588819.38,85111780.09,,-1018766.81,589799334.96,,,,58974502.57,,530356133.1,,-472071.25,,,,,,589799334.96,,,,940770.54,324410799.52,3036927.18,409091.83,,327038634.87,80889492.02,246149142.85,229925393.98,16223748.87,-90642335.47,155506807.38,125542360.82,29964446.56,913738063.23,,,,,,,,,,,,,,,,,,,,,,0
601601.SH,20140425,20140425,20140331,1,3,1,0.35,0.35,63720000000.0,63720000000.0,,55456000000.0,,,,,61888000000.0,3822000000.0,2610000000.0,25000000.0,,,,393000000.0,-103000000.0,7911000000.0,,63000000.0,59295000000.0,,575000000.0,6171000000.0,1408000000.0,,6216000000.0,,2410000000.0,7096000000.0,16202000000.0,20752000000.0,997000000.0,5000000.0,59295000000.0,2044000000.0,140000000.0,1088000000.0,1310000000.0,4425000000.0,19000000.0,6000000.0,,4438000000.0,1176000000.0,3262000000.0,3211000000.0,51000000.0,1083000000.0,4345000000.0,4277000000.0,68000000.0,,,,,,,,,,,,,,,,,,,,,,,0
001207.SZ,20140430,20140430,20140331,1,1,1,,,51804640.72,51804640.72,,,,,,,,,,,,,,,,,,,44884723.43,38977293.63,,,69283.12,726095.26,764285.8,4347765.62,,,,,,,,,,,,6919917.29,,,,6919917.29,1729979.32,5189937.97,5189937.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
601398.SH,20140430,20140430,20140331,1,2,1,0.21,0.21,162633000000.0,162633000000.0,203145000000.0,,40550000000.0,37682000000.0,3347000000.0,-698000000.0,,,,,,,,5081000000.0,1066000000.0,431000000.0,498000000.0,2548000000.0,67273000000.0,,87320000000.0,2868000000.0,10190000000.0,,37528000000.0,,13776000000.0,,,,,,67273000000.0,,,,5779000000.0,95360000000.0,507000000.0,210000000.0,,95657000000.0,22196000000.0,73461000000.0,73302000000.0,159000000.0,10992000000.0,84453000000.0,84347000000.0,106000000.0,,,,,,,,,,,,,,,,,,,,,,,0
601099.SH,20140430,20140430,20140331,1,4,1,0.038,0.038,180120041.13,180120041.13,,,,85777082.39,,,,,,,62693462.03,10175500.0,12880617.01,,19033720.5,63593906.44,-446463.48,94033.0,101830021.06,,,,9847109.24,,91982911.82,,,,,,,,101830021.06,,,,,78290020.07,18194.9,188585.03,,78119629.94,16426999.6,61692630.34,61734818.86,-42188.52,505649.0,62198279.34,62240467.86,-42188.52,180120041.13,,,,,,,,,,,,,,,,,,,,,,0
000675.SZ,20140412,20140412,20140331,1,1,1,-0.0545,,0.0,0.0,,,,,,,,,,,,,,,,,,,7385340.86,,,,,,1465163.93,5920176.93,,,,,,,,,,,,-7311340.86,1206622.95,131177.96,,-6235895.87,,-6235895.87,-6235895.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
600109.SH,20140412,20140412,20140331,1,4,1,0.166,0.166,666187984.39,666187984.39,,,,354037569.07,,,,,,,160166233.84,148013181.39,26014636.24,98121.0,5376720.19,241928890.22,-4109603.78,78957.97,377363124.8,,,,37364414.38,,339939364.08,,,,,,,,377363124.8,,,,59346.34,288824859.59,28481.41,101647.22,,288751693.78,74365195.55,214386498.23,215063882.51,-677384.28,-127722543.25,86663954.98,87054511.82,-390556.84,666187984.39,,,,,,,,,,,,,,,,,,,,,,0
600015.SH,20140430,20140430,20140331,1,2,1,0.42,0.42,12262000000.0,12262000000.0,22311000000.0,,1907000000.0,1735000000.0,199000000.0,0.0,,,,,,,,5000000.0,41000000.0,210000000.0,,-52000000.0,7284000000.0,,11988000000.0,172000000.0,879000000.0,,4834000000.0,,1566000000.0,,,,,,7284000000.0,,,,5000000.0,4978000000.0,14000000.0,2000000.0,,4990000000.0,1260000000.0,3730000000.0,3722000000.0,8000000.0,552000000.0,4282000000.0,4274000000.0,8000000.0,13828000000.0,,,,,,,,,,,,,,,,,,,,,,0
002142.SZ,20140426,20140426,20140331,1,2,1,0.52,0.52,3529709000.0,3529709000.0,6757313000.0,,684159000.0,642247000.0,-254362000.0,8631000.0,,,,,,,,8660000.0,670680000.0,47904000.0,,-981577000.0,1657532000.0,,3615519000.0,41912000.0,202949000.0,,1114197000.0,,340356000.0,,,,,,1657532000.0,,,,29000.0,1872177000.0,1074000.0,2449000.0,,1870802000.0,369005000.0,1501798000.0,1502152000.0,-354000.0,334063000.0,1835861000.0,1836193000.0,-332000.0,3870065000.0,,,,,,,,,,,,,,,,,,,,,,0
000728.SZ,20140428,20140428,20140331,1,4,1,0.19,0.19,783532743.81,783532743.81,,,,278693323.3,,,,,,,205174992.34,59470532.0,13852714.25,1928592.34,-3679542.85,378826932.97,13746838.57,251835.17,301040769.19,,,,31173493.89,,269374785.88,,-85669.57,,,,,,301040769.19,,,,578158.99,482491974.62,64496.47,672115.21,,481884355.88,114827506.15,367056849.73,367056849.73,,-19111824.67,347945025.06,347945025.06,,783447074.24,,,,,,,,,,,,,,,,,,,,,,0
601328.SH,20140430,20140430,20140331,1,2,1,0.25,0.25,44728000000.0,44728000000.0,69806000000.0,,8462000000.0,7639000000.0,3387000000.0,314000000.0,614000000.0,,,,,,,1120000000.0,3761000000.0,-2299000000.0,,1611000000.0,20761000000.0,,37524000000.0,823000000.0,3217000000.0,,10642000000.0,,5563000000.0,,,,,,20761000000.0,,,,806000000.0,23967000000.0,171000000.0,11000000.0,,24127000000.0,5369000000.0,18758000000.0,18690000000.0,68000000.0,1494000000.0,20252000000.0,20195000000.0,57000000.0,,,533000000.0,,,,,,,,,,,,,,,,,,,,0
000686.SZ,20140424,20140424,20140331,1,4,1,0.091,0.091,566697923.96,566697923.96,,,,307760263.42,,,,,,,178986608.15,70425000.0,9661307.7,13235918.37,67692030.88,112988603.87,4828129.18,125712.88,330515882.27,,,,31764127.88,,297733438.07,,875885.53,,,,,,330515882.27,,,,142430.79,236182041.69,3017246.97,254133.86,,238945154.8,58936052.82,180009101.98,178198552.44,1810549.54,44904647.07,224913749.05,223103469.52,1810279.53,567573809.49,,,,,,,,,,,,,,,,,,,,,,0
