ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
688191.SH,20210318,20210318,20190930,1,1,3,0.24,0.24,143815788.17,143815788.17,,,,,,,,,,,,,,,,484533.11,,,120116724.66,71852986.07,,,1418725.13,17649859.38,11157552.4,-534840.42,-235993.08,,,,,,,,,,,32952456.9,35076.85,68500.0,,32919033.75,5579196.22,27339837.53,27339837.53,,,27339837.53,27339837.53,,,,,,,20023120.33,,1074572.84,,,,,,,,,,,,,,,0
688636.SH,20210318,20210318,20190930,1,1,3,0.66,0.66,154083295.36,154083295.36,,,,,,,,,,,,,,,,68986.29,,,139813462.4,60501368.21,,,1478841.52,13058174.38,19650058.74,2684180.8,-910298.38,,,,,,,,,,,25109523.38,4805.4,35711.91,,25078616.87,399519.9,24679096.97,24679096.97,,,24679096.97,24679096.97,,,,,,,37619204.62,1870270.53,134331.59,,,,,,,,,,,,,,,0
003042.SZ,20210317,20210317,20190930,1,1,3,1.64,,1113776662.03,1113776662.03,,,,,,,,,,,,,,,,,,,955435221.35,706076334.69,,,4077718.25,38429741.89,146867899.52,13136813.67,-2885504.98,,,,,,,,,,,158728576.45,359313.91,112214.58,,158975675.77,24413568.54,134562107.23,134562107.23,,-271154.2,134290953.03,134290953.03,,,,,,,43582707.53,14085003.37,1474903.7,,,,,,,,,,,,,,,0
688659.SH,20210312,20210312,20190930,1,1,3,0.31,,230107897.02,230107897.02,,,,,,,,,,,,,,,,-411461.27,,,188818766.53,143445011.37,,,2289345.14,16434244.56,12029645.96,4098577.21,-70383.48,,,,,,,,,,,42525929.57,228047.96,752728.41,,42001249.12,4712819.3,37288429.82,37288429.82,,,37288429.82,37288429.82,,,,,,,13282665.62,3068808.79,246622.49,,,,,,,,,,,,,,,0
688606.SH,20210305,20210305,20190930,1,1,3,1.55,,179103493.54,179103493.54,,,,,,,,,,,,,,,,1129635.57,,,113217892.9,68420477.5,,,2612132.8,8289110.0,13126796.65,-3050091.81,1326075.53,,,,,,,,,,,70417891.32,2722.49,95206.76,,70325407.05,7761026.55,62564380.5,62564380.5,,-157272.69,62407107.81,62407107.81,,,,,,,23830693.27,,123132.08,,,,,,,,,,,,,,,1
300958.SZ,20210308,20210308,20190930,1,1,3,0.35,0.35,709055645.94,709055645.94,,,,,,,,,,,,,,,,192985.69,-3627288.09,,673524290.43,547054132.01,,,1983147.37,20637154.89,48624367.65,14016066.77,,,,,,,,,,,,37681008.99,17564.63,45012.83,,37653560.79,3124594.33,34528966.46,36589290.21,-2060323.75,,34528966.46,36589290.21,-2060323.75,,,,,,17249353.19,15846303.33,2046070.75,,,,,,,,,,,,,,,0
300975.SZ,20210329,20210329,20190930,1,1,3,0.195,0.195,1445996600.0,1445996600.0,,,,,,,,,,,,,,,,444829.89,,,1363783961.61,1240387204.23,,,1952373.04,101218728.75,25611303.8,-1273040.47,-4465008.86,,,,,,,,,,,82658158.54,16022196.12,465850.64,,98214504.02,26135795.3,72078708.72,72078708.72,,101937.43,72180646.15,72180646.15,,,,,,,1491197.75,2342786.23,3112174.26,,,,,,,,,,,,,,,1
688639.SH,20210331,20210331,20190930,1,1,3,1.21,1.21,370128936.57,370128936.57,,,,,,,,,,,,,,,,,,,263065379.68,200337626.53,,,4756365.09,12553917.58,21652813.18,1102502.69,-199545.34,,,,,,,,,,,114495178.69,1180693.86,197721.66,,115478150.89,17817367.96,97660782.93,97660782.93,,,97660782.93,97660782.93,,,,,,,22445478.41,3334019.98,369012.24,,,,,,,,,,,,,,,0
688682.SH,20210331,20210331,20190930,1,1,3,0.44,0.44,99386203.6,99386203.6,,,,,,,,,,,,,,,478423.97,,,,89621133.0,64909600.62,,,175750.07,3907739.93,9752041.67,618741.33,,,,,,,,,,,,11822489.77,172400.16,17098.96,,11977790.97,353298.84,11624492.13,11624492.13,,,11624492.13,11624492.13,,,,,,,8430096.63,,182747.57,,,,,,,,,,,,,,,0
300941.SZ,20210121,20210121,20190930,1,1,3,0.34,0.34,260154675.73,260154675.73,,,,,,,,,,,,,,,,2699404.43,,,227879980.2,190824368.11,,,607184.53,8507066.85,9556994.24,-9048.26,451819.22,,,,,,,,,,,41838653.3,31263.2,663.43,,41869253.07,6705228.97,35164024.1,35164024.1,,,35164024.1,35164024.1,,,,,,,19443971.91,,8733.67,,,,,,,,,,,,,,,1
300943.SZ,20210122,20210122,20190930,1,1,3,0.53,0.53,357194544.37,357194544.37,,,,,,,,,,,,,,,,2680374.24,,,308211417.49,248581062.99,,,3889564.82,17601851.52,17658423.19,-1271883.97,-3385821.49,,,,,,,,,,,60416165.13,1476728.89,259008.1,,61633885.92,7278683.63,54355202.29,54355202.29,,,54355202.29,54355202.29,,,,,,,18996053.31,4254.54,2019730.42,,,,,,,,,,,,,,,1
605368.SH,20210112,20210112,20190930,1,1,3,0.62,,2622831566.26,2622831566.26,,,,,,,,,,,,,,,,1501587.01,1501587.01,,2301584499.37,2168730884.13,,,5466669.85,18291541.23,76739564.3,32736532.55,,,,,,,,,,,,328392646.97,1460934.38,144261.96,,329709319.39,82479904.85,247229414.54,247229414.54,,,247229414.54,247229414.54,,,,,,,,33652468.63,1838132.19,,,,,,,,,,,,,,,1
300947.SZ,20210128,20210128,20190930,1,1,3,1.74,1.74,670262324.86,670262324.86,,,,,,,,,,,,,,,,1639445.27,-8411322.12,,575317768.36,468820343.39,,,3260680.24,19454722.73,78599134.55,689205.29,,,,,,,,,,,,106282212.05,124944.09,4106685.16,,102300470.98,27908661.18,74391809.8,70319617.34,4072192.46,253187.9,74644997.7,70572805.24,4072192.46,,,,,,3758435.01,500684.46,397291.59,,,,,,,,,,,,,,,1
688316.SH,20210223,20210223,20190930,1,1,3,-4.79,-4.79,275491552.34,275491552.34,,,,,,,,,,,,,,,,54192.95,-69807.05,,440603439.33,245206611.06,,,695044.22,55659593.01,88306508.42,-4152373.04,-34408.97,,,,,,,,,,,-162611462.36,1572502.39,200.07,,-161039160.04,,-161039160.04,-160600195.93,-438964.11,-52849.39,-161092009.43,-160653045.32,-438964.11,,,,,,51271495.15,92630.14,4886793.2,,,,,,,,,,,,,,,0
688680.SH,20210105,20210105,20190930,1,1,3,,,729119902.4,729119902.4,,,,,,,,,,,,,,,,3039859.72,4227705.86,,690378755.98,622610177.31,,,964584.41,13722523.52,14078530.91,7599583.65,-520953.62,,,,,,,,,,,42877663.63,2308229.32,136711.52,,45049181.43,2463217.79,42585963.64,42585963.64,,,42585963.64,42585963.64,,,,,,,23115897.87,2537928.29,68354.4,,,,,,,,,,,,,,,1
688092.SH,20210119,20210119,20190930,1,1,3,,,150507016.66,150507016.66,,,,,,,,,,,,,,,127722.22,797443.07,,,120984182.49,74709536.98,,,1802289.71,25346166.62,5875660.84,-2099662.74,-1728615.84,,,,,,,,,,,36035121.33,10367.72,19.93,,36045469.12,4652621.05,31392848.07,31392848.07,,3985.24,31396833.31,31396833.31,,,,,,,13635381.08,,766842.37,,,,,,,,,,,,,,,0
688083.SH,20210219,20210219,20190930,1,1,3,0.63,,221976610.27,221976610.27,,,,,,,,,,,,,,,,3324548.51,,,176736083.43,2281444.56,,,3299552.35,85731974.33,18148637.7,-846476.12,,,,,,,,,,,,68095549.89,141896.15,2718443.93,,65519002.11,7284277.32,58234724.79,58234724.79,,-173637.38,58061087.41,58061087.41,,,,,,,66847519.41,,99096.03,,,,,,,,,,,,,,,0
688350.SH,20210111,20210111,20190930,1,1,3,0.7,0.7,823189943.44,823189943.44,,,,,,,,,,,,,,,,910636.37,,,750769788.74,614401791.41,,,5090087.45,49158949.63,37200080.99,1247935.71,-3417720.27,,,,,,,,,,,75175538.35,449150.0,1370318.68,,74254369.67,10368582.4,63885787.27,63929373.48,-43586.21,,63885787.27,63929373.48,-43586.21,,,,,,39902458.18,5411728.26,1893490.31,,,,,,,,,,,,,,,0
003036.SZ,20210111,20210111,20190930,1,1,3,0.23,0.23,449136597.99,449136597.99,,,,,,,,,,,,,,,,338000.0,,,409966921.1,329344521.21,,,5617314.72,25521169.59,21118774.04,-5532117.76,-1930377.91,,,,,,,,,,,43777484.08,519820.84,798026.97,,43499277.95,6463873.04,37035404.91,37548509.6,-513104.69,2151345.95,39186750.86,39699855.55,-513104.69,,,,,,16414698.39,,3756731.86,,,,,,,,,,,,,,,0
688628.SH,20210112,20210112,20190930,1,1,3,0.54,0.54,391132517.84,391132517.84,,,,,,,,,,,,,,,,-630.23,,,342714900.47,258548589.63,,,3858672.4,28913368.14,22208233.54,648487.39,-850368.56,,,,,,,,,,,48918551.15,387347.67,88437.98,,49217460.84,7509214.76,41708246.08,41708246.08,,564545.77,42272791.85,42272791.85,,,,,,,27562591.34,,,,,,,,,,,,,,,,,0
605055.SH,20210112,20210112,20190930,1,1,3,0.22,0.22,664025257.51,664025257.51,,,,,,,,,,,,,,,623407.54,1126041.94,,,582827477.69,494774160.16,,,4881610.93,23233020.04,24750429.62,4981246.05,-1037601.86,,,,,,,,,,,90860243.59,242432.08,20151.01,,91082524.66,10622899.17,80459625.49,80459625.49,,,80459625.49,80459625.49,,,,,,,28824069.18,6766096.29,1652503.01,,,,,,,,,,,,,,,1
605303.SH,20210112,20210112,20190930,1,1,3,0.8,0.8,983424911.25,983424911.25,,,,,,,,,,,,,,,,,,,881129325.33,795414483.75,,,1529003.68,7192986.9,43768195.44,10099602.03,,,,,,,,,,,,103295866.92,8100000.98,254214.11,,111141653.79,15310268.22,95831385.57,96475771.15,-644385.58,,95831385.57,96475771.15,-644385.58,,,,,,32016974.99,13170140.2,1264040.42,,,,,,,,,,,,,,,1
688607.SH,20210113,20210113,20190930,1,1,3,0.45,0.45,138420020.55,138420020.55,,,,,,,,,,,,,,,-2322032.38,2375952.03,,,116820708.48,76620434.29,,,1278458.97,13319379.63,14805551.18,-2108271.87,-472976.86,,,,,,,,,,,34008673.31,545657.99,23238.91,,34531092.39,4607027.13,29924065.26,29924065.26,,-26097.0,29897968.26,29897968.26,,,,,,,12908672.69,271209.95,541501.91,,,,,,,,,,,,,,,0
688619.SH,20210127,20210127,20190930,1,1,3,-0.19,-0.19,61863592.61,61863592.61,,,,,,,,,,,,,,,,-1074192.62,-1074192.62,,100443230.41,37974073.96,,,167989.99,17187233.97,21382929.47,484904.08,,,,,,,,,,,,-33275680.76,86248.56,330988.11,,-33520420.31,-7068895.07,-26451525.24,-25870034.49,-581490.75,,-26451525.24,-25870034.49,-581490.75,,,,,,20879310.5,3346238.38,584944.79,,,,,,,,,,,,,,,0
003037.SZ,20210118,20210118,20190930,1,1,3,0.22,0.22,4304968693.94,4304968693.94,,,,,,,,,,,,,,,1703897.91,2130388.28,413047.52,,4173507138.59,3581486143.4,,,21298521.98,397405958.3,114427415.82,15052241.7,-2516001.51,,,,,,,,,,,139061073.72,4592398.44,5856001.73,,137797470.43,40749771.74,97047698.69,97467453.74,-419755.05,1082047.01,98129745.7,98549500.75,-419755.05,,,,,,39782863.94,15736534.3,2730056.37,,,,,,,,,,,,,,,0
605081.SH,20210126,20210126,20190930,1,1,3,1.35,1.35,332833056.63,332833056.63,,,,,,,,,,,,,,,,,,,237564281.88,141168120.35,,,2329205.99,24684440.57,45427636.82,-4762144.67,,,,,,,,,,,,95268143.18,1225131.0,4192523.58,,92300750.6,13024642.31,79276108.29,79276108.29,,,79276108.29,79276108.29,,,,,,,18301615.55,,3785265.35,,,,,,,,,,,,,,,0
605208.SH,20210209,20210209,20190930,1,1,3,0.56,0.56,1826851655.34,1826851655.34,,,,,,,,,,,,,,,,-10883959.2,,,1724152553.58,1565853467.47,,,6821929.93,35867787.48,58687055.3,16052080.81,-6531026.95,,,,,,,,,,,104854946.87,27621.0,1577483.55,,103305084.32,24781298.03,78523786.29,78523786.29,,,78523786.29,78523786.29,,,,,,,28534216.35,16393136.18,225543.28,,,,,,,,,,,,,,,0
688669.SH,20210105,20210105,20190930,1,1,3,,,1031357458.5,1031357458.5,,,,,,,,,,,,,,,,,,,934564210.03,822780500.23,,,5606587.4,35002635.8,32593154.54,6499100.13,,,,,,,,,,,,100109026.95,,226242.11,,99882784.84,12436775.53,87446009.31,71737639.19,15708370.12,386864.52,87832873.83,72124503.71,15708370.12,,,,,,29761223.46,9342109.75,405484.54,,,,,,,,,,,,,,,0
300939.SZ,20210114,20210114,20190930,1,1,3,1.05,1.06,572414789.75,572414789.75,,,,,,,,,,,,,,,-1320969.09,577717.02,,,509561582.29,414640154.96,,,7098787.38,19715297.78,37939999.47,-1973797.16,-4266510.66,,,,,,,,,,,70912665.44,420393.18,271898.02,,71061160.6,8051436.0,63009724.6,63009724.6,,,63009724.6,63009724.6,,,,,,,28295101.56,444538.49,100709.13,,,,,,,,,,,,,,,0
688687.SH,20210119,20210119,20190930,1,1,3,0.44,0.44,535591072.58,535591072.58,,,,,,,,,,,,,,,,,,,474500858.55,61881122.94,,,6322781.01,326790277.65,54797590.84,-878989.33,-2018304.8,,,,,,,,,,,65839554.08,136824.4,356635.58,,65619742.9,13088294.56,52531448.34,53488449.22,-957000.88,,52531448.34,53488449.22,-957000.88,,,,,,21680202.55,,923402.81,,,,,,,,,,,,,,,0
600916.SH,20210119,20210119,20190930,1,1,3,0.16,0.16,26816808014.66,26816808014.66,,,,,,,,,,,,,,,-629014617.73,-140671686.8,-332305.94,,25733698447.11,25283288123.2,,,35296067.77,266496905.76,83701453.19,68071353.62,1480814.47,,,,,,,,,,,313274131.83,15915464.46,,,329189596.29,84211912.41,244977683.88,244767139.92,210543.96,,244977683.88,244767139.92,210543.96,,,,,,3519948.69,80891105.38,14627950.64,,,,,,,,,,,,,,,0
688689.SH,20210105,20210105,20190930,1,1,3,0.38,0.38,376647266.22,376647266.22,,,,,,,,,,,,,,,,718610.01,,,333186846.16,270695258.73,,,3915453.67,17222387.58,18715767.43,-4435083.43,-2431514.27,,,,,,,,,,,45403979.93,208900.02,92490.06,,45520389.89,8666103.84,36854286.05,36854286.05,,,36854286.05,36854286.05,,,,,,,24388178.7,,650350.12,,,,,,,,,,,,,,,0
300938.SZ,20210114,20210114,20190930,1,1,3,1.2049,1.2049,218117449.3,218117449.3,,,,,,,,,,,,,,,,,,,157240015.3,77065600.7,,,515610.26,39850522.05,26683425.7,-1181363.8,,,,,,,,,,,,68289371.76,17053.99,151918.08,,68154507.67,9327200.39,58827307.28,58827307.28,,,58827307.28,58827307.28,,,,,,,12845729.39,-143758.1,590368.18,,,,,,,,,,,,,,,0
300946.SZ,20210126,20210126,20190930,1,1,3,1.05,1.05,272655125.09,272655125.09,,,,,,,,,,,,,,,,,,,223463482.21,192931624.73,,,1187816.82,6498608.18,9836236.02,860938.65,-638279.63,,,,,,,,,,,60261587.61,3097.17,5384.29,,60259300.49,7899992.49,52359308.0,52359308.0,,,52359308.0,52359308.0,,,,,,,11095046.3,1090543.79,217420.37,,,,,,,,,,,,,,,0
