ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000001.SZ,20101028,20101028,20100930,2,1,3,,,,,70906428000.0,2099269000.0,,,,,,17653773000.0,,4132887000.0,,3029587000.0,98454683000.0,,2976298000.0,2264698000.0,39071261000.0,8777933000.0,,6198784000.0,,2703975000.0,87874891000.0,10579792000.0,,104400524000.0,2185050000.0,1248000.0,,106586822000.0,589407000.0,113462799000.0,,,,114052206000.0,-7465384000.0,,,,6907269000.0,,,464400000.0,,,487767000.0,6419502000.0,,9533910000.0,54703483000.0,64237393000.0,,,,,,,,,,,,,,,,,,,,,,,,,830632000.0,,,,,,,,,0
000002.SZ,20101025,20101025,20100930,1,1,3,,,54283454888.67,,,,,,,,,,,,,5511421035.65,59794875924.32,42941813415.54,1131132831.46,6603238943.48,,,,,,10326054323.84,61002239514.32,-1207363590.0,826706405.08,158403840.87,439300965.47,458786.52,6519581.52,1431389579.46,56160939.8,1523776897.45,476390724.67,993726313.56,,3050054875.48,-1618665296.02,21874453038.34,,,23468694537.68,-11342174021.0438,8882790881.85,3053143448.79,332449918.98,,11935934330.64,11532760207.04,4181268.8,8710912589.82,22002774937.36,30713687527.18,1594241499.34,1594241499.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000004.SZ,20101030,20101030,20100930,1,1,3,,,68064579.74,,,,,,,,,,,,,13891458.11,81956037.85,50392846.03,9177106.54,11204563.57,,,,,,19188054.68,89962570.82,-8006532.97,,,,398500.0,,398500.0,16824332.23,,,,,16824332.23,-16425832.23,,,,19200000.0,-35430333.6579,19500000.0,129947.5,,,19629947.5,-429947.5,,-24862312.7,79725918.76,54863606.06,19200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000005.SZ,20101029,20101029,20100930,1,1,3,,,20581341.89,,,,,,,,,,,,,46249899.96,66831241.85,6595536.79,10147207.17,39874816.34,,,,,,16554167.0,73171727.3,-6340485.45,,,,,,,4389470.57,10000000.0,,,,14389470.57,-14389470.57,56000000.0,,,56000000.0,-44491360.97,54000000.0,2852830.8,,,56852830.8,-852830.8,,-21582786.82,44027632.17,22444845.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000006.SZ,20101030,20101030,20100930,1,1,3,,,1430887276.53,,,,,,,,,,,,,150253665.38,1581140941.91,896264954.78,45089702.15,255625945.83,,,,,,183063507.78,1380044110.54,201096831.37,,13429220.0,2541702.2,83000.0,26474583.0,42528505.2,5613000.27,61371.0,,27500.0,,5701871.27,36826633.93,1330000000.0,,,1330000000.0,-301385810.5039,800000000.0,236845966.44,,,1036845966.44,293154033.56,-39426.29,531038072.57,761375636.44,1292413709.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000007.SZ,20101027,20101027,20100930,1,1,3,,,106235110.96,,,,,,,,,,,,,74421406.81,180656517.77,24227847.05,21939177.08,9011554.04,,,,,,92847110.61,148025688.78,32630828.99,,,,,,,193125.0,,,,,193125.0,-193125.0,100000000.0,,33372.23,100033372.23,83528060.3015,130337051.95,24723497.2,,,155060549.15,-55027176.92,-233.97,-22589706.9,28461165.43,5871458.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000008.SZ,20101025,20101025,20100930,1,1,3,,,6115892.74,,,,,,,,,,,,,1477719.38,7593612.12,4777226.0,1099216.71,3052741.91,,,,,,969925.11,9899109.73,-2305497.61,12420000.0,522410.74,42385.18,,,12984795.92,24045.0,451980.0,,,,476025.0,12508770.92,,,,,8721856.5137,,,,,,,,10203273.31,31710818.5,41914091.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000009.SZ,20101030,20101030,20100930,1,1,3,,,2849237842.43,2512829.14,,,,,,,,,,,,473088454.59,3324839126.16,3034958488.01,201664489.27,336390292.02,,,,,,379403740.6,3952417009.9,-627577883.74,100369.38,1548705264.35,21299189.07,35882730.95,140625587.5,1746613141.25,148071420.92,1827338229.09,23938959.21,212173.68,,1999560782.9,-252947641.65,2120932500.0,,,2559332500.0,-1333226586.1032,884717212.0,212530221.83,28947273.31,3882804.77,1101130238.6,1458202261.4,-1409310.65,576267425.36,1544385797.39,2120653222.75,438400000.0,437400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000010.SZ,20101028,20101028,20100930,1,1,3,,,115065727.03,233708.91,,,,,,,,,,,,2085395.12,117384831.06,76549826.3,19214123.88,10265499.99,,,,,,17824680.25,123854130.42,-6469299.36,,8966541.86,4600.0,,,8971141.86,1137500.71,,,,,1137500.71,7833641.15,9950000.0,,,9950000.0,-2235825.71,14781750.0,1250080.94,,,16031830.94,-6081830.94,,-4717489.15,24928531.6,20211042.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000011.SZ,20101025,20101025,20100930,1,1,3,,,984120100.57,,,,,,,,,,,,,32488543.33,1016608643.9,736526756.08,132503460.6,161287133.4,,,,,,51795452.84,1082112802.92,-65504159.02,,1550000.0,,5553429.84,,7103429.84,18177766.47,,,,,18177766.47,-11074336.63,212000000.0,,,212000000.0,-333584632.1029,361140000.0,21712828.47,,4132926.0,386985754.47,-174985754.47,-91195.94,-251655446.06,830055588.25,578400142.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
