ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000911.SZ,20200725,20200725,20200630,1,1,2,63661350.37,111541553.68,2492313404.38,13148667.56,,,,,,,,,,,,65771927.11,2571233999.05,2384636396.08,154364849.76,65880680.44,,,,,,57769754.45,2662651680.73,-91417681.68,,12145042.0,,53443.42,,12198485.42,54480631.44,,,,,54480631.44,-42282146.02,2654700000.0,,200000000.0,2854700000.0,-657200195.0474,1892571425.07,72196402.99,,746045631.22,2710813459.28,143886540.72,-37505.01,10149208.01,671269201.97,681418409.98,,,,41425474.62,94925059.29,8797257.11,65878523.46,,,,409731.18,,,97642.56,,156296014.67,-263102870.56,-371347418.06,,-91417681.68,,,,10149208.01,,,,,,681418409.98,671269201.97,,,0
000912.SZ,20200829,20200829,20200630,1,1,2,109517895.57,21024721.99,1961854114.49,,,,,,,,,,,,,12222556.58,1974076671.07,1478002628.5,186546352.61,52011952.38,,,,,,35958809.88,1752519743.37,221556927.7,,487000000.0,2649446.97,58114.57,,489707561.54,20511633.73,621500000.0,,,,642011633.73,-152304072.19,,,765500000.0,765500000.0,801591366.2036,42813663.0,21093138.31,,777650092.82,841556894.13,-76056894.13,0.07,-6804038.55,846005972.47,839201933.92,,,,4848051.81,135036874.77,2918215.97,2154556.53,,,,57259.02,,-2176380.03,-803892.52,,50976379.17,14670839.3,-116667593.88,,221556927.7,,,,-6804038.55,,,,,,839201933.92,846005972.47,,,0
000913.SZ,20200831,20200831,20200630,1,1,2,97943594.33,9010346.32,1705490498.35,96151790.4,,,,,,,,,,,,162097308.35,1963739597.1,1090964508.63,203196128.68,134458546.99,,,,,,61858200.33,1490477384.63,473262212.47,,27456000.0,11186682.35,8803599.76,,47446282.11,105497550.88,,,,,105497550.88,-58051268.77,,,762099275.07,766867275.07,497467840.4793,1000000.0,201285861.92,1712765.26,400000000.0,602285861.92,164581413.15,3811600.04,583603956.89,1130679441.83,1714283398.72,4768000.0,4768000.0,,30477595.01,39526826.85,2979209.06,12425943.35,,,5144648.36,1037925.87,-30765176.12,-1081418.38,-3719318.21,16949401.97,11523457.44,290008102.95,-10885916.24,,473262212.47,,,,583603956.89,,,,,,1714283398.72,1130679441.83,,,0
000915.SZ,20200808,20200808,20200630,1,1,2,250143506.03,-2509058.54,944680439.49,1267327.88,,,,,,,,,,,,30756586.56,976704353.93,182881019.49,231465740.89,77094824.29,,,,,,164517913.01,655959497.68,320744856.25,,282000000.0,2003681.88,8800.0,,284012481.88,65240771.59,838000000.0,,,,903240771.59,-619228289.71,,,,,-348848958.1904,20000000.0,89006276.97,31981064.0,,109006276.97,-109006276.97,,-407489710.43,925999177.24,518509466.81,,,,2674795.04,27183708.91,3257205.76,1997085.63,,,,,-6379111.23,-2003681.88,258969.69,4579439.69,-6335473.75,1865625.1,46011845.8,,320744856.25,,,,-407489710.43,,,,,,518509466.81,925999177.24,,,0
000917.SZ,20200831,20200831,20200630,1,1,2,-216813465.24,148335931.14,2705993835.45,,,,,,,,,,,,,48378174.48,2754372009.93,1704879195.42,637129780.29,117865086.38,,,,,,286145909.79,2746019971.88,8352038.05,220500000.0,137427426.96,338638551.51,359149.73,6840103.29,703765231.49,201804128.05,555703901.0,,,,757508029.05,-53742797.56,1973811170.93,,,1978711170.93,-167742887.87,1686696870.84,315071443.21,140040000.0,4988596.23,2006756910.28,-28045739.35,1856412.47,-71580086.39,2018417850.41,1946837764.02,4900000.0,4900000.0,,6123772.91,357652559.8,15164240.5,8239765.38,,,1015034.84,-10937247.57,58315224.2,-334637608.05,-195074.22,-15458848.1,42490928.87,45390546.56,-103449302.29,,8352038.05,,,,-71580086.39,,,,,,1946837764.02,2018417850.41,,,1
000918.SZ,20200822,20200822,20200630,1,1,2,-621257466.3,397155239.78,344578644.36,,,,,,,,,,,,,69248981.54,413827625.9,339743853.18,121328665.28,81346796.48,,,,,,83299243.59,625718558.53,-211890932.63,193583.02,,,,87606257.53,87799840.55,2408208.57,,,900000.0,,3308208.57,84491631.98,260000000.0,,1077240683.55,1351526383.55,178140348.07,795748769.44,266720219.58,158228.87,780208821.06,1842677810.08,-491151426.53,3052.47,-618547674.71,765515817.19,146968142.48,14285700.0,14285700.0,,12502147.6,52963982.24,328861.56,9323584.01,,,-70728.69,8590.79,5430452.53,-27398172.79,18385.67,-1607723.37,92572551.23,-58905480.64,-72955156.25,,-211890932.63,,,,-618547674.71,,,,,,146968142.48,765515817.19,,,0
000919.SZ,20200825,20200825,20200630,1,1,2,38564575.92,165782.68,1099439151.66,,,,,,,,,,,,,15129468.14,1114568619.8,549995457.81,424481516.34,33200545.16,,,,,,66679165.63,1074356684.94,40211934.86,,183595268.99,7961283.14,67663.36,,191624215.49,90046121.86,549201486.93,,,,639247608.79,-447623393.3,,,,,-358102693.4407,,,,165927.41,165927.41,-165927.41,144.73,-407577241.12,1454209660.93,1046632419.81,,,,2372747.37,55368902.74,4545274.23,-412430.38,,,23120.33,,41909928.04,-9424629.66,2658776.35,-8373950.93,11003264.61,-85722755.26,-12466671.18,,40211934.86,,,,-407577241.12,,,,,,1046632419.81,1454209660.93,,,1
000920.SZ,20200813,20200813,20200630,1,1,2,29920788.34,7481156.12,432838883.61,1122994.17,,,,,,,,,,,,11878262.81,445840140.59,159131831.71,82805312.35,25503178.2,,,,,,66585556.06,334025878.32,111814262.27,5708682.09,69983.53,2220400.0,10000000.0,,17999065.62,10649900.04,37890.0,,,,10687790.04,7311275.58,30000000.0,,,31000000.0,42283305.243,40000000.0,61986130.33,8697500.0,,101986130.33,-70986130.33,791143.34,48930550.86,247430939.95,296361490.81,1000000.0,1000000.0,,,29964100.72,1798017.97,454367.82,,,67647.72,271476.11,,5167000.52,175825.75,7280071.48,-32347869.59,67617336.72,-8199941.01,,111814262.27,,,,48930550.86,,,,,,296361490.81,247430939.95,,,0
000921.SZ,20200821,20200821,20200630,1,1,2,941233785.08,8420709.44,17833168508.85,578309749.71,,,,,,,,,,,,343591513.58,18755069772.14,11105370886.09,2095786639.33,912166726.27,,,,,,2100928577.11,16214252828.8,2540816943.34,5339490186.08,27930000.0,43263435.6,146706.61,,5410830328.29,176306048.83,,,6352500000.0,,6528806048.83,-1117975720.54,270000000.0,,,270000000.0,2335963923.4249,370000000.0,432813844.46,424309710.36,882048678.44,1684862522.9,-1414862522.9,-510837.98,7467861.92,2065106596.27,2072574458.19,,,,910060.85,406743256.74,114538275.45,18377898.63,,,-966689.46,1217451.01,807677.0,-52520463.97,8425726.82,-2012782.38,-75828074.78,-920716515.36,2083795336.36,,2540816943.34,,,,7467861.92,,,8391291.91,,,2072574458.19,2065106596.27,,,1
000922.SZ,20200825,20200825,20200630,1,1,2,183627533.02,,416829015.07,,,,,,,,,,,,,43393738.15,460222753.22,130226694.6,92720726.41,67802490.89,,,,,,98380246.36,389130158.26,71092594.96,,520000000.0,17503586.31,,,537503586.31,6746096.21,520000000.0,,,,526746096.21,10757490.1,,,,,56378685.7737,,39889263.6,,,39889263.6,-39889263.6,,41960821.46,535642207.7,577603029.16,,,,9608742.74,19894577.99,2024066.26,,,,,,,-16512817.26,,,21018553.7,-123140239.32,-25427822.17,,71092594.96,,,,41960821.46,,,,,,543936769.06,516065819.72,33666260.1,19576387.98,1
