ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000001.SZ,20150313,20150313,20141231,2,1,4,19802000000.0,,,,250529000000.0,453000000.0,,,,,,109205000000.0,,-5072000000.0,,4115000000.0,431794000000.0,,12175000000.0,12991000000.0,186583000000.0,70215000000.0,,58532000000.0,,49325000000.0,406473000000.0,25321000000.0,,391968000000.0,24351000000.0,7000000.0,,416326000000.0,3835000000.0,466974000000.0,,,,470809000000.0,-54483000000.0,,52005000000.0,3000000.0,52008000000.0,15934246163.2435,18800000000.0,2019000000.0,,,20819000000.0,31189000000.0,325000000.0,2352000000.0,181104000000.0,183456000000.0,,,,15011000000.0,634000000.0,631000000.0,332000000.0,,,1000000.0,,-649000000.0,,-2626000000.0,,,-228745000000.0,241762000000.0,,25321000000.0,,,,2352000000.0,,,,,,4159000000.0,3731000000.0,179297000000.0,177373000000.0,0
000002.SZ,20150331,20150331,20141231,1,1,4,19287524028.08,640839545.38,168309067596.89,,,,,,,,,,,,,17018549538.01,185327617134.9,95231832291.8,5132632693.69,23040186762.98,,,,,,20198146273.07,143602798021.54,41724819113.36,774940057.53,87499269.16,288166025.49,659266.55,5658279147.83,6809543766.56,1830745575.2,2612465182.89,683207810.33,5170496136.97,,10296914705.39,-3487370938.83,30884805587.98,4208367691.92,,37515558107.94,37216292152.3751,42936209815.24,10997218654.24,346395545.0,,57132809613.17,-19617251505.23,28973824.47,18649170493.77,43004149172.53,61653319666.3,2422384828.04,2422384828.04,,789764570.45,376028622.62,7386604.32,165489097.55,,,-200597783.47,,-11013281.97,-4159261963.52,-578598123.74,-82416365.59,-6039623523.17,-26988298650.75,58515020197.67,,41724819113.36,,,,18649170493.77,,,,,,61653319666.3,43004149172.53,,,0
000003.SZ,20150430,20150430,20141231,1,1,4,-12958233.77,10529425.08,12743384.58,,,,,,,,,,,,,2631261.39,15374645.97,181152.12,5320386.6,445639.73,,,,,,8404173.75,14351352.2,1023293.77,,,,18862.0,,18862.0,34492.0,,,,,34492.0,-15630.0,,,,,10510033.8,,,,,,,,1007663.77,803631.54,1811295.31,,,,-2163114.52,11367.0,,,,,,,,,,,-524899.2,2730437.72,3398311.46,,1023293.77,,,,1007663.77,,,,,,1811295.31,803631.54,,,0
000004.SZ,20150430,20150430,20141231,1,1,4,15624813.56,,114259518.84,353960.18,,,,,,,,,,,,69860221.69,184473700.71,99901122.29,16070972.6,17782830.19,,,,,,56252826.29,190007751.37,-5534050.66,,,,21300.0,,21300.0,11212298.0,,,,,11212298.0,-11190998.0,8000000.0,,,8000000.0,-34892011.6849,,7803361.34,7803361.34,,7803361.34,196638.66,,-16528410.0,56469517.42,39941107.42,,,,58315.21,4074921.58,811361.86,,,,62785.32,,,255711.81,-117782.38,,-112261903.79,10704868.81,75252857.36,,-5534050.66,,,,-16528410.0,,,,,,39941107.42,56469517.42,,,0
000005.SZ,20150411,20150411,20141231,1,1,4,43163944.16,20717310.2,53498792.04,,,,,,,,,,,,,16964681.04,70463473.08,20615058.29,28338831.83,4711448.12,,,,,,25975888.02,79641226.26,-9177753.18,,240000000.0,,51618.19,,240051618.19,291147614.8,,,,,291147614.8,-51095996.61,133500000.0,,385704000.0,519865314.56,-242860768.6743,447217000.0,7708931.0,,,454925931.0,64939383.56,4745.3,4670379.07,10455122.5,15125501.57,661314.56,,,-1526739.31,3424850.16,,1839656.53,,,27505.47,,,-103708678.52,,,-1307.46,-5315290.61,-2073326.31,34274322.51,-9177753.18,,,,4670379.07,,,,,,15125501.57,10455122.5,,,0
000006.SZ,20150401,20150401,20141231,1,1,4,512453559.51,134285505.16,3139160008.49,,,,,,,,,,,,,19558297.76,3158718306.25,3571642649.24,97041563.83,378042812.41,,,,,,209945275.74,4256672301.22,-1097953994.97,,414856937.1,5065220.4,1400913.89,,421323071.39,6895191.61,31000000.0,,,,37895191.61,383427879.78,1082000000.0,,47325542.62,1129325542.62,-619281519.5504,684280000.0,461689127.13,546606.1,19103400.0,1165072527.13,-35746984.51,12741.16,-750260358.54,2006375179.06,1256114820.52,,,,3763120.29,32920323.21,,800262.42,,,-12954473.35,18640.27,,-315938397.21,-60966899.21,-8716426.23,-1156218286.18,-1136059427.84,908658504.19,,-1097953994.97,,,,-750260358.54,,,,,,1256114820.52,2006375179.06,,,0
000007.SZ,20150430,20150430,20141231,1,1,4,-33382647.02,6684625.02,170200834.63,477068.42,,,,,,,,,,,,75138993.83,245816896.88,134501818.38,38982129.01,11684512.38,,,,,,48049741.79,233218201.56,12598695.32,,,,6724368.32,,6724368.32,1018486.1,,,,,1018486.1,5705882.22,40000000.0,,99509200.0,139509200.0,-14763824.77,202400000.0,8349866.69,,,210749866.69,-71240666.69,-303381.76,-53239470.91,127697874.51,74458403.6,,,,1349056.92,4788528.43,42999.96,8336368.83,,,-3951353.13,,,,-376704.0,,689402.39,-191631952.29,182670070.21,37380300.0,12598695.32,,,,-53239470.91,,,,,,74458403.6,127697874.51,,,0
000008.SZ,20150210,20150210,20141231,1,1,4,7766402.64,2642.8,318720921.1,,,,,,,,,,,,,14328873.83,333049794.93,120815896.78,80227397.55,32098115.17,,,,,,31210331.07,264351740.57,68698054.36,,50400000.0,1053307.23,1810000.0,,53263307.23,2851637.52,98500000.0,,11320246.7,,112671884.22,-59408576.99,,,,27000000.0,68467094.7672,,,,,,27000000.0,-3125.78,36286351.59,146402540.12,182688891.71,27000000.0,27000000.0,,590992.01,31786283.62,420174.24,9801522.96,,,-541003.72,,-1044183.73,-853698.63,432228.44,696318.99,991526.06,-2262702.17,9142956.28,11768594.57,68698054.36,,,,36286351.59,,,,,,182688891.71,146402540.12,,,0
000009.SZ,20150429,20150429,20141231,1,1,4,472548632.6,226744656.71,4358551464.43,36817424.49,,,,,,,,,,,,448102105.71,4843470994.63,2756852106.2,577577202.59,404386818.74,15000000.0,,,,,615020038.04,4368836165.57,474634829.06,42190702.5,2425959868.43,6970871.52,5198817.26,341905627.42,2822225887.13,643475988.95,2459764863.88,60794934.01,,,3164035786.84,-341809899.71,3815800000.0,1800000000.0,65000000.0,5780818485.0,-388779569.6296,5062260000.0,392237802.1,43056662.39,17869531.5,5472367333.6,308451151.4,-1000991.26,440275089.49,1472590581.21,1912865670.7,100018485.0,100018485.0,,85371497.94,140535191.74,10130451.36,33017408.92,,,738351.68,,-6114509.09,-481633002.49,-4280102.49,6504330.78,-171546936.48,13992061.41,226669648.4,-78042851.93,474634829.06,,,,440275089.49,,,,,,1857910579.0,1446138895.34,54955091.7,26451685.87,0
000010.SZ,20150328,20150328,20141231,1,1,4,-75318345.8,41933.19,207059628.86,,,,,,,,,,,,,34401483.05,241461111.91,180562151.81,48583450.18,20800637.08,,,,,,112204178.48,362150417.55,-120689305.64,2625282.19,15000000.0,1392118.15,14000.0,19490000.0,38521400.34,14721268.66,15000000.0,,,,29721268.66,8800131.68,54000000.0,,,54000000.0,-6845813.84,10000000.0,61051.86,,,10061051.86,43938948.14,,-67950225.82,443833890.94,375883665.12,,,,20526172.69,5502993.58,227592.97,1268493.8,,,,8714.62,,2442207.3,-2886484.7,147497.45,18177640.34,-73406571.45,-17421149.63,,-120689305.64,,,,-67950225.82,,,,,,387299677.5,455249903.32,,,0
