ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000001.SZ,20250419,20250419,20250331,2,1,1,,,,,206384000000.0,62690000000.0,,,,,,48514000000.0,,,,7911000000.0,416055000000.0,,8044000000.0,5135000000.0,58965000000.0,23574000000.0,,21872000000.0,,63200000000.0,253109000000.0,162946000000.0,,243429000000.0,9743000000.0,25000000.0,,253197000000.0,338000000.0,227916000000.0,,,,228254000000.0,24943000000.0,,,,79667000000.0,,,2538000000.0,,7000000.0,238065000000.0,-158398000000.0,-130000000.0,29361000000.0,256946000000.0,286307000000.0,,,,,,,,,,,,,,,,,,,,,,,,,11907000000.0,,,,,,,,,0
000002.SZ,20250430,20250430,20250331,1,1,1,,,30117548492.03,,,,,,,,,,,,,11343434736.33,41460983228.36,31914556510.88,5237996311.54,5592975688.8,,,,,,4508023523.73,47253552034.95,-5792568806.59,176160566.28,14441110.95,348750571.17,3424774762.75,224768225.58,4188895236.73,801494768.32,355534015.64,99113820.42,253092159.1,,1509234763.48,2679660473.25,13029459084.65,,,13031941178.71,,17350501255.21,4245100536.16,596664849.36,627042588.45,22785819188.46,-9753878009.75,-20562079.9,-12887348422.99,84009391855.57,71122043432.58,2482094.06,2482094.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000004.SZ,20250429,20250429,20250331,1,1,1,,,21660588.54,352627.0,,,,,,,,,,,,1048454.73,23061670.27,17390800.21,23765843.27,1329895.3,,,,,,6526849.14,49013387.92,-25951717.65,1630.14,,,,,1630.14,1313779.05,,,,,1313779.05,-1312148.91,,,,1305000.0,-31057147.25,3300000.0,16518.14,,502559.22,3819077.36,-2514077.36,,-29777943.92,70388795.06,40610851.14,1305000.0,1305000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000006.SZ,20250426,20250426,20250331,1,1,1,,,522683399.35,1119.95,,,,,,,,,,,,216303774.32,738988293.62,297712204.3,23446964.36,329549375.1,,,,,,86602825.03,737311368.79,1676924.83,,,,,,,10056635.62,45000000.0,,,,55056635.62,-55056635.62,327562178.96,,,327562178.96,41948698.86,472250000.0,22117872.99,4183.02,2938494.06,497306367.05,-169744188.09,,-223123898.88,2671628235.54,2448504336.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000007.SZ,20250430,20250430,20250331,1,1,1,,,108593920.81,2198888.76,,,,,,,,,,,,9105743.32,119898552.89,7164520.42,6890154.12,2137365.81,,,,,,10558827.9,26750868.25,93147684.64,,,41850.0,,,41850.0,119148.91,,,,,119148.91,-77298.91,1817667.7,,,1817667.7,,103009034.25,532340.38,,988200.24,104529574.87,-102711907.17,130483.87,-9511037.57,101984829.66,92473792.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000008.SZ,20250429,20250429,20250331,1,1,1,,,483063360.38,9400228.95,,,,,,,,,,,,25940031.3,518403620.63,304953755.74,138147610.4,58069143.41,,,,,,70685570.69,571856080.24,-53452459.61,55000.0,636348.43,,1883725.0,,2575073.43,4163442.83,,,,,4163442.83,-1588369.4,1683500000.0,,130947188.0,1814447188.0,-126305294.78,1478385288.35,35112160.74,,13471403.56,1526968852.65,287478335.35,158183.79,232595690.13,673450027.27,906045717.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000009.SZ,20250430,20250430,20250331,1,1,1,,,3893503729.7,221262592.63,,,,,,,,79607.17,,,,376135333.38,4491594674.0,3552255641.84,662204593.72,306037224.65,,,,,,478314860.33,4998812320.54,-507217646.54,0.0,1291937002.57,2283713.69,390966.59,,1294611682.85,870365895.68,2314033216.31,0.0,4960815.61,,3189359927.6,-1894748244.75,2933922459.52,,100000000.0,3045195390.72,,1170486382.6,169970601.66,450000.0,96742700.47,1437199684.73,1607995705.99,31730055.4,-762240129.9,6607741704.65,5845501574.75,11272931.2,11272931.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000010.SZ,20250429,20250429,20250331,1,1,1,,,111635987.98,9885.92,,,,,,,,,,,,1013262.54,112659136.44,84673160.93,17621472.86,9024985.53,,,,,,76631089.54,187950708.86,-75291572.42,,,,940.0,,940.0,,3500000.0,,,,3500000.0,-3499060.0,,,,,,1000000.0,252142.72,,1355278.48,2607421.2,-2607421.2,,-81398053.62,85993643.87,4595590.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000011.SZ,20250429,20250429,20250331,1,1,1,,,567716868.28,218295.47,,,,,,,,,,,,103572844.4,671508008.15,427608540.55,267686357.78,169226345.17,,,,,,78320765.73,942842009.23,-271334001.08,,,,46544544.16,,46544544.16,471247.43,,,,,471247.43,46073296.73,946685780.08,,,946685780.08,,133073362.21,47348140.92,,10786397.75,191207900.88,755477879.2,-150653.01,530066521.84,1610799884.3,2140866406.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000012.SZ,20250428,20250428,20250331,1,1,1,,,3040297234.0,1645898.0,,,,,,,,,,,,37263834.0,3079206966.0,2177958548.0,591305907.0,110616466.0,,,,,,130080116.0,3009961037.0,69245929.0,,721454000.0,1320670.0,4233004.0,,727007674.0,235334225.0,689000000.0,,8504624.0,,932838849.0,-205831175.0,1934022067.0,,,1934022067.0,-756013211.8939,1617842269.0,67059301.0,,73757544.0,1758659114.0,175362953.0,2074225.0,40851932.0,3367873386.0,3408725318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
