symbol,datetime,open,high,low,close,volume,amount
03696.HK,2025-12-30,35.0,35.7,29.98,29.98,37735345.0,0.0
03696.HK,2025-12-31,30.84,38.68,30.48,37.14,9829553.0,0.0
03696.HK,2026-01-02,36.98,39.5,35.44,37.58,4307390.0,0.0
03696.HK,2026-01-05,37.8,38.0,35.02,37.38,3843026.0,0.0
03696.HK,2026-01-06,38.0,38.8,36.9,38.14,3475800.0,0.0
03696.HK,2026-01-07,38.5,40.5,38.18,40.5,3868238.0,0.0
03696.HK,2026-01-08,40.64,44.9,39.66,44.9,4521461.0,0.0
03696.HK,2026-01-09,45.1,48.46,43.5,47.0,5128798.0,0.0
03696.HK,2026-01-12,48.1,57.6,48.1,54.5,6904218.0,0.0
03696.HK,2026-01-13,56.0,57.8,49.32,53.3,6526979.0,0.0
03696.HK,2026-01-14,53.5,59.85,51.4,57.95,3862470.0,0.0
03696.HK,2026-01-15,58.3,59.5,54.3,55.15,3036472.0,0.0
03696.HK,2026-01-16,55.35,55.5,51.05,55.2,3272852.0,0.0
03696.HK,2026-01-19,54.8,56.65,52.05,52.05,1671020.0,0.0
03696.HK,2026-01-20,53.5,57.25,52.15,53.05,2784048.0,0.0
03696.HK,2026-01-21,54.2,57.1,53.65,57.0,1685779.0,0.0
03696.HK,2026-01-22,58.0,61.9,57.6,58.9,3011959.0,0.0
03696.HK,2026-01-23,60.8,64.4,59.5,62.6,1768094.0,0.0
03696.HK,2026-01-26,64.5,64.5,54.8,56.65,3103035.0,0.0
03696.HK,2026-01-27,57.0,63.3,56.05,60.7,2715000.0,0.0
03696.HK,2026-01-28,60.4,62.8,58.0,59.7,1411800.0,0.0
03696.HK,2026-01-29,61.7,67.4,59.8,65.5,2573600.0,0.0
03696.HK,2026-01-30,65.5,66.4,60.75,62.9,1562941.0,0.0
03696.HK,2026-02-02,62.7,62.7,56.5,60.25,1933078.0,0.0
03696.HK,2026-02-03,63.0,69.85,62.45,69.0,3096196.0,0.0
03696.HK,2026-02-04,69.5,72.4,64.35,69.1,2210802.0,0.0
03696.HK,2026-02-05,68.8,71.0,65.1,68.0,1599200.0,0.0
03696.HK,2026-02-06,65.45,67.95,61.5,62.15,2133100.0,0.0
03696.HK,2026-02-09,63.5,69.0,60.0,67.15,4128708.0,0.0
03696.HK,2026-02-10,67.15,74.8,67.15,72.25,2348708.0,0.0
03696.HK,2026-02-11,72.95,78.0,70.5,73.2,1307052.0,0.0
03696.HK,2026-02-12,74.5,78.1,71.5,73.65,1498990.0,0.0
03696.HK,2026-02-13,72.0,74.7,70.0,73.5,1303000.0,0.0
03696.HK,2026-02-16,74.3,78.55,74.25,76.9,1662870.0,0.0
03696.HK,2026-02-20,80.0,80.9,70.0,73.3,2758400.0,0.0
03696.HK,2026-02-23,72.3,72.35,67.35,68.3,2827074.0,0.0
03696.HK,2026-02-24,68.3,70.0,63.5,65.55,2505761.0,0.0
03696.HK,2026-02-25,65.55,67.2,62.1,62.25,2228179.0,0.0
03696.HK,2026-02-26,62.4,65.35,62.4,62.85,1294050.0,0.0
03696.HK,2026-02-27,62.5,63.5,60.5,61.95,997050.0,0.0
03696.HK,2026-03-02,61.4,63.0,58.5,58.6,1701600.0,0.0
03696.HK,2026-03-03,59.0,60.3,54.0,54.2,3445167.0,0.0
03696.HK,2026-03-04,54.2,56.0,49.9,51.65,3184500.0,0.0
03696.HK,2026-03-05,53.2,58.25,52.0,56.1,2842650.0,0.0
03696.HK,2026-03-06,56.15,59.35,54.65,55.5,3663301.0,0.0
03696.HK,2026-03-09,53.0,60.0,50.55,59.45,6491500.0,0.0
03696.HK,2026-03-10,61.45,67.0,60.4,65.85,5899904.0,0.0
03696.HK,2026-03-11,66.05,67.45,63.3,63.85,2028241.0,0.0
03696.HK,2026-03-12,65.0,66.7,60.0,60.85,2385941.0,0.0
03696.HK,2026-03-13,59.2,59.2,54.65,55.15,3582063.0,0.0
03696.HK,2026-03-16,53.1,57.45,53.1,56.65,1654102.0,0.0
03696.HK,2026-03-17,56.5,57.65,54.3,55.45,1765600.0,0.0
03696.HK,2026-03-18,55.0,57.8,54.3,56.8,1512994.0,0.0
03696.HK,2026-03-19,56.8,56.8,52.9,53.9,1112000.0,0.0
03696.HK,2026-03-20,55.5,56.2,53.6,54.9,1355100.0,0.0
03696.HK,2026-03-23,52.2,53.0,46.72,49.24,3805877.0,0.0
03696.HK,2026-03-24,50.0,53.2,49.72,52.3,1825000.0,0.0
03696.HK,2026-03-25,53.25,55.4,51.0,52.05,2295100.0,0.0
03696.HK,2026-03-26,54.7,54.7,49.9,50.3,1177300.0,0.0
03696.HK,2026-03-27,49.8,57.6,49.62,57.2,4146420.0,0.0
03696.HK,2026-03-30,65.75,65.75,57.6,58.7,10217905.0,0.0
03696.HK,2026-03-31,59.6,62.2,53.0,56.0,5710110.0,0.0
03696.HK,2026-04-01,58.5,63.0,56.05,60.8,5467585.0,0.0
03696.HK,2026-04-02,62.55,62.55,55.75,57.25,4660004.0,0.0
03696.HK,2026-04-08,59.65,60.0,57.25,59.05,3539290.0,0.0
03696.HK,2026-04-09,59.5,64.4,58.0,62.05,6580848.0,0.0
03696.HK,2026-04-10,63.5,63.65,60.6,62.1,2787000.0,0.0
03696.HK,2026-04-13,61.8,61.8,59.1,60.55,2653060.0,0.0
03696.HK,2026-04-14,61.0,63.35,58.35,60.35,3635500.0,0.0
03696.HK,2026-04-15,62.15,62.5,59.6,60.35,2700000.0,0.0
03696.HK,2026-04-16,60.85,62.95,60.0,62.4,3297954.0,0.0
03696.HK,2026-04-17,62.6,62.8,59.6,60.8,2517800.0,0.0
03696.HK,2026-04-20,60.85,71.7,60.4,69.35,9056408.0,0.0
03696.HK,2026-04-21,69.35,69.75,67.35,68.35,2752500.0,0.0
03696.HK,2026-04-22,67.3,75.9,67.15,75.25,7543884.0,0.0
03696.HK,2026-04-23,75.0,75.0,70.3,71.55,4315897.0,0.0
03696.HK,2026-04-24,72.95,72.95,68.4,70.75,2100012.0,0.0
03696.HK,2026-04-27,71.0,71.8,64.9,65.85,3552550.0,0.0
03696.HK,2026-04-28,67.0,67.4,61.05,62.2,2896025.0,0.0
03696.HK,2026-04-29,63.15,66.15,61.95,64.3,3352136.0,0.0
03696.HK,2026-04-30,64.45,65.2,62.15,63.05,1911123.0,0.0
03696.HK,2026-05-04,64.0,64.65,62.1,64.3,1406864.0,0.0
03696.HK,2026-05-05,64.2,64.25,61.5,62.3,906100.0,0.0
03696.HK,2026-05-06,62.7,63.75,59.25,61.3,2895430.0,0.0
03696.HK,2026-05-07,62.5,66.1,62.2,65.4,2747428.0,0.0
03696.HK,2026-05-08,64.6,65.0,62.5,64.3,1832648.0,0.0
03696.HK,2026-05-11,64.45,69.35,62.95,68.2,3586180.0,0.0
03696.HK,2026-05-12,68.65,68.65,63.6,64.3,2579800.0,0.0
03696.HK,2026-05-13,62.7,63.45,58.75,59.5,4378513.0,0.0
03696.HK,2026-05-14,59.6,61.65,58.0,58.25,2500904.0,0.0
03696.HK,2026-05-15,58.6,59.7,52.3,52.95,4849690.0,0.0
03696.HK,2026-05-18,53.0,53.9,50.65,52.35,2343820.0,0.0
03696.HK,2026-05-19,54.8,54.8,50.0,51.6,2428600.0,0.0
03696.HK,2026-05-20,52.15,52.15,47.78,48.16,4182492.0,205625884.36
03696.HK,2026-05-21,49.3,49.3,45.36,45.84,3582500.0,0.0
03696.HK,2026-05-22,46.1,50.4,46.1,50.4,3754356.0,0.0
03696.HK,2026-05-26,50.6,52.0,47.7,48.28,3681733.0,0.0
03696.HK,2026-05-27,49.0,49.84,47.5,48.1,2896509.0,0.0
03696.HK,2026-05-28,48.2,49.2,46.0,46.32,2582172.0,0.0
03696.HK,2026-05-29,46.5,47.44,40.5,41.58,7655102.0,321398022.04
03696.HK,2026-06-01,41.74,42.16,38.52,39.58,5648600.0,0.0
03696.HK,2026-06-02,39.4,41.4,37.3,40.24,5586702.0,0.0
03696.HK,2026-06-03,40.86,41.62,39.06,40.72,3742574.0,0.0
