symbol,datetime,open,high,low,close,volume,amount
00575.HK,2001-11-28,0.136,0.136,0.136,0.136,100000.0,0.0
00575.HK,2001-11-29,0.138,0.144,0.138,0.144,76000.0,0.0
00575.HK,2001-11-30,0.144,0.144,0.144,0.144,0.0,0.0
00575.HK,2001-12-03,0.144,0.144,0.144,0.144,0.0,0.0
00575.HK,2001-12-04,0.145,0.145,0.145,0.145,46000.0,0.0
00575.HK,2001-12-05,0.152,0.162,0.152,0.162,1267750.0,0.0
00575.HK,2001-12-06,0.165,0.172,0.165,0.165,825000.0,0.0
00575.HK,2001-12-07,0.16,0.165,0.15,0.165,144000.0,0.0
00575.HK,2001-12-10,0.163,0.164,0.163,0.163,230000.0,0.0
00575.HK,2001-12-11,0.156,0.156,0.14,0.152,506000.0,0.0
00575.HK,2001-12-12,0.148,0.148,0.138,0.142,1057000.0,0.0
00575.HK,2001-12-13,0.14,0.143,0.14,0.14,950000.0,0.0
00575.HK,2001-12-14,0.138,0.138,0.132,0.132,122000.0,0.0
00575.HK,2001-12-17,0.14,0.155,0.14,0.145,2243000.0,0.0
00575.HK,2001-12-18,0.14,0.14,0.13,0.14,18025000.0,0.0
00575.HK,2001-12-19,0.139,0.139,0.131,0.131,220000.0,0.0
00575.HK,2001-12-20,0.13,0.13,0.13,0.13,100000.0,0.0
00575.HK,2001-12-21,0.124,0.124,0.12,0.123,376000.0,0.0
00575.HK,2001-12-24,0.118,0.118,0.117,0.117,150000.0,0.0
00575.HK,2001-12-27,0.12,0.13,0.12,0.122,493000.0,0.0
00575.HK,2001-12-28,0.131,0.14,0.131,0.14,209000.0,0.0
00575.HK,2001-12-31,0.142,0.173,0.142,0.173,1146000.0,0.0
00575.HK,2002-01-02,0.173,0.173,0.165,0.165,110000.0,0.0
00575.HK,2002-01-03,0.17,0.172,0.165,0.169,375000.0,0.0
00575.HK,2002-01-04,0.17,0.172,0.16,0.16,650000.0,0.0
00575.HK,2002-01-07,0.155,0.155,0.155,0.155,50000.0,0.0
00575.HK,2002-01-08,0.147,0.16,0.147,0.16,259000.0,0.0
00575.HK,2002-01-09,0.16,0.16,0.13,0.141,828000.0,0.0
00575.HK,2002-01-10,0.143,0.145,0.141,0.141,410000.0,0.0
00575.HK,2002-01-11,0.135,0.145,0.13,0.133,941000.0,0.0
00575.HK,2002-01-14,0.135,0.135,0.135,0.135,0.0,0.0
00575.HK,2002-01-15,0.13,0.148,0.13,0.148,136000.0,0.0
00575.HK,2002-01-16,0.13,0.148,0.13,0.148,409200.0,0.0
00575.HK,2002-01-17,0.14,0.155,0.14,0.155,585000.0,0.0
00575.HK,2002-01-18,0.16,0.16,0.155,0.155,226200.0,0.0
00575.HK,2002-01-21,0.155,0.168,0.155,0.16,354000.0,0.0
00575.HK,2002-01-22,0.16,0.16,0.16,0.16,0.0,0.0
00575.HK,2002-01-23,0.148,0.148,0.148,0.148,30000.0,0.0
00575.HK,2002-01-24,0.159,0.163,0.151,0.151,1072000.0,0.0
00575.HK,2002-01-25,0.157,0.157,0.148,0.148,1450000.0,0.0
00575.HK,2002-01-28,0.146,0.158,0.146,0.158,1781000.0,0.0
00575.HK,2002-01-29,0.145,0.15,0.144,0.144,800000.0,0.0
00575.HK,2002-01-30,0.141,0.141,0.139,0.14,529000.0,0.0
00575.HK,2002-01-31,0.14,0.148,0.14,0.148,510000.0,0.0
00575.HK,2002-02-01,0.145,0.15,0.145,0.15,220000.0,0.0
00575.HK,2002-02-04,0.15,0.15,0.15,0.15,80000.0,0.0
00575.HK,2002-02-05,0.15,0.15,0.15,0.15,0.0,0.0
00575.HK,2002-02-06,0.15,0.15,0.15,0.15,0.0,0.0
00575.HK,2002-02-07,0.14,0.14,0.14,0.14,123000.0,0.0
00575.HK,2002-02-08,0.145,0.145,0.145,0.145,100000.0,0.0
00575.HK,2002-02-11,0.152,0.155,0.142,0.155,100000.0,0.0
00575.HK,2002-02-15,0.15,0.15,0.15,0.15,0.0,0.0
00575.HK,2002-02-18,0.155,0.155,0.145,0.15,100000.0,0.0
00575.HK,2002-02-19,0.15,0.155,0.15,0.155,311000.0,0.0
00575.HK,2002-02-20,0.15,0.15,0.138,0.138,2617000.0,0.0
00575.HK,2002-02-21,0.138,0.142,0.138,0.14,2046000.0,0.0
00575.HK,2002-02-22,0.145,0.146,0.139,0.139,2170000.0,0.0
00575.HK,2002-02-25,0.135,0.137,0.135,0.136,2530000.0,0.0
00575.HK,2002-02-26,0.136,0.136,0.136,0.136,0.0,0.0
00575.HK,2002-02-27,0.136,0.155,0.136,0.155,8325500.0,0.0
00575.HK,2002-02-28,0.147,0.147,0.142,0.142,2022700.0,0.0
00575.HK,2002-03-01,0.14,0.149,0.14,0.148,231000.0,0.0
00575.HK,2002-03-04,0.15,0.155,0.149,0.155,446000.0,0.0
00575.HK,2002-03-05,0.149,0.152,0.145,0.149,260000.0,0.0
00575.HK,2002-03-06,0.155,0.155,0.147,0.147,150000.0,0.0
00575.HK,2002-03-07,0.155,0.155,0.138,0.139,950000.0,0.0
00575.HK,2002-03-08,0.155,0.155,0.15,0.155,100000.0,0.0
00575.HK,2002-03-11,0.146,0.153,0.146,0.146,160000.0,0.0
00575.HK,2002-03-12,0.145,0.145,0.145,0.145,100000.0,0.0
00575.HK,2002-03-13,0.153,0.153,0.143,0.144,250000.0,0.0
00575.HK,2002-03-14,0.144,0.144,0.144,0.144,0.0,0.0
00575.HK,2002-03-15,0.152,0.158,0.152,0.158,66000.0,0.0
00575.HK,2002-03-18,0.158,0.158,0.157,0.158,470000.0,0.0
00575.HK,2002-03-19,0.155,0.155,0.152,0.152,495000.0,0.0
00575.HK,2002-03-20,0.15,0.16,0.15,0.16,384000.0,0.0
00575.HK,2002-03-21,0.158,0.158,0.154,0.158,200000.0,0.0
00575.HK,2002-03-22,0.155,0.16,0.155,0.159,1005000.0,0.0
00575.HK,2002-03-25,0.16,0.16,0.16,0.16,146000.0,0.0
00575.HK,2002-03-26,0.165,0.175,0.165,0.17,1857000.0,0.0
00575.HK,2002-03-27,0.167,0.196,0.167,0.196,924000.0,0.0
00575.HK,2002-03-28,0.196,0.23,0.196,0.23,2592000.0,0.0
00575.HK,2002-04-02,0.24,0.24,0.222,0.222,2316000.0,0.0
00575.HK,2002-04-03,0.214,0.214,0.21,0.213,275000.0,0.0
00575.HK,2002-04-04,0.221,0.244,0.221,0.236,6849000.0,0.0
00575.HK,2002-04-08,0.232,0.3,0.232,0.3,11475000.0,0.0
00575.HK,2002-04-09,0.3,0.3,0.3,0.3,0.0,0.0
00575.HK,2002-04-10,0.3,0.3,0.3,0.3,0.0,0.0
00575.HK,2002-04-11,0.3,0.3,0.3,0.3,0.0,0.0
00575.HK,2002-04-12,0.35,0.35,0.35,0.35,0.0,0.0
00575.HK,2002-04-15,0.35,0.36,0.315,0.32,6264000.0,0.0
00575.HK,2002-04-16,0.32,0.355,0.32,0.34,4969400.0,0.0
00575.HK,2002-04-17,0.33,0.335,0.325,0.33,1433000.0,0.0
00575.HK,2002-04-18,0.325,0.325,0.32,0.32,1400000.0,0.0
00575.HK,2002-04-19,0.3,0.335,0.3,0.32,1367900.0,0.0
00575.HK,2002-04-22,0.32,0.33,0.315,0.315,950000.0,0.0
00575.HK,2002-04-23,0.305,0.315,0.27,0.29,1298000.0,0.0
00575.HK,2002-04-24,0.275,0.29,0.27,0.29,1260000.0,0.0
00575.HK,2002-04-25,0.27,0.37,0.27,0.355,6284000.0,0.0
00575.HK,2002-04-26,0.355,0.355,0.355,0.355,0.0,0.0
00575.HK,2002-04-29,0.355,0.355,0.355,0.355,0.0,0.0
00575.HK,2002-04-30,0.325,0.325,0.325,0.325,0.0,0.0
00575.HK,2002-05-02,0.34,0.345,0.32,0.32,1160000.0,0.0
00575.HK,2002-05-03,0.32,0.32,0.3,0.31,90000.0,0.0
00575.HK,2002-05-06,0.31,0.31,0.31,0.31,0.0,0.0
00575.HK,2002-05-07,0.285,0.285,0.285,0.285,0.0,0.0
