symbol,datetime,open,high,low,close,volume,amount
159707.SZ,2026-06-05,0.498,0.51,0.495,0.496,1376786.0,69089.15
159707.SZ,2026-06-08,0.493,0.496,0.479,0.483,1180856.0,57551.17
159707.SZ,2026-06-09,0.484,0.486,0.472,0.479,1314492.0,62570.48
159707.SZ,2026-07-07,0.447,0.448,0.429,0.431,124714700.0,4880990000.0
159707.SZ,2026-07-08,0.431,0.437,0.425,0.435,176482900.0,11732280000.0
159707.SZ,2026-07-13,0.434,0.453,0.43,0.45,210062400.0,9683470000.0
159707.SZ,2026-07-13,0.446,0.447,0.434,0.436,182809700.0,10633150000.0
159707.SZ,2026-07-13,0.446,0.447,0.434,0.435,182847700.0,10633190000.0
159707.SZ,2026-07-15,0.436,0.441,0.433,0.44,128938600.0,7774550000.0
159707.SZ,2026-07-15,0.436,0.441,0.433,0.44,128938600.0,7774550000.0
159707.SZ,2026-07-15,0.0,0.44,0.44,0.44,0.0,0.0
