symbol,datetime,open,high,low,close,volume,amount
688685.SH,2021-05-13,28.1,36.3,28.1,30.67,192584.76,611500.75
688685.SH,2021-05-14,29.79,33.27,28.66,28.89,154817.48,475674.55
688685.SH,2021-05-17,26.97,27.2,24.38,24.77,109109.49,278815.16
688685.SH,2021-05-18,24.45,28.4,24.11,26.55,113660.75,297553.57
688685.SH,2021-05-19,25.5,25.86,24.8,25.08,68495.33,172970.55
688685.SH,2021-05-20,24.92,25.79,24.42,24.95,54376.83,136322.43
688685.SH,2021-05-21,25.0,25.05,23.68,23.93,50222.1,121806.29
688685.SH,2021-05-24,23.76,24.48,23.71,23.98,25671.88,61720.6
688685.SH,2021-05-25,24.12,25.1,23.28,24.3,59739.71,145300.92
688685.SH,2021-05-26,24.49,24.49,23.84,24.02,37094.57,89539.89
688685.SH,2021-05-27,24.05,24.49,23.86,24.33,36608.74,88753.65
688685.SH,2021-05-28,24.28,25.74,24.01,24.7,61551.66,153713.47
688685.SH,2021-05-31,24.93,27.94,24.48,27.26,89573.61,233292.39
688685.SH,2021-06-01,27.18,29.88,26.03,28.6,96771.71,273564.8
688685.SH,2021-06-02,28.88,30.88,27.81,29.78,92525.59,272002.81
688685.SH,2021-06-03,29.3,29.54,28.0,28.0,44961.77,128346.84
688685.SH,2021-06-04,28.5,28.69,26.9,27.75,55888.12,154681.39
688685.SH,2021-06-07,28.0,29.7,27.51,28.5,57730.32,165334.53
688685.SH,2021-06-08,28.59,29.3,27.5,28.99,58415.67,165303.61
688685.SH,2021-06-09,28.99,29.58,27.76,28.09,43750.96,124231.77
688685.SH,2021-06-10,28.09,28.15,27.01,27.22,33577.98,91762.89
688685.SH,2021-06-11,27.3,27.45,26.05,26.13,33142.07,88431.01
688685.SH,2021-06-15,25.94,27.45,25.56,26.69,28080.89,74688.46
688685.SH,2021-06-16,26.6,26.6,24.64,25.6,29417.91,75540.24
688685.SH,2021-06-17,25.4,25.86,24.95,25.85,20699.74,52683.4
688685.SH,2021-06-18,25.58,27.46,25.41,26.84,34704.91,92998.75
688685.SH,2021-06-21,26.46,28.0,26.3,27.95,47899.35,131414.17
688685.SH,2021-06-22,27.9,28.14,26.85,27.52,38729.84,106376.6
688685.SH,2021-06-23,27.4,27.55,26.81,27.04,26732.38,72399.8
688685.SH,2021-06-24,26.95,27.71,26.3,26.35,22920.87,62057.61
688685.SH,2021-06-25,26.48,26.48,25.71,26.13,16964.82,44060.47
688685.SH,2021-06-28,26.0,27.07,25.82,26.78,18568.55,49459.02
688685.SH,2021-06-29,26.6,26.91,25.16,25.22,21748.87,56259.83
688685.SH,2021-06-30,25.3,25.97,25.17,25.95,20652.74,52761.58
688685.SH,2021-07-01,26.07,26.07,24.77,24.86,19003.41,48094.08
688685.SH,2021-07-02,24.96,25.47,24.71,25.12,14728.16,37000.22
688685.SH,2021-07-05,25.29,25.84,25.26,25.48,14375.61,36698.74
688685.SH,2021-07-06,25.49,25.6,24.71,25.16,15132.63,37988.29
688685.SH,2021-07-07,24.9,26.16,24.81,25.74,20102.55,51453.19
688685.SH,2021-07-08,25.73,27.5,25.5,27.0,38182.32,102410.58
688685.SH,2021-07-09,26.8,26.81,26.08,26.39,26964.95,71117.21
688685.SH,2021-07-12,26.5,26.71,26.08,26.41,22563.24,59467.1
688685.SH,2021-07-13,26.58,26.68,26.17,26.55,16653.12,43948.04
688685.SH,2021-07-14,26.41,26.64,25.13,25.23,19533.56,50448.92
688685.SH,2021-07-15,25.07,25.58,24.8,25.26,10535.36,26510.07
688685.SH,2021-07-16,25.26,29.98,25.16,27.73,62979.58,172873.6
688685.SH,2021-07-19,27.76,29.17,27.68,28.56,53615.12,152037.16
688685.SH,2021-07-20,27.88,29.0,27.48,28.38,33750.31,95337.73
688685.SH,2021-07-21,28.73,29.5,28.2,28.51,30087.02,86152.9
688685.SH,2021-07-22,28.51,30.3,27.77,29.52,48031.01,139189.14
688685.SH,2021-07-23,30.11,35.42,30.11,35.42,80523.21,264676.91
688685.SH,2021-07-26,37.89,39.59,35.64,35.88,111553.09,416968.73
688685.SH,2021-07-27,36.5,36.89,32.5,32.8,81888.2,279160.86
688685.SH,2021-07-28,32.0,32.6,30.0,30.9,49340.65,152240.05
688685.SH,2021-07-29,30.98,33.44,30.98,32.57,47984.91,153841.63
688685.SH,2021-07-30,32.09,32.49,30.91,31.12,34974.78,110383.22
688685.SH,2021-08-02,31.5,35.4,31.12,34.73,52913.82,177979.34
688685.SH,2021-08-03,34.6,35.0,32.48,32.79,35199.14,117786.72
688685.SH,2021-08-04,33.09,34.22,32.38,32.8,37746.54,125113.8
688685.SH,2021-08-05,34.0,35.18,32.41,32.8,51737.64,174752.16
688685.SH,2021-08-06,32.5,32.55,31.25,31.93,35938.76,113959.49
688685.SH,2021-08-09,31.8,32.9,31.2,31.67,26731.17,84945.91
688685.SH,2021-08-10,31.41,33.87,31.41,32.67,47633.82,156161.12
688685.SH,2021-08-11,32.4,33.47,31.79,32.77,32478.03,105697.45
688685.SH,2021-08-12,32.6,32.89,31.06,31.12,40586.06,128511.28
688685.SH,2021-08-13,31.28,32.2,30.22,30.65,32896.82,102443.35
688685.SH,2021-08-16,30.49,31.29,30.01,31.2,19926.33,61232.39
688685.SH,2021-08-17,30.89,31.21,29.36,29.47,29995.09,90643.43
688685.SH,2021-08-18,29.26,30.33,28.88,29.87,21270.4,63375.29
688685.SH,2021-08-19,29.65,31.6,29.05,31.0,30955.48,95124.75
688685.SH,2021-08-20,28.96,34.0,27.2,32.0,66330.47,200106.14
688685.SH,2021-08-23,32.18,34.7,32.18,34.2,54494.2,183417.71
688685.SH,2021-08-24,33.55,36.0,32.99,35.26,45692.8,159200.01
688685.SH,2021-08-25,34.73,36.57,34.15,34.96,37764.63,132192.71
688685.SH,2021-08-26,34.63,38.28,34.63,37.45,44484.03,164410.75
688685.SH,2021-08-27,36.4,36.79,33.77,34.38,45839.97,159907.35
688685.SH,2021-08-30,34.78,36.95,34.45,35.23,33126.15,118216.37
688685.SH,2021-08-31,36.56,36.95,33.71,34.03,25255.22,87386.17
688685.SH,2021-09-01,34.8,34.8,31.5,32.37,23072.82,74862.72
688685.SH,2021-09-02,31.98,31.99,31.13,31.37,14334.45,45186.85
688685.SH,2021-09-03,31.36,31.89,30.65,31.05,10992.55,34241.52
688685.SH,2021-09-06,30.89,31.49,30.62,31.19,10708.75,33259.58
688685.SH,2021-09-07,31.15,32.15,30.86,31.4,16002.01,50435.52
688685.SH,2021-09-08,31.12,31.3,30.28,30.83,13635.08,41994.68
688685.SH,2021-09-09,30.59,30.97,29.99,30.77,12746.01,38757.38
688685.SH,2021-09-10,30.56,30.78,29.63,29.91,11192.62,33651.31
688685.SH,2021-09-13,29.8,29.88,28.67,28.75,12777.58,37080.56
688685.SH,2021-09-14,28.74,29.52,28.74,28.86,9298.0,27082.32
688685.SH,2021-09-15,28.61,29.29,28.09,29.06,7888.61,22698.82
688685.SH,2021-09-16,29.1,29.17,27.75,28.28,11742.96,33453.39
688685.SH,2021-09-17,28.21,28.42,27.07,27.3,9778.56,26922.54
688685.SH,2021-09-22,27.0,27.67,26.67,27.55,5631.99,15421.68
688685.SH,2021-09-23,27.3,28.15,27.3,28.09,7258.73,20178.91
688685.SH,2021-09-24,28.15,28.46,27.01,27.02,6896.28,18932.32
688685.SH,2021-09-27,27.1,27.21,25.52,25.89,9952.79,25994.39
688685.SH,2021-09-28,25.58,26.19,25.55,25.97,5982.44,15492.94
688685.SH,2021-09-29,25.71,26.15,24.88,24.99,6875.78,17412.1
688685.SH,2021-09-30,25.01,25.6,25.01,25.14,4078.14,10327.84
688685.SH,2021-10-08,24.99,25.88,24.99,25.28,3992.14,10127.7
688685.SH,2021-10-11,25.45,27.15,25.1,26.1,11407.63,29954.15
688685.SH,2021-10-12,26.1,26.1,24.88,25.1,8365.48,21120.28
688685.SH,2021-10-13,25.4,25.4,24.68,25.06,7010.85,17467.36
688685.SH,2021-10-14,25.06,25.67,24.86,25.38,9295.97,23643.9
