symbol,datetime,open,high,low,close,volume,amount
688535.SH,2023-04-04,60.02,70.13,56.0,62.65,123412.81,779923.14
688535.SH,2023-04-06,59.99,91.0,57.23,83.0,125379.6,872891.82
688535.SH,2023-04-07,77.77,79.46,71.89,72.71,94159.87,705786.13
688535.SH,2023-04-10,72.3,72.48,64.11,65.93,75775.87,514678.03
688535.SH,2023-04-11,64.0,69.89,63.22,67.66,62514.17,422670.67
688535.SH,2023-04-12,65.8,69.46,64.51,65.07,44492.28,296847.97
688535.SH,2023-04-13,64.8,66.2,61.18,61.3,47187.71,298750.26
688535.SH,2023-04-14,61.9,66.3,59.11,65.75,54022.1,342574.09
688535.SH,2023-04-17,65.65,70.47,65.15,65.53,54420.73,368918.18
688535.SH,2023-04-18,64.96,67.88,63.61,65.88,29262.71,191859.35
688535.SH,2023-04-19,65.0,68.5,65.0,66.1,34267.14,228455.44
688535.SH,2023-04-20,67.05,69.37,63.88,69.35,50266.11,334954.71
688535.SH,2023-04-21,69.1,76.89,69.0,71.6,61646.12,447962.03
688535.SH,2023-04-24,73.0,75.7,70.06,73.59,38093.4,276097.54
688535.SH,2023-04-25,72.0,78.5,71.4,72.72,42531.37,318397.44
688535.SH,2023-04-26,69.12,69.99,58.5,60.0,45124.89,281253.53
688535.SH,2023-04-27,60.0,64.08,59.01,61.36,25337.72,157076.88
688535.SH,2023-04-28,62.0,64.7,61.45,62.88,19169.98,120674.09
688535.SH,2023-05-04,63.22,63.49,56.66,57.09,27423.53,161288.1
688535.SH,2023-05-05,56.32,57.79,53.66,53.73,20689.28,113760.76
688535.SH,2023-05-08,55.07,56.56,53.5,54.15,14102.37,77093.86
688535.SH,2023-05-09,55.06,55.72,51.16,52.0,20420.11,107343.06
688535.SH,2023-05-10,51.8,52.8,50.09,50.53,15350.67,78214.75
688535.SH,2023-05-11,50.78,51.46,50.16,51.3,9745.77,49656.21
688535.SH,2023-05-12,51.35,52.78,49.68,50.0,13303.93,68179.06
688535.SH,2023-05-15,50.0,51.48,49.14,51.25,12623.77,64207.7
688535.SH,2023-05-16,51.65,52.68,49.53,52.0,16430.63,84586.95
688535.SH,2023-05-17,51.02,53.53,51.02,53.0,12790.91,66941.47
688535.SH,2023-05-18,52.98,54.77,52.1,54.2,15709.43,84268.02
688535.SH,2023-05-19,55.55,58.85,55.0,57.33,28163.39,161097.93
688535.SH,2023-05-22,59.0,61.49,55.5,56.13,21748.48,125810.12
688535.SH,2023-05-23,54.87,60.29,54.05,60.24,32831.3,191297.81
688535.SH,2023-05-24,59.03,62.5,58.29,58.72,29513.52,176755.44
688535.SH,2023-05-25,58.93,61.28,56.49,58.68,19605.25,114278.55
688535.SH,2023-05-26,58.83,60.89,58.01,60.02,20759.25,124003.15
688535.SH,2023-05-29,61.0,64.0,60.5,61.75,18725.61,116630.0
688535.SH,2023-05-30,61.43,62.25,58.82,61.9,26491.1,159561.86
688535.SH,2023-05-31,62.24,62.98,60.25,61.11,15504.58,95307.4
688535.SH,2023-06-01,62.12,64.0,60.38,60.68,17849.56,110607.51
688535.SH,2023-06-02,61.8,62.6,59.59,61.0,15048.65,91987.54
688535.SH,2023-06-05,61.0,68.3,61.0,62.82,25291.24,162159.14
688535.SH,2023-06-06,61.6,68.0,60.5,65.02,32403.34,208395.24
688535.SH,2023-06-07,67.0,69.47,64.0,65.32,31433.43,207992.87
688535.SH,2023-06-08,63.0,66.41,61.58,65.82,26869.22,173237.41
688535.SH,2023-06-09,65.0,66.74,63.09,65.5,18428.25,119155.15
688535.SH,2023-06-12,67.41,69.27,65.81,67.96,23920.47,162065.13
688535.SH,2023-06-13,67.54,68.69,64.8,68.0,18493.1,123573.36
688535.SH,2023-06-14,67.2,67.6,64.6,64.96,20031.06,131761.85
688535.SH,2023-06-15,65.65,66.0,62.3,62.7,16553.47,105341.12
688535.SH,2023-06-16,62.95,64.6,59.71,64.38,32354.83,199598.06
688535.SH,2023-06-19,63.51,67.69,62.57,67.59,33917.99,222457.03
688535.SH,2023-06-20,69.0,69.0,64.02,64.05,30094.22,199809.98
688535.SH,2023-06-21,63.0,63.87,58.84,59.64,32454.13,197130.84
688535.SH,2023-06-26,58.22,60.6,56.0,57.55,19332.05,112971.49
688535.SH,2023-06-27,57.0,59.33,56.52,58.02,11487.76,66333.78
688535.SH,2023-06-28,57.38,59.26,55.0,58.46,16504.59,94400.59
688535.SH,2023-06-29,58.0,60.45,58.0,58.89,12907.07,76686.66
688535.SH,2023-06-30,58.8,61.57,57.9,61.13,16879.22,101587.88
688535.SH,2023-07-03,61.13,61.61,59.93,60.15,10904.02,66203.26
688535.SH,2023-07-04,60.0,63.8,59.2,62.67,16330.55,101482.47
688535.SH,2023-07-05,63.9,69.99,63.49,64.4,33832.58,224789.94
688535.SH,2023-07-06,65.3,68.58,64.6,66.72,27655.22,184195.65
688535.SH,2023-07-07,67.79,71.5,65.66,70.01,38655.68,265956.99
688535.SH,2023-07-10,69.51,69.51,64.71,65.9,26262.43,173798.91
688535.SH,2023-07-11,66.66,79.08,66.66,79.08,45352.92,337246.1
688535.SH,2023-07-12,85.0,94.9,83.5,92.5,88749.17,795168.23
688535.SH,2023-07-13,93.13,111.0,91.0,111.0,89869.02,918260.56
