symbol,datetime,open,high,low,close,volume,amount
301357.SZ,2023-04-18,60.4,71.0,59.81,59.93,115390.9,722215.77
301357.SZ,2023-04-19,61.38,62.39,57.88,60.01,70276.54,422970.82
301357.SZ,2023-04-20,59.78,59.78,53.9,54.0,71267.62,398289.24
301357.SZ,2023-04-21,54.0,57.48,53.68,54.41,57348.08,319744.59
301357.SZ,2023-04-24,53.0,54.69,51.51,51.98,40053.95,212045.24
301357.SZ,2023-04-25,51.9,53.25,49.2,49.61,36901.67,187739.32
301357.SZ,2023-04-26,49.0,50.55,48.5,49.55,22521.25,112494.15
301357.SZ,2023-04-27,47.99,50.91,47.99,48.5,25856.16,127671.06
301357.SZ,2023-04-28,49.05,49.79,48.92,49.49,17020.89,84082.02
301357.SZ,2023-05-04,49.6,50.75,49.12,49.37,18949.65,94530.9
301357.SZ,2023-05-05,49.0,49.19,45.11,45.48,30210.76,139524.03
301357.SZ,2023-05-08,45.1,48.55,45.1,47.81,29029.26,136796.34
301357.SZ,2023-05-09,47.37,47.83,45.8,45.87,15486.0,72048.48
301357.SZ,2023-05-10,46.63,50.2,46.16,49.16,37039.55,178913.97
301357.SZ,2023-05-11,48.55,48.75,46.88,47.04,26813.76,127226.95
301357.SZ,2023-05-12,47.14,47.26,46.03,46.17,16654.7,77165.52
301357.SZ,2023-05-15,46.0,47.56,45.85,47.36,16716.52,78381.66
301357.SZ,2023-05-16,47.29,49.09,46.56,48.29,25488.2,122547.69
301357.SZ,2023-05-17,47.88,51.35,47.5,50.31,41696.34,207917.58
301357.SZ,2023-05-18,49.21,50.45,49.11,49.61,28199.56,139808.39
301357.SZ,2023-05-19,49.49,51.5,48.7,50.5,33781.7,170374.41
301357.SZ,2023-05-22,50.01,52.37,49.83,51.52,35312.3,181266.99
301357.SZ,2023-05-23,51.24,54.5,50.05,53.0,50177.7,261757.24
301357.SZ,2023-05-24,51.5,52.28,51.01,51.2,33208.39,171584.11
301357.SZ,2023-05-25,51.0,57.3,50.9,53.44,58396.44,317127.16
301357.SZ,2023-05-26,52.41,53.09,49.8,50.44,42046.96,213402.64
301357.SZ,2023-05-29,50.26,54.24,49.58,54.03,44708.95,234431.3
301357.SZ,2023-05-30,53.0,53.85,51.65,51.92,28451.79,149250.5
301357.SZ,2023-05-31,51.7,52.3,50.55,50.9,23573.66,120923.1
301357.SZ,2023-06-01,50.52,51.56,50.4,51.04,18987.05,96814.12
301357.SZ,2023-06-02,51.51,52.87,51.2,52.05,28793.99,149938.25
301357.SZ,2023-06-05,51.1,51.89,50.3,50.39,20082.47,102206.49
301357.SZ,2023-06-06,50.6,51.38,49.48,49.6,20695.63,104374.27
301357.SZ,2023-06-07,49.48,49.6,47.33,48.33,20741.56,99639.37
301357.SZ,2023-06-08,48.09,49.33,47.15,47.31,17233.81,82948.46
301357.SZ,2023-06-09,47.8,48.79,47.55,48.22,12991.19,62588.46
301357.SZ,2023-06-12,47.64,48.78,47.41,48.46,10672.87,51403.18
301357.SZ,2023-06-13,48.75,49.36,48.01,49.29,16158.97,78994.27
