month,m0,m0_yoy,m0_mom,m1,m1_yoy,m1_mom,m2,m2_yoy,m2_mom
202211,99740.12,14.1,1.34470051,667042.61,4.6,0.74026832,2647008.48,12.4,1.30482299
202210,98416.71,14.4,-0.25878653,662140.99,5.8,-0.3602789,2612914.57,11.8,-0.52106698
202209,98672.06,13.6,1.48206802,664535.17,6.4,-0.01048443,2626600.92,12.1,1.21509905
202208,97231.03,14.3,0.7479495,664604.85,6.1,0.41891577,2595068.27,12.2,0.65900629
202207,96509.19,13.9,0.51871048,661832.33,6.7,-1.85986781,2578078.57,12.0,-0.13064861
202206,96011.17,13.9,0.48595004,674374.81,5.8,4.53680807,2581451.2,11.4,2.1537193
202205,95546.86,13.5,-0.08327191,645107.52,4.6,1.40983494,2527026.15,11.1,1.09273636
202204,95626.49,11.5,0.50931282,636139.01,5.1,-1.38355152,2499710.9,10.5,0.08097728
202203,95141.92,10.0,-2.14525284,645063.8,4.7,3.7727209,2497688.34,9.7,2.30185114
202202,97227.7,5.8,-8.4388976,621612.11,4.7,1.2629538,2441488.9,9.2,0.4305258
202201,106188.87,18.5,16.91571112,613859.35,-1.9,-5.18717197,2431022.72,9.8,2.01952112
202112,90825.15,7.7,3.87922649,647443.35,3.5,1.56260245,2382899.56,9.0,1.14119925
202111,87433.41,7.2,1.56545018,637482.04,3.0,1.82083462,2356012.76,8.5,0.84978237
202110,86085.78,6.2,-0.89943153,626082.12,2.8,0.22996077,2336160.48,8.7,-0.28466516
202109,86867.09,5.5,2.1254491,624645.68,3.7,-0.32122909,2342829.7,8.3,1.32173365
202108,85059.2,6.3,0.4032694,626658.69,4.2,1.01418023,2312267.68,8.2,0.43932164
202107,84717.56,6.1,0.43936374,620367.05,4.9,-2.68437083,2302153.82,8.3,-0.67454563
202106,84346.97,6.2,0.2010627,637479.36,5.5,3.34793967,2317788.36,8.6,1.85671646
202105,84177.72,5.6,-1.89462255,616828.32,6.1,1.88404651,2275538.07,8.3,0.59373625
202104,85803.37,5.3,-0.85537193,605421.89,6.2,-1.7352786,2262107.12,8.1,-0.63173305
202103,86543.64,4.2,-5.85366703,616113.17,7.1,3.8123316,2276488.45,9.4,1.80937578
202102,91924.6,4.2,2.5655273,593487.46,7.4,-5.12759042,2236030.26,10.1,1.03851959
202101,89625.24,-3.9,6.29868897,625563.81,14.7,-0.00274625,2213047.33,9.4,1.20045223
202012,84314.53,9.2,3.33472192,625580.99,8.6,1.12325552,2186795.89,10.1,0.6810922
202011,81593.61,10.3,0.68756731,618632.17,10.0,1.5512201,2172002.55,10.7,1.03651292
202010,81036.43,10.4,-1.62003873,609182.41,9.1,1.14065279,2149720.42,10.5,-0.66376234
202009,82370.87,11.1,2.90864715,602312.12,8.1,0.17013779,2164084.8,10.9,1.27515066
202008,80042.71,9.4,0.21974179,601289.1,8.0,1.70781275,2136836.91,10.4,0.53534088
202007,79867.20837,9.9,0.51322017,591192.6368,6.9,-2.17192478,2125458.462,10.7,-0.4445165
202006,79459.40667,9.5,-0.31041635,604317.9685,6.5,3.99354149,2134948.661,11.1,1.65532755
202005,79706.8297,9.5,-2.18246366,581111.0573,6.8,1.92240098,2100183.741,11.1,0.31764053
202004,81485.2149,10.2,-1.85130012,570150.4789,5.5,-0.8520659,2093533.829,11.1,0.60600106
202003,83022.20508,10.8,-5.85669711,575050.2863,5.0,4.04369961,2080923.411,10.1,2.46662579
202002,88187.05371,10.9,-5.42858426,552700.7291,4.8,1.31412003,2030830.424,8.8,0.38377083
202001,93249.1631,6.6,20.80554912,545531.7866,0.0,-5.29112487,2023066.485,8.4,1.84132247
201912,77189.47,5.4,4.34701087,576009.15,4.4,2.40408072,1986488.82,8.7,1.27760183
201911,73973.82,4.8,0.78808754,562486.52,3.5,0.77804305,1961429.56,8.2,0.81357964
201910,73395.4,4.7,-0.99062792,558143.92,3.3,0.18056031,1945600.55,8.4,-0.34062944
201909,74129.75,4.0,1.33574163,557137.95,3.4,0.06103828,1952250.49,8.4,0.86582927
201908,73152.62,4.8,0.63746703,556798.09,3.4,0.67896696,1935492.43,8.2,0.83784096
201907,72689.25,4.5,0.14919891,553043.11,3.1,-2.58114649,1919410.82,8.1,-0.10145781
201906,72580.96,4.3,-0.29877006,567696.18,4.4,4.28773733,1921360.19,8.5,1.59725198
201905,72798.46,4.3,-1.57816265,544355.64,3.4,0.69199759,1891153.7,8.5,0.34400552
201904,73965.76,3.5,-1.30210759,540614.6,2.9,-1.27122917,1884670.33,8.5,-0.25096748
201903,74941.58,3.1,-5.71574008,547575.54,4.6,3.86673523,1889412.14,8.6,1.17727144
201902,79484.72,-2.4,-9.12980839,527190.48,1.6,-3.38098968,1867427.45,8.0,0.07996633
201901,87470.62,17.2,19.48166599,545638.46,0.4,-1.09617583,1865935.33,8.4,2.14540788
201812,73208.40337957,3.6,3.74854769,551685.90754868,1.5,1.50639683,1826744.21571345,8.1,0.74836405
201811,70563.30426885,2.8,0.65141265,543498.66093155,1.5,0.62398046,1813175.06539151,8.0,0.9809449
201810,70106.62087234,2.8,-1.61062677,540128.36546464,2.7,0.28859224,1795561.59556379,8.0,-0.33879683
201809,71254.26107543,2.2,2.11946931,538574.08246877,4.0,0.046336,1801665.58145761,8.3,0.72652578
201808,69775.39303606,3.3,0.35207995,538324.64434997,3.9,0.31686051,1788670.42970175,8.2,0.70230559
201807,69530.58976978,3.6,-0.08441476,536624.29388092,5.1,-1.34580193,1776196.10516409,8.5,0.33995061
201806,69589.3334355,3.9,-0.26581881,543944.71230776,6.6,3.35716862,1770178.373,8.0,1.55557019
201805,69774.80799697,3.6,-2.38071148,526276.71554375,6.0,0.15775977,1743063.7923233,8.3,0.30961117
201804,71476.45619813,4.5,-1.67303411,525447.77033558,7.2,0.36438391,1737683.72947489,8.3,-0.1250531
201803,72692.6286707,6.0,-10.72360562,523540.0745583,7.1,1.25795531,1739859.47770953,8.2,0.62399781
201802,81424.24340892,13.5,9.09470891,517035.99284148,8.5,-4.82490042,1729070.11807809,8.8,0.47975283
201801,74636.29008648,-13.8,5.64888809,543247.12570164,15.0,-0.09985828,1720814.46207142,8.6,1.8091651
201712,70645.59924243,3.4,2.94717122,543790.14519118,11.8,1.53577902,1690235.31468079,8.0654,0.65977636
201711,68623.15730039,5.7,0.57520929,535565.04954123,12.7,1.82286595,1679156.63613009,9.1148,1.00494309
201710,68230.68804671,6.3,-2.17617772,525977.19041969,13.0,1.56685311,1662449.96019881,8.8771,-0.07309725
201709,69748.54023602,7.2,3.25317331,517863.03732941,14.0,-0.04842419,1663666.05438742,8.976,0.64846315
201708,67550.9894732,6.5,0.62856263,518113.92979868,14.0,1.4945314,1652947.30031106,8.5633,1.014837
201707,67129.04140261,6.1,0.2259854,510484.57751922,15.3,0.05025429,1636341.10524859,8.89,-0.19249439
201706,66977.68162005,6.6,-0.52800919,510228.16597674,15.0,2.78780593,1639497.04513491,9.1013,1.84851324
201705,67333.20714106,7.3,-1.54898233,496389.78217316,17.0,1.2667504,1609740.77375527,9.1289,0.3629818
201704,68392.5963723,6.2,-0.30967637,490180.41972742,18.5,0.28854665,1603918.84024284,9.8426,-0.25001818
201703,68605.05,6.1,-4.35346517,488770.09,18.8,2.56910408,1607938.98002212,10.1178,1.13733403
201702,71727.69,3.3,-17.17223868,476527.6,21.4,0.84675683,1589856.99535048,10.45,0.35743283
201701,86598.61,19.4,26.78434295,472526.45,14.5,-2.88368691,1584194.56383135,10.7032,2.20170504
201612,68303.86780278,8.1,5.23911315,486557.23737089,21.4,2.34572306,1550066.66781086,11.3,1.28294541
201611,64903.5,7.6,1.07228958,475405.54,22.7,2.13964157,1530432.06,11.4,0.7204189
201610,64214.93,7.2,-1.31198418,465446.65,23.9,2.44451157,1519485.4,11.6,0.20607896
201609,65068.62,6.6,2.54342074,454340.25,24.7,-0.04473718,1516360.5,11.5,0.35590012
201608,63454.7,7.4,0.2823977,454543.6,25.3,2.62096807,1510982.91,11.4,1.30227458
201607,63276.01,7.2,0.72767921,442934.43,25.4,-0.15987379,1491558.72,10.2,0.07157973
201606,62818.89,7.2,0.06081486,443643.7,24.6,4.57111797,1490491.83,11.8,1.97009074
201605,62780.71,6.3,-2.51922382,424250.7,23.7,2.59872653,1461695.11,11.8,1.14070098
201604,64403.17,6.0,-0.38365871,413504.84,22.9,0.46735115,1445209.59,12.8,-0.06834749
201603,64651.21,4.4,-6.87148171,411581.31,22.1,4.86022558,1446198.03,13.4,1.51474583
201602,69421.49535554,-4.8,-4.28121337,392504.69634977,17.4,-4.89014923,1424618.67792204,13.3,0.58596437
201601,72526.51,15.1,14.72704207,412685.64,18.6,2.92607539,1416319.55,14.0,1.72677001
201512,63216.57797013,4.9,4.78770468,400953.4400483,15.2,3.44027084,1392278.10919881,13.3,1.33352881
201511,60328.24,3.2,0.71412563,387618.32,15.7,3.14307281,1373956.01,13.7,0.95041209
201510,59900.47535084,3.8,-1.8394625,375806.44967709,14.0,3.12541753,1361020.70462698,13.5,0.08799996
201509,61022.97,3.7,3.32055632,364416.9,11.4,0.4474085,1359824.06,13.1,0.21490625
201508,59061.79,1.8,0.08656448,362793.73,9.3,2.73886387,1356907.98,13.3,0.27320613
201507,59010.70768852,2.9,0.69353885,353122.19382944,6.6,-0.83145301,1353210.92482599,13.3,1.48762013
201506,58604.26434477,2.9,-0.79847298,356082.85545863,4.3,3.78826322,1333375.36453853,11.8,1.99010079
201505,59075.97,1.8,-2.79154406,343085.86,4.7,1.99103869,1307357.63,10.8,2.07518136
201504,60772.46,3.7,-1.90049009,336388.24,3.7,-0.24384767,1280779.14,10.1,0.42705403
201503,61949.81,6.2,-15.01639929,337210.52,2.9,0.82864005,1275332.78,11.6,1.42775412
201502,72896.19348426,17.0,15.6338952,334439.22267292,5.6,-3.92700558,1257380.4784755,12.5,1.1805053
201501,63040.50673114,-17.6,4.61500105,348109.50224619,10.6,0.01525424,1242710.2185386,10.8,1.16702259
201412,60259.52884,2.9,3.11609282,348056.4089,3.2,3.86205109,1228374.807,12.2,1.63567431
201411,58438.53,3.5,1.29462846,335114.13,3.2,1.66750674,1208605.95,12.3,0.78130022
201410,57691.63764,3.8,-1.95998395,329617.7321,3.2,0.73269377,1199236.314,12.6,-0.23419098
201409,58844.99,4.2,1.46106021,327220.21,4.8,-1.44659155,1202051.41,12.9,0.38015311
201408,57997.61,5.6,1.13539623,332023.23,5.7,0.20398837,1197499.08,12.8,0.2721241
201407,57346.5,5.4,0.69436823,331347.32,6.7,-2.96940049,1194249.24,13.5,-1.2680326
201406,56951.05,5.3,-1.8949853,341487.45,8.9,4.16297838,1209587.2,14.7,2.30849864
201405,58051.11,6.7,-0.96293577,327839.56,5.7,1.03458269,1182293.96,13.4,1.15341751
201404,58615.54,5.4,0.49073107,324482.52,5.5,-0.97692366,1168812.67,13.2,0.70004121
201403,58329.3,5.2,-6.40498901,327683.74,5.4,3.49265729,1160687.38,12.1,2.55588895
201402,62320.95,3.3,-18.52255907,316625.11,6.9,0.54765147,1131760.83,13.3,0.73337467
201401,76488.59523,22.5,30.58357063,314900.5525,1.2,-6.63833135,1123521.21,13.2,1.53600057
201312,58574.44,7.1,3.77944637,337291.05,9.3,3.83875789,1106524.98,13.6,2.52654591
201311,56441.27238,7.7,1.52089474,324821.9228,9.4,1.66271888,1079257.055,14.2,0.84232226
201310,55595.72,8.0,-1.58748617,319509.38,8.9,2.29853962,1070242.167,14.3,-0.66244051
201309,56492.53112,5.7,2.85329291,312330.3433,8.9,-0.55894475,1077379.163,14.2,1.51921181
201308,54925.35,9.3,0.94200296,314085.91,9.9,1.12346741,1061256.43,14.7,0.85953088
201307,54412.78,9.5,0.64529184,310596.46,9.7,-0.92611217,1052212.34,14.5,-0.20782837
201306,54063.91,9.9,-0.67512514,313499.82,9.1,1.06231219,1054403.69,14.0,1.17394857
201305,54431.39,10.8,-2.11440652,310204.48,11.3,0.83083794,1042169.16,15.8,0.93140664
201304,55607.15123,10.8,0.26438849,307648.4202,11.9,-1.04531607,1032551.903,16.1,-0.31920068
201303,55460.52,12.4,-8.04648699,310898.29,11.9,4.99658497,1035858.37,15.7,3.73097427
201302,60313.65,17.2,-3.42032451,296103.24,9.5,-4.85987227,998600.83,15.2,0.65229203
201301,62449.63,4.4,14.25154186,311228.55,15.3,0.83077978,992129.25,15.9,1.84576011
201212,54659.77,7.7,4.32822722,308664.23,6.5,3.96830738,974148.8,13.8,3.10281485
201211,52392.12,10.7,1.79609303,296883.0,5.5,1.21823931,944832.4,13.9,0.9000515
201210,51467.71201,10.5,-3.67892152,293309.7849,6.1,2.27400523,936404.2792,14.1,-0.77191491
201209,53433.4881,13.3,6.36692076,286788.2061,7.3,0.36709719,943688.7534,14.8,2.0320334
201208,50235.06154,9.7,1.06469112,285739.2653,4.5,0.93559576,924894.5865,13.5,0.63348487
201207,49705.84779,10.0,0.85464313,283090.6809,4.6,-1.5426384,919072.4019,13.9,-0.63987615
201206,49284.64,10.8,0.49943189,287526.17,4.7,3.18308241,924991.2,13.6,2.77123094
201205,49039.72,10.0,-2.30999145,278656.31,3.5,1.33552949,900048.77,13.2,1.17408752
201204,50199.32,10.4,1.21699969,274983.82,3.1,-1.08428435,889604.04,12.8,-0.66566432
201203,49595.74,10.6,-3.60171806,277998.11,4.4,2.84337982,895565.5,13.4,3.274333
201202,51448.78,8.8,-13.99505054,270312.11,4.3,0.11174014,867171.42,13.0,1.31703991
201201,59820.72,3.0,17.87691291,270010.4,3.1,-6.84404161,855898.89,12.4,0.50587553
201112,50748.4617,13.8,7.2514774,289847.697,7.9,2.99603197,851590.9,13.6,3.16137455
201111,47317.2612,12.0,1.58411034,281416.3725,7.8,1.758689,825493.9445,12.7,1.06077196
201110,46579.39223,11.9,-1.20032127,276552.6711,8.4,3.50290021,816829.2489,12.9,3.73670476
201109,47145.28714,12.68,2.99288274,267193.1613,8.85,-2.26801526,787406.2038,13.04,0.83932668
201108,45775.28649,14.7,1.31063714,273393.7738,11.2,1.05273317,780852.3021,13.5,1.02580017
201107,45183.1,14.3,1.58573491,270545.65,11.6,-1.498901,772923.65,14.7,-1.01139717
201106,44477.8,14.4,-0.28032207,274662.57,13.1,1.99522892,780820.85,15.9,2.28077348
201105,44602.83158,15.4,-1.94815414,269289.6255,12.7,0.94566112,763409.2151,15.1,0.79545498
201104,45489.02796,14.7,1.43562226,266766.9145,12.9,0.19208412,757384.5619,15.3,-0.09844185
201103,44845.22,14.8,-5.13012207,266255.48,15.0,2.72182361,758130.88,16.6,2.98860132
201102,47270.24107,10.3,-18.58933305,259200.4996,14.5,-0.97969795,736130.8633,15.7,0.30604715
201101,58063.94032,42.5,30.10603016,261765.006,13.6,-1.82150849,733884.8297,17.2,1.10670523
201012,44628.17,16.7,5.62339882,266621.54,21.2,2.77588895,725851.79,19.7,2.18385369
201011,42252.1624,16.3,1.45500958,259420.32,22.1,2.41090928,710339.025,19.5,1.50937913
201010,41646.20611,16.6,-0.49744792,253313.1693,22.1,3.89270582,699776.7409,19.3,0.47456944
201009,41854.41,13.8,4.83846955,243821.9,20.9,-0.21230283,696471.5,19.0,1.30392603
201008,39922.75944,16.0,0.95997004,244340.6421,21.9,1.52767819,687506.9183,19.2,1.99620353
201007,39543.15698,15.5,1.64069973,240664.0696,22.9,0.03494559,674051.4789,17.6,0.01925372
201006,38904.84529,15.7,0.65162824,240579.9975,24.6,1.72606805,673921.7239,18.5,1.59347736
201005,38652.97161,15.2,-2.53309965,236497.8831,29.9,1.10646234,663351.37,21.0,1.03419953
201004,39657.53653,15.76,1.47632042,233909.7597,31.25,1.96681218,656561.217,21.48,1.01758266
201003,39080.58192,15.81,-8.83036115,229397.9332,29.94,2.27876776,649947.4643,22.5,2.18138732
