ts_code,report_year,report_type,ann_date,f_ann_date,comp_type,total_revenue,revenue,total_cogs,oper_cost,sell_exp,admin_exp,fin_exp,operate_profit,total_profit,income_tax,n_income,n_income_attr_p,basic_eps,created_at,updated_at
000001.SZ,2019,3,2019-10-22,2019-10-22,2,102958000000.00,102958000000.00,72245000000.00,,,30297000000.00,,30713000000.00,30676000000.00,7055000000.00,23621000000.00,23621000000.00,1.3200,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2019,2,2019-08-08,2019-08-08,2,67829000000.00,67829000000.00,47792000000.00,,,19981000000.00,,20037000000.00,20003000000.00,4600000000.00,15403000000.00,15403000000.00,0.8500,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2019,4,2020-02-14,2020-02-14,2,137958000000.00,137958000000.00,101669000000.00,,,40852000000.00,,36289000000.00,36240000000.00,8045000000.00,28195000000.00,28195000000.00,1.5400,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2019,1,2019-04-24,2019-04-24,2,32476000000.00,32476000000.00,22809000000.00,,,9620000000.00,,9667000000.00,9671000000.00,2225000000.00,7446000000.00,7446000000.00,0.3800,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:43:57.657372+08:00
000002.SZ,2019,4,2020-03-18,2020-03-18,1,367893877538.94,367893877538.94,296186683840.48,234550332806.05,9044496840.07,11018405286.60,5735941711.58,76613136041.54,76539289517.59,21407674945.50,55131614572.09,38872086881.32,3.4700,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2019,2,2019-08-21,2019-08-21,1,139320076841.33,139320076841.33,112713105460.50,88823086295.55,3186523909.51,5184385079.18,3227583374.38,27855979909.30,27725984144.21,8440306774.97,19285677369.24,11841752171.43,1.0600,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2019,1,2019-04-30,2019-04-30,1,48374630775.09,48374630775.09,42251576798.50,31422241430.86,1371392084.53,2639014423.19,1841740626.81,5885526191.83,5871699645.16,2665765269.87,3205934375.29,1120626569.29,0.1020,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2019,3,2019-10-25,2019-10-25,1,223914757487.12,223914757487.12,183770288164.14,143327135634.62,5313612259.04,7884735071.10,4825228689.24,41960924164.13,41824793234.88,13234376227.09,28590417007.79,18240745065.00,1.6310,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:43:58.498099+08:00
000003.SZ,2019,2,2019-08-24,2019-08-24,1,6069321.73,6069321.73,9199714.32,5148248.95,,4042980.73,-17617.23,-3130392.59,-3033987.74,,-3033987.74,-3033987.74,-0.0076,2026-04-19 18:11:57.572862+08:00,
000003.SZ,2019,1,2019-04-27,2019-04-27,1,3155727.64,3155727.64,5101342.02,2914742.90,,2176724.53,-6723.64,-1945614.38,-1928623.17,,-1928623.17,-1928623.17,-0.0048,2026-04-19 18:11:55.517228+08:00,
000003.SZ,2019,4,2020-05-01,2020-05-01,1,11492320.89,11492320.89,32382684.86,11059034.42,,8436291.69,-17883.55,-20512940.17,-26336334.72,,-26336334.72,-26336334.72,-0.0700,2026-04-19 18:12:01.869393+08:00,
000003.SZ,2019,3,2019-10-30,2019-10-30,1,8677210.07,8677210.07,13198420.15,7473624.61,,5718297.47,-26483.36,-4521210.08,-4321150.18,,-4321150.18,-4321150.18,-0.0108,2026-04-19 18:11:59.765790+08:00,
000004.SZ,2019,3,2019-10-31,2019-10-31,1,108175712.46,108175712.46,127854033.14,26489746.26,83101037.48,13850810.58,-844294.69,-4654499.70,-5846578.10,7201226.92,-13047805.02,-9941144.51,-0.1184,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:43:58.936867+08:00
000004.SZ,2019,1,2019-04-26,2019-04-26,1,106952791.02,106952791.02,111733344.86,25003054.23,79714192.95,4668083.60,-355415.18,16919692.61,15694525.16,10908527.06,4785998.10,5350063.36,0.0637,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:43:58.936867+08:00
000004.SZ,2019,4,2020-04-28,2020-04-28,1,108246697.32,108246697.32,135135350.43,29215586.53,83101037.48,19807829.84,-1671417.84,7300522.48,6058115.17,9662108.09,-3603992.92,3099367.87,0.0369,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:43:58.936867+08:00
000004.SZ,2019,2,2019-08-31,2019-08-31,1,107657124.90,107657124.90,124166777.14,25897173.15,83101037.48,10704498.75,-710970.56,4179301.48,2948488.41,7514079.79,-4565591.38,-1918824.57,-0.0228,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:43:58.936867+08:00
000005.SZ,2019,4,2020-05-23,2020-05-23,1,552609080.63,552609080.63,618027920.71,416518457.14,10505839.34,98769183.65,26851766.78,200269233.75,201341248.93,22842605.48,178498643.45,174688341.61,0.1650,2026-04-19 18:12:01.869393+08:00,
000005.SZ,2019,1,2019-04-25,2019-04-25,1,83719268.04,83719268.04,98843791.42,62268218.98,2631443.58,20610203.46,7200381.67,-17391631.18,-17528054.98,431822.56,-17959877.54,-17751127.36,-0.0168,2026-04-19 18:11:55.517228+08:00,
000005.SZ,2019,2,2019-08-29,2019-08-29,1,424134990.98,424134990.98,321426551.10,252130911.23,4786153.81,41150675.33,11213975.63,87756565.41,88625437.10,24585148.69,64040288.41,62234817.52,0.0588,2026-04-19 18:11:57.572862+08:00,
000005.SZ,2019,3,2019-10-30,2019-10-30,1,569474563.65,569474563.65,483739867.97,377209331.64,7495482.12,56082155.16,18568033.55,69176773.03,71988626.58,24604699.88,47383926.70,44549968.73,0.0421,2026-04-19 18:11:59.765790+08:00,
000006.SZ,2019,1,2019-04-30,2019-04-30,1,413493627.58,413493627.58,344487795.16,251122979.91,2214487.02,27971552.38,29015307.72,133422644.35,134159312.63,18480459.04,115678853.59,110881968.57,0.0821,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:43:59.601658+08:00
000006.SZ,2019,2,2019-08-16,2019-08-16,1,953510762.07,953510762.07,758001940.48,573943234.35,13727708.68,56694801.36,56890095.77,260920852.76,259126130.30,46673265.30,212452865.00,203409521.11,0.1507,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:43:59.601658+08:00
000006.SZ,2019,4,2020-04-09,2020-04-09,1,3731330139.73,3731330139.73,2719805188.48,2044318166.99,51736223.03,138561121.68,127620737.58,1108428393.31,1102844322.79,259779373.87,843064948.92,801163074.41,0.5935,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:43:59.601658+08:00
000006.SZ,2019,3,2019-10-30,2019-10-30,1,1963440046.69,1963440046.69,1442833992.48,1161529200.87,26260430.55,87128039.94,77868202.58,597125321.04,590958653.44,129302274.80,461656378.64,451836067.36,0.3347,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:43:59.601658+08:00
000007.SZ,2019,2,2019-08-31,2019-08-31,1,21023439.33,21023439.33,17357322.34,6165796.68,,11975396.12,-2812.13,16448623.86,1101685.29,5235563.78,-4133878.49,-4105103.17,-0.0100,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:44:00.030982+08:00
000007.SZ,2019,1,2019-04-30,2019-04-30,1,9239141.41,9239141.41,8854210.07,3030822.52,,6821696.88,4733.84,11747841.70,11749042.68,2875279.49,8873763.19,8888205.50,0.0300,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:44:00.030982+08:00
000007.SZ,2019,3,2019-10-31,2019-10-31,1,31074355.83,31074355.83,26304366.94,9528518.38,,16723164.35,-7724.86,17863589.67,-3678381.96,5674847.00,-9353228.96,-9310041.30,-0.0269,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:44:00.030982+08:00
000007.SZ,2019,4,2020-04-29,2020-04-29,1,42020841.81,42020841.81,47590168.19,13168920.02,,25933172.97,-23992.64,40790268.10,41238244.03,19009173.03,22229071.00,22287512.19,0.0643,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:44:00.030982+08:00
000008.SZ,2019,4,2020-04-24,2020-04-24,1,3220142984.66,3220142984.66,2851406457.26,1653972581.50,296037992.39,440952171.24,94678452.03,549996448.11,546672520.75,89255859.13,457416661.62,434380320.18,0.1610,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:44:00.558967+08:00
000008.SZ,2019,1,2019-04-27,2019-04-27,1,308747049.47,308747049.47,303984977.46,144889502.48,52573205.56,70523046.03,8071831.64,18694458.33,19864796.51,9226028.01,10638768.50,11740265.79,0.0042,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:44:00.558967+08:00
000008.SZ,2019,2,2019-08-29,2019-08-29,1,932616832.90,932616832.90,893244853.90,424386289.91,114505614.95,185306764.26,35241634.23,87925038.23,89313329.82,19105670.59,70207659.23,66213204.77,0.0238,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:44:00.558967+08:00
000008.SZ,2019,3,2019-10-22,2019-10-22,1,1560005014.90,1560005014.90,1438857265.48,728450998.96,180193459.81,279700457.86,67931197.69,195984701.67,201733263.20,44037874.90,157695388.30,148428830.38,0.0543,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:44:00.558967+08:00
000009.SZ,2019,1,2019-04-30,2019-04-30,1,2249620923.69,2239608579.29,2117828413.00,1438458314.03,256440521.98,162411221.17,130677455.27,255899724.77,259822739.99,73894245.15,185928494.84,66088064.54,0.0300,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:44:01.019752+08:00
000009.SZ,2019,3,2019-10-26,2019-10-26,1,8792808203.99,8755575592.59,8030618916.80,5605026046.65,862527911.28,546623454.69,346166919.12,868066037.90,878755900.63,304394587.75,574361312.88,200688169.57,0.0778,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:44:01.019752+08:00
000009.SZ,2019,2,2019-08-31,2019-08-31,1,5914482224.79,5891655023.50,5404730548.44,3772878211.96,552117546.36,360962208.27,243754232.88,546034589.18,560770399.45,179947178.01,380823221.44,138075594.70,0.0642,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:44:01.019752+08:00
000009.SZ,2019,4,2020-04-29,2020-04-29,1,12004379217.06,11948727206.58,11412001050.57,7753660214.79,1163458557.03,725127292.89,486823611.38,1148010338.17,1164290215.05,452433715.96,711856499.09,301136296.48,0.1200,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:44:01.019752+08:00
00001.HK,2019,4,,,,,,,,,,,,,,,,,2026-05-02 23:56:49.962742+08:00,
00001.HK,2019,2,,,,,,,,,,,,,,,,,2026-05-02 23:56:49.962742+08:00,
000010.SZ,2019,3,2019-10-31,2019-10-31,1,1083492664.74,1083492664.74,960391829.65,819099578.68,4460644.23,66230448.11,64012434.36,164998481.25,163595762.51,52466437.51,111129325.00,43662970.67,0.0533,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:44:01.581471+08:00
000010.SZ,2019,4,2020-04-30,2020-04-30,1,1893071131.21,1893071131.21,1730362126.17,1443553693.74,5032298.78,104081894.21,91221322.85,197755694.26,196249632.84,70122128.26,126127504.58,46474799.71,0.0567,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:44:01.581471+08:00
000010.SZ,2019,2,2019-08-02,2019-08-02,1,472836173.15,472836173.15,439565041.85,336945527.03,2886152.40,40408397.09,46807360.78,69150806.99,68831765.47,25938541.36,42893224.11,10231761.73,0.0125,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:44:01.581471+08:00
000010.SZ,2019,1,2019-04-30,2019-04-30,1,199628684.48,199628684.48,194549636.02,141765755.19,1389157.61,21680107.65,28652813.20,20424072.70,19995693.59,124561.33,19871132.26,2881506.68,0.0035,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:44:01.581471+08:00
000011.SZ,2019,3,2019-10-31,2019-10-31,1,1001952666.88,1001952666.88,898779585.98,532182778.63,43482379.03,85821358.91,99933139.03,106326497.00,106963684.31,60811172.26,46152512.05,103059587.95,0.1729,2026-04-19 18:11:59.765790+08:00,
000011.SZ,2019,4,2020-03-18,2020-03-18,1,3961669942.44,3961669942.44,2985989772.33,1433615885.43,111553952.50,204654552.64,134718833.57,985907387.02,1004846231.45,262716180.91,742130050.54,817805780.12,1.3722,2026-04-19 18:12:01.869393+08:00,
000011.SZ,2019,2,2019-08-20,2019-08-20,1,755390079.96,755390079.96,629064531.06,381969088.48,18292724.72,55957281.51,50185710.49,127411589.37,127495873.20,52191460.83,75304412.37,103749398.16,0.1741,2026-04-19 18:11:57.572862+08:00,
000011.SZ,2019,1,2019-04-30,2019-04-30,1,385944107.52,385944107.52,282527658.75,197403666.57,3702598.12,25486107.05,7377.66,103889652.96,104552824.80,30904783.38,73648041.42,78431920.59,0.1316,2026-04-19 18:11:55.517228+08:00,
000012.SZ,2019,3,2019-10-28,2019-10-28,1,7661655487.00,7661655487.00,7130163940.00,5701371220.00,266060362.00,442246625.00,231538512.00,675054882.00,674056277.00,111988863.00,562067414.00,544313118.00,0.1800,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:44:02.388314+08:00
000012.SZ,2019,1,2019-04-26,2019-04-26,1,2222721514.00,2222721514.00,2112290384.00,1710257358.00,82460250.00,123978598.00,82123543.00,164768962.00,164032578.00,28094174.00,135938404.00,132188324.00,0.0500,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:44:02.388314+08:00
000012.SZ,2019,4,2020-04-30,2020-04-30,1,10472028099.00,10472028099.00,9991530671.00,7743129614.00,389269235.00,602590650.00,290417403.00,663718880.00,662106627.00,101687050.00,560419577.00,536430818.00,0.1700,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:44:02.388314+08:00
000012.SZ,2019,2,2019-08-23,2019-08-23,1,4888237578.00,4888237578.00,4530539241.00,3671376825.00,172503399.00,292862355.00,159066859.00,465824719.00,463197807.00,76458740.00,386739067.00,377342401.00,0.1200,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:44:02.388314+08:00
000014.SZ,2019,3,2019-10-26,2019-10-26,1,90766160.60,90766160.60,114948066.53,65578596.59,4010061.69,41254239.32,1831419.77,-24181905.93,-15248618.07,-3692811.48,-11555806.59,-11226668.50,-0.0557,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:44:02.866274+08:00
000014.SZ,2019,1,2019-04-26,2019-04-26,1,7226647.51,7226647.51,20364598.94,5108859.93,716463.68,13748761.97,616245.43,-13137951.43,-9040749.43,-2198440.28,-6842309.15,-6760975.64,-0.0335,2026-04-19 18:11:55.517228+08:00,2026-05-05 19:44:02.866274+08:00
000014.SZ,2019,2,2019-08-29,2019-08-29,1,82599406.14,82599406.14,93564548.51,59938078.12,2293923.68,27987913.09,1370721.58,-10965142.37,-5131436.39,-1146922.67,-3984513.72,-3819428.29,-0.0189,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:44:02.866274+08:00
000014.SZ,2019,4,2020-03-27,2020-03-27,1,438139662.69,438139662.69,407920537.44,307725653.67,9521545.66,62863043.70,2132757.19,30219125.25,43057765.14,10926053.74,32131711.40,21085177.65,0.1000,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:44:02.866274+08:00
000016.SZ,2019,4,2020-04-22,2020-04-22,1,55119125478.72,55119125478.72,57519116491.78,52138198501.04,2303132732.06,856529327.62,775888813.14,303266170.63,450576207.16,115640091.82,334936115.34,212034210.08,0.0881,2026-04-19 18:12:01.869393+08:00,2026-05-05 19:44:03.308785+08:00
000016.SZ,2019,3,2019-10-31,2019-10-31,1,41681249260.63,41681249260.63,42822564218.76,39601480656.43,1605394922.82,562506207.37,579205350.11,587416939.18,645632236.35,14595671.18,631036565.17,450492688.36,0.1871,2026-04-19 18:11:59.765790+08:00,2026-05-05 19:44:03.308785+08:00
000016.SZ,2019,2,2019-08-07,2019-08-07,1,26036442813.84,26036442813.84,26759966813.21,24674042371.13,1067945914.36,347924642.43,414260463.03,470222458.88,489022159.46,10311393.19,478710766.27,352767020.73,0.1465,2026-04-19 18:11:57.572862+08:00,2026-05-05 19:44:03.308785+08:00
