ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
000001.SZ,2026,1,,2.6520,2.6456,,,,,,,3.0292,90.9830,,,,,,,,23.9145,2026-07-02 02:06:00.762852+08:00,
000001.SZ,2026,2,2026-08-15,4.6746,4.6631,,0.4299,,25633000000.00,2.4118,2.8832,3.3213,90.9067,10.9971,,,1.7756,1.7756,1.2400,1.2400,24.1273,2026-08-30 21:26:07.094158+08:00,
000002.SZ,2026,1,,-5.2340,-4.6906,-0.3074,,9.1454,,,,4.7077,77.1345,,1.2194,0.5631,,,,,9.2648,2026-07-02 02:06:01.258503+08:00,
000002.SZ,2026,2,2026-08-28,-13.6487,,-0.9702,-1.6180,7.9368,,-41.8065,-47.6195,-25.1511,77.5146,4.4473,1.1800,0.5548,-33.3774,-33.3774,-1.2500,-1.2500,8.5646,2026-08-30 21:26:07.346262+08:00,
000004.SZ,2026,1,,-7.0747,-8.7890,-0.9029,,79.9954,,,,45.3484,66.5686,,1.1145,1.0808,,,,,0.6559,2026-07-02 02:06:01.834343+08:00,
000004.SZ,2026,2,2026-08-25,-24.8478,-27.6378,-5.1101,-5.2785,77.1599,-23465294.57,36.9471,56.8837,49.5791,67.1937,3.0482,1.0538,1.0131,-10.8080,-10.8080,-0.1594,-0.1594,0.5744,2026-08-30 21:26:07.242586+08:00,
000006.SZ,2026,1,,0.1403,0.1292,0.3025,,15.6154,,,,129.0231,61.7005,,1.7570,0.4850,,,,,3.9771,2026-07-02 02:06:02.314221+08:00,
000006.SZ,2026,2,2026-08-26,-1.8016,-1.8607,-0.1496,-0.5996,13.7542,-98871429.34,-55.5636,-60.3092,-34.8774,62.1630,2.6429,1.9575,0.5484,-57.6975,-57.6975,-0.0709,-0.0709,3.9006,2026-08-30 21:26:07.269329+08:00,
000007.SZ,2026,1,,-1.2047,-1.2924,-0.6496,,9.4818,,,,-222.4729,43.7998,,1.7639,1.3747,,,,,0.5169,2026-07-02 02:06:02.867415+08:00,
000007.SZ,2026,2,2026-08-26,-1.5422,-1.1138,-0.2629,-0.9350,12.5606,-2003384.37,-134.8556,-155.4134,-181.8731,38.8075,1.6342,1.9338,1.5002,8.1629,8.1629,-0.0080,-0.0080,0.5152,2026-08-30 21:26:07.242586+08:00,
000008.SZ,2026,1,,-1.3991,-1.6450,0.0000,,32.3348,,,,28.6793,73.1707,,0.8436,0.7000,,,,,0.7945,2026-07-02 02:06:27.681216+08:00,
000008.SZ,2026,2,2026-08-29,-2.4712,-3.4495,-0.0224,-0.6846,35.2319,-74522101.61,37.8683,37.9733,43.7842,72.4417,3.6287,0.7302,0.5937,3.3073,3.3073,-0.0197,-0.0197,0.7854,2026-08-30 21:26:07.346262+08:00,
000009.SZ,2026,1,,0.1743,0.2010,0.8373,,25.0018,,,,-89.6412,60.1965,,2.1217,1.1894,,,,,3.8889,2026-07-02 02:06:28.262335+08:00,
000009.SZ,2026,2,2026-08-29,-0.3010,-0.3928,1.7331,0.8904,23.8257,-38809874.76,-27.9449,-27.7324,-112.1963,62.2511,2.6491,2.0959,1.1530,23.1993,23.1993,-0.0100,-0.0100,3.7817,2026-08-30 21:26:07.346262+08:00,
000010.SZ,2026,1,,9.6412,9.5915,2.5040,,8.2824,,,,567.1268,86.8233,,0.9087,0.8911,,,,,0.2560,2026-07-02 02:06:28.738780+08:00,
000010.SZ,2026,2,2026-08-29,-6.5750,-6.5094,0.9008,-0.9315,8.2229,-16842678.02,63.8651,64.9404,65.0274,88.4825,8.6824,0.8901,0.8624,-15.0065,-15.0065,-0.0148,-0.0148,0.2177,2026-08-30 21:26:07.394237+08:00,
000011.SZ,2026,1,,-0.8056,-0.8329,0.0231,,12.8735,,,,-644.0830,78.7455,,1.9998,0.4122,,,,,5.6481,2026-07-02 02:06:29.261852+08:00,
000011.SZ,2026,2,2026-08-29,-2.0329,-2.1650,-0.0264,-0.5015,13.0629,-72603322.09,-842.6522,-462.7778,-572.5207,79.1979,4.8072,1.6491,0.3274,10.7785,10.7785,-0.1144,-0.1144,5.5575,2026-08-30 21:26:07.346262+08:00,
000012.SZ,2026,1,,-0.7536,-0.9240,-0.2027,,11.0208,,,,-721.5694,57.5934,,1.0022,0.7454,,,,,4.2841,2026-07-02 02:06:29.741408+08:00,
000012.SZ,2026,2,2026-08-28,-3.2659,-3.6424,-1.2517,-1.3575,8.2230,-469705829.00,-1197.5958,-1002.8056,-665.0647,58.2809,2.3970,0.9779,0.7456,-5.6232,-5.6232,-0.1400,-0.1400,4.1563,2026-08-30 21:26:07.296982+08:00,
000014.SZ,2026,1,,-0.5948,-1.0397,-0.3438,,22.6983,,,,-30.3462,29.3811,,3.0922,0.8811,,,,,5.7054,2026-07-02 02:06:30.217269+08:00,
000014.SZ,2026,2,2026-08-28,-0.9244,-1.3499,-0.4379,-0.4235,23.6661,-20598066.16,-631.9025,-594.5098,-348.2102,27.4861,1.3790,3.3024,0.8859,3.3646,3.3646,-0.0600,-0.0600,5.6945,2026-08-30 21:26:07.296982+08:00,
000016.SZ,2026,1,,NaN,NaN,-0.8368,,5.9858,,,,-293.8879,131.0913,,0.6496,0.5320,,,,,-4.6746,2026-07-02 02:06:30.717611+08:00,
000016.SZ,2026,2,2026-08-28,,,-0.3187,-1.2945,6.4064,-209244110.09,2.4929,1.5622,54.9263,133.0078,,0.6109,0.4874,-26.6019,-26.6019,-0.0718,-0.0718,-4.6626,2026-08-30 21:26:07.346262+08:00,
000017.SZ,2026,1,,1.5790,1.1852,1.7102,,10.7400,,,,3.5672,18.7546,,5.2877,2.7594,,,,,0.5664,2026-07-02 02:06:31.205783+08:00,
000017.SZ,2026,2,2026-08-25,2.7194,2.3418,2.9992,2.2901,7.6304,9113628.59,-52.2145,-42.0629,-43.0128,15.0672,1.1774,6.5993,4.5710,-6.1135,-6.1135,0.0154,0.0154,0.5718,2026-08-30 21:26:07.242586+08:00,
