ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
300235.SZ,2026,2,2026-08-25,2026-08-25,-20550250.82,24463510.41,31154422.19,57973615.15,,-6268942.14,,2026-08-30 21:25:51.332691+08:00,
300236.SZ,2026,1,2026-04-29,2026-04-29,39049114.76,584398671.19,-86333427.09,-177371503.68,,53018849.02,,2026-08-30 21:25:48.190823+08:00,
300236.SZ,2026,2,2026-08-21,2026-08-21,186233949.28,1276694408.39,154009571.37,61067982.30,,-92270078.33,11985.96,2026-08-30 21:25:51.293242+08:00,
300237.SZ,2026,1,2026-04-24,2026-04-24,37898426.59,205648626.45,14511883.80,4441465.92,,-27710765.67,,2026-08-30 21:25:48.158682+08:00,
300238.SZ,2026,1,2026-04-29,2026-04-29,-13824140.14,101005829.08,-16381033.16,-10319331.54,,8004168.78,,2026-08-30 21:25:48.190823+08:00,
300239.SZ,2026,1,2026-04-24,2026-04-24,20933273.41,164105643.42,-24254532.03,-44963768.95,,-219716.25,,2026-08-30 21:25:48.142065+08:00,
300239.SZ,2026,2,2026-08-24,2026-08-24,54521200.37,321837592.74,-41105713.03,-85924347.79,,-9706731.69,,2026-08-30 21:25:51.332691+08:00,
300240.SZ,2026,1,2026-04-23,2026-04-23,25716318.17,1718827203.50,53355878.63,-58103806.72,,96422176.68,,2026-08-30 21:25:48.142065+08:00,
300240.SZ,2026,2,2026-08-18,2026-08-18,88147851.65,3360863197.88,63789998.02,-80610334.51,,78594902.94,,2026-08-30 21:25:51.293242+08:00,
300241.SZ,2026,1,2026-04-29,2026-04-29,-43144428.14,336936422.53,42026846.97,-15991129.60,,101914797.49,1378063.22,2026-08-30 21:25:48.190823+08:00,
300241.SZ,2026,2,2026-08-18,2026-08-18,13987744.61,758211223.68,84579600.62,-37633936.46,,110196781.16,33543819.46,2026-08-30 21:25:51.293242+08:00,
