ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
000001.SZ,2009,4,2010-03-12,27.2887,26.7942,,0.9472,,4939571000.00,666.6079,681.0329,719.2903,96.5177,28.7167,,,4.1433,4.1433,,1.6200,6.5915,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000002.SZ,2009,4,2010-03-02,15.3888,15.1076,7.1309,5.0069,29.3903,5232336866.70,36.4551,36.3024,32.1476,67.0017,3.0305,1.9149,0.5912,19.2459,19.2459,,0.4800,3.3993,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000003.SZ,2009,4,2010-04-21,,,-0.0613,-4.0469,90.8972,-18796321.63,77.5537,76.9751,76.9751,767.1710,,0.1138,0.0402,-0.9535,-0.9535,,,-9.0030,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000004.SZ,2009,4,2010-04-17,3.9554,-1.6948,4.0435,2.2758,50.2098,-1057864.52,181.7930,169.3350,122.1970,61.0368,2.5665,1.2423,0.7260,38.7068,38.7068,,0.0294,0.7580,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000005.SZ,2009,4,2010-04-30,-6.7274,-6.7162,-0.8831,-3.6127,19.5247,-48838117.32,-135.9052,-348.2163,-565.9127,46.7575,1.8782,0.3066,0.2451,-60.2719,-60.2719,,-0.0535,0.7682,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000006.SZ,2009,4,2010-03-17,17.5935,11.7088,7.5367,5.0816,38.9411,217162358.75,123.6503,150.2290,117.2195,69.8577,3.3176,4.4133,0.5858,80.9881,80.9881,,0.6434,4.1551,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000007.SZ,2009,4,2010-04-21,,,12.2059,4.1935,77.8161,-59755929.90,-1.7960,134.2452,142.6766,114.9899,,0.2823,0.2295,-16.1512,-16.1512,,0.1413,-0.3160,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000008.SZ,2009,4,2010-03-27,0.4284,-0.0379,0.3679,0.3960,25.0280,-27703.80,-54.9167,-57.1189,-58.0918,7.6589,1.0829,7.4603,7.4603,-11.7166,-11.7166,,0.0043,0.9956,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000009.SZ,2009,4,2010-03-27,13.5694,4.6832,9.0461,6.0150,34.1743,87476395.96,39.0508,40.6871,26.4888,60.2092,2.5131,1.8048,1.0533,13.0402,13.0402,,0.2300,1.8437,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000010.SZ,2009,4,2010-04-22,17.1804,-14.0679,6.6259,4.4383,33.0147,-6052734.31,-47.0574,-38.3056,-53.2615,63.8654,2.7674,1.2974,0.7936,22.1573,22.1573,,0.0500,0.3214,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000011.SZ,2009,4,2010-02-09,15.7353,17.8292,5.7536,3.9203,48.9149,109832961.93,217.8232,325.1696,886.1637,76.6335,4.2796,1.3076,0.5791,35.5917,35.5917,,0.1600,1.1098,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000012.SZ,2009,4,2010-03-30,16.8749,17.8889,10.1394,8.5922,34.9212,881934137.00,130.4569,97.0109,98.0443,48.5852,1.9450,0.3926,0.3065,23.5347,23.5347,,0.6800,4.3437,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000013.SZ,2009,4,2010-04-27,,,-1.6513,-165.7266,,-80655704.75,0.3635,0.3635,0.3635,6918.1156,,0.0010,0.0010,,,,,-10.8845,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000014.SZ,2009,4,2010-03-20,18.2201,19.1576,7.8880,4.6581,50.1807,80394547.59,66.3072,88.0143,75.4690,71.9721,3.5679,1.4101,0.3674,122.3089,122.3089,,0.3799,2.2245,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000015.SZ,2009,4,2010-04-23,,,-1.6813,-42.8939,,-55430807.80,1.6544,1.6544,1.6544,1377.1668,,0.0007,0.0007,,,,-0.3526,-10.4643,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000016.SZ,2009,4,2010-04-30,3.9358,3.1179,1.6619,1.2222,18.7744,119681007.80,-55.5679,-50.6370,-43.5605,69.7358,3.3042,1.2414,0.8597,8.6335,8.6335,,0.1255,3.2188,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000017.SZ,2009,4,2010-04-27,,,-7.0410,-58.8810,4.6792,-115020042.60,-64.1895,-138.6183,-134.6154,1196.6728,,0.0461,0.0285,-4.8485,-4.8485,,-0.2206,-3.8817,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000018.SZ,2009,4,2010-04-09,8.8533,8.6479,6.2973,5.9422,17.7804,11810122.00,145.6324,144.5870,146.5790,28.6865,1.4023,1.3676,1.3486,-41.3033,-41.3033,,0.0700,0.8458,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000019.SZ,2009,4,2010-04-22,-3.9535,-4.2656,-0.2742,-1.7078,25.8016,-13923840.20,-181.6002,-146.7122,-202.1759,41.3914,1.7062,1.0117,0.8039,21.8532,21.8532,,-0.0700,1.7595,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000020.SZ,2009,4,2010-04-28,1.6626,1.8918,3.0954,0.6904,11.2888,4727307.83,447.5015,45.3488,-45.1025,66.7058,3.0035,1.5921,1.4247,168.3524,168.3524,,0.0147,0.8898,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000021.SZ,2009,4,2010-04-24,7.2898,6.9265,5.6411,5.4495,3.6574,245730202.67,-0.4660,-2.9324,-19.8671,27.1815,1.3733,2.3641,2.0685,-11.2764,-11.2764,,0.2940,4.1283,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000023.SZ,2009,4,2010-04-20,8.1227,6.3351,2.9860,2.3841,15.3564,19190320.29,26.2046,44.6383,15.4361,70.8031,3.4250,0.9235,0.4050,45.4310,45.4310,,0.1773,2.2170,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000024.SZ,2009,4,2010-04-20,10.5592,10.6274,5.2733,4.1120,41.1924,1654768378.00,76.3003,74.6518,33.9298,61.7889,2.6170,1.7981,0.5134,183.7162,183.7162,,0.9574,9.4793,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000025.SZ,2009,4,2010-04-19,3.7669,-3.3397,2.8055,1.3252,16.1304,-5590806.21,-291.6368,294.8582,37.5553,68.0975,3.1346,0.6381,0.5571,-32.1714,-32.1714,,0.0286,0.7758,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000026.SZ,2009,4,2010-03-15,10.1127,8.2316,7.9350,4.7722,33.0197,57033863.74,14.9902,14.9702,8.5935,51.7553,2.0728,1.4658,0.3606,13.8983,13.8983,,0.2810,2.8671,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000027.SZ,2009,4,2010-04-16,16.4147,12.2936,10.7626,7.7726,26.1655,1494400904.33,763.0498,113.3321,92.8583,48.1501,1.9286,0.8049,0.7082,7.0071,7.0071,,0.9100,5.9144,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000028.SZ,2009,4,2010-03-23,26.5693,26.2972,6.8242,4.4465,8.4808,190740616.42,34.4158,25.4332,20.6047,83.2209,5.9598,1.0404,0.8278,25.0348,25.0348,,0.6700,2.8550,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000029.SZ,2009,4,2010-04-21,1.6592,1.0767,2.6913,0.7186,28.7738,13119244.63,-20.1544,-11.8293,5.7185,63.8325,2.7649,1.6437,0.3011,6.2573,6.2573,,0.0200,1.2145,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000030.SZ,2009,4,2010-04-30,,,131.0394,27.0756,,-26724150.01,-4.5016,109.5115,109.5115,4193.9386,,0.0288,0.0288,9.0909,9.0909,,0.0281,-5.9462,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000031.SZ,2009,4,2010-03-10,8.2002,6.0336,4.4258,3.3660,35.9846,274830155.31,116.2537,123.2943,163.0093,51.3593,2.0559,2.0030,0.4599,85.2644,85.2644,,0.2100,3.2726,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000032.SZ,2009,4,2010-04-10,5.4511,1.0566,5.0047,3.4550,21.1849,7898455.40,-36.2553,-34.8697,-44.3683,44.8143,1.8121,1.6540,0.8221,-26.7986,-26.7986,,0.1700,3.1929,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000033.SZ,2009,4,2010-04-28,-7.4379,-7.4153,-2.9882,-4.5974,43.5115,-22094481.04,-47.5559,-511.4991,-728.4109,42.5400,1.7403,1.5293,1.5037,-9.7365,-9.7365,,-0.0730,0.8709,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000034.SZ,2009,4,2010-03-10,,,90.4342,73.4655,17.5434,-22075264.76,157.5898,144.0204,151.8889,634.7709,,0.1543,0.1006,21.3237,21.3237,,0.3700,-2.2609,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000035.SZ,2009,4,2010-04-27,,,11.3051,-3.3075,58.7093,-29503625.83,-641.2031,-80.2622,-80.2622,327.2723,,0.0511,0.0511,-32.0747,-32.0747,,-0.1200,-8.3250,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000036.SZ,2009,4,2010-04-15,21.4806,21.5470,20.5639,14.1081,61.8853,282369991.33,252.8519,251.5515,169.9294,44.1038,1.7890,2.7357,1.6914,1394.7731,1394.7731,,0.2505,1.3032,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000037.SZ,2009,4,2010-04-13,4.0943,3.0744,5.1287,2.4214,-3.8394,55653062.62,79.9790,103.7935,588.5544,58.2695,2.3963,0.7674,0.2714,-40.8269,-40.8269,,0.1200,3.0647,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
000038.SZ,2009,4,2010-04-24,18.9127,11.4989,9.6516,6.0758,36.2761,13110937.71,375.1438,-81.1288,-88.5659,67.6062,3.0870,2.3345,0.7279,,,,0.2200,1.2969,2026-05-07 00:33:30.798151+08:00,2026-05-07 00:33:30.798260+08:00
