ts_code,report_year,report_type,ann_date,f_ann_date,comp_type,total_revenue,revenue,total_cogs,oper_cost,sell_exp,admin_exp,fin_exp,operate_profit,total_profit,income_tax,n_income,n_income_attr_p,basic_eps,created_at,updated_at
000006.SZ,2018,3,2018-10-27,2018-10-27,1,1593892440.25,1593892440.25,1223682523.57,972548646.32,18090875.62,76250947.05,63814847.96,638584554.55,639954629.53,94614668.82,545339960.71,503240092.84,0.3728,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:43:59.601658+08:00
000006.SZ,2018,2,2018-08-17,2018-08-17,1,1055586030.09,1055586030.09,808293876.44,643991415.25,11854375.27,49156758.46,40122604.76,511411312.62,512405489.01,62953832.59,449451656.42,415968682.59,0.3081,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:43:59.601658+08:00
000007.SZ,2018,1,2018-04-28,2018-04-28,1,10698817.44,10698817.44,10769131.07,2229141.25,,9089300.32,-755116.96,-9712258.13,-9716257.05,-1966952.00,-7749305.05,-7734862.81,-0.0200,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:00.030982+08:00
000007.SZ,2018,4,2019-04-30,2019-04-30,1,42443842.10,42443842.10,77681004.62,12998860.14,,29110625.57,-1121661.09,-52647187.93,-201143095.04,-4942893.55,-196200201.49,-196212068.92,-0.5700,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:00.030982+08:00
000007.SZ,2018,2,2018-08-31,2018-08-31,1,22392532.27,22392532.27,15322826.14,5974579.46,,15124762.24,-1131031.56,-14663118.76,-15917239.55,-4821034.07,-11096205.48,-11067350.98,-0.0319,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:00.030982+08:00
000007.SZ,2018,3,2018-10-31,2018-10-31,1,32261555.36,32261555.36,24177773.19,9452212.81,,20111505.01,-1125984.99,-11794584.89,-13164593.15,-4460366.52,-8704226.63,-8660637.69,-0.0250,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:00.030982+08:00
000008.SZ,2018,4,2019-04-25,2019-04-25,1,2564901269.62,2564901269.62,2254085917.94,1310193332.93,237581086.94,361015389.83,57707067.56,433026927.54,435060636.60,93170938.47,341889698.13,325051555.98,0.1160,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:00.558967+08:00
000008.SZ,2018,1,2018-04-28,2018-04-28,1,209019068.23,209019068.23,206012168.42,88222324.12,33803909.61,93958439.23,-672144.51,17302324.21,17698623.16,7342602.06,10356021.10,10524203.55,0.0037,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:00.558967+08:00
000008.SZ,2018,3,2018-10-20,2018-10-20,1,1289516557.14,1289516557.14,1211476534.97,663255396.61,146385532.23,211951336.68,40161045.62,171740432.51,175365459.53,43247781.73,132117677.80,123560913.21,0.0439,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:00.558967+08:00
000008.SZ,2018,2,2018-08-25,2018-08-25,1,730004256.89,730004256.89,713473602.36,356852059.58,95176627.01,229233716.52,23803057.01,85757606.06,86924894.99,22428602.06,64496292.93,61380173.14,0.0218,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:00.558967+08:00
000009.SZ,2018,2,2018-08-30,2018-08-30,1,4364336430.65,4337867219.49,4126431545.64,2785651706.88,417577185.24,516901862.91,219884545.17,342074137.19,355780490.15,131545171.55,224235318.60,114909762.37,0.0535,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:01.019752+08:00
000009.SZ,2018,3,2018-10-30,2018-10-30,1,6687454480.70,6649258486.63,6290665282.41,4299501654.38,676069302.45,538809946.84,321378519.76,349486499.92,376692059.47,117205638.27,259486421.20,98609086.18,0.0459,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:01.019752+08:00
000009.SZ,2018,1,2018-04-28,2018-04-28,1,2033456791.47,2020831898.66,1832464397.15,1227391747.48,179682148.69,214647060.44,115569324.85,99300944.57,107718079.06,28525046.94,79193032.12,35233598.66,0.0164,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:01.019752+08:00
000009.SZ,2018,4,2019-04-30,2019-04-30,1,11768075485.88,11715547130.35,10748688763.49,7381166435.70,1087221814.24,733836797.77,444584935.84,1072545827.09,1034886531.08,369815986.75,665070544.33,213780584.63,0.1000,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:01.019752+08:00
00001.HK,2018,4,,,,,,,,,,,,,,,,,2026-05-02 23:56:49.962742+08:00,
00001.HK,2018,2,,,,,,,,,,,,,,,,,2026-05-02 23:56:49.962742+08:00,
000010.SZ,2018,4,2019-04-25,2019-04-25,1,345410350.35,345410350.35,1077931899.59,299814227.49,32674082.34,141611871.30,64961850.64,-715967344.50,-724248861.86,2263762.79,-726512624.65,-731500477.92,-0.8922,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:01.581471+08:00
000010.SZ,2018,3,2018-10-30,2018-10-30,1,187352342.15,187352342.15,390046637.79,172452117.77,19359110.96,83944601.46,34687445.67,-190176982.20,-187062098.12,1748558.22,-188810656.34,-191965392.30,-0.2341,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:01.581471+08:00
000010.SZ,2018,2,2018-08-31,2018-08-31,1,107530306.34,107530306.34,205923989.35,101664685.03,14961393.62,55752389.80,24090909.49,-85918311.37,-85830777.60,-803170.85,-85027606.75,-84986047.32,-0.1037,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:01.581471+08:00
000010.SZ,2018,1,2018-04-27,2018-04-27,1,80987934.76,80987934.76,127944909.74,73571352.71,10829457.97,29864475.11,12459863.84,-46913246.38,-46907839.60,9766.22,-46917605.82,-46564465.41,-0.0568,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:01.581471+08:00
000011.SZ,2018,4,2019-03-30,2019-03-30,1,2787240632.53,2787240632.53,2013464731.84,1315189991.84,46501225.18,102852213.19,-57579532.57,775656824.83,777475125.71,184813373.69,592661752.02,592723852.71,0.9945,2026-04-19 18:11:53.493923+08:00,
000011.SZ,2018,3,2018-10-31,2018-10-31,1,1199003679.43,1199003679.43,1011480863.25,909246628.59,14808076.92,67735440.92,-38456220.90,188920837.35,189127522.73,44938831.33,144188691.40,144188691.40,0.2419,2026-04-19 18:11:51.244310+08:00,
000011.SZ,2018,1,2018-04-27,2018-04-27,1,544366414.09,544366414.09,473226448.55,465535043.55,2237799.47,20075315.46,-18926710.87,70859017.17,71415630.33,17958805.45,53456824.88,53456824.88,0.0897,2026-04-19 18:11:46.972233+08:00,
000011.SZ,2018,2,2018-08-22,2018-08-22,1,825013984.97,825013984.97,716725177.60,689187341.10,9296529.76,43316443.65,-27617224.65,108338054.57,109559871.15,26587343.56,82972527.59,82972527.59,0.1392,2026-04-19 18:11:49.011048+08:00,
000012.SZ,2018,3,2018-10-30,2018-10-30,1,8151251436.00,8151251436.00,7637366372.00,6192441730.00,262743395.00,523550697.00,273436136.00,568190343.00,574919108.00,89021326.00,485897782.00,469116338.00,0.1700,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:02.388314+08:00
000012.SZ,2018,1,2018-04-28,2018-04-28,1,2629471994.00,2629471994.00,2449790563.00,1983212565.00,79742352.00,252969833.00,92147066.00,186237806.00,187576917.00,28552401.00,159024516.00,159382821.00,0.0700,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:02.388314+08:00
000012.SZ,2018,4,2019-04-17,2019-04-17,1,10609963011.00,10609963011.00,10171846983.00,8120481894.00,354983459.00,731215251.00,349403487.00,532279699.00,544596879.00,72388291.00,472208588.00,452965935.00,0.1600,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:02.388314+08:00
000012.SZ,2018,2,2018-08-28,2018-08-28,1,5471169598.00,5471169598.00,5073729591.00,4099496754.00,172217254.00,540554002.00,185877426.00,418735977.00,420453221.00,61371104.00,359082117.00,352837153.00,0.1300,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:02.388314+08:00
000014.SZ,2018,1,2018-04-27,2018-04-27,1,67735965.80,67735965.80,69612457.88,50853083.81,2237057.32,13785824.88,548244.69,-1876492.08,4334726.22,1139532.28,3195193.94,3141992.36,0.0156,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:02.866274+08:00
000014.SZ,2018,4,2019-03-30,2019-03-30,1,357929318.71,357929318.71,338812483.14,252311594.87,15151020.93,59138234.42,3150646.48,19116835.57,209088941.09,54566866.78,154522074.31,146000417.81,0.7238,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:02.866274+08:00
000014.SZ,2018,3,2018-10-27,2018-10-27,1,185997529.28,185997529.28,195803120.61,136746022.77,8503417.22,43009453.92,2371244.65,-9805591.33,5843627.17,1708628.98,4134998.19,2264616.50,0.0112,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:02.866274+08:00
000014.SZ,2018,2,2018-08-29,2018-08-29,1,121746845.57,121746845.57,127803742.60,89194414.76,5380602.48,27948220.46,1507744.85,-6056897.03,4769993.37,1352741.79,3417251.58,3083374.91,0.0153,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:02.866274+08:00
000015.SZ,2018,3,2018-10-31,2018-10-31,1,299881263.43,299881263.43,296571437.79,278154734.18,7612018.12,9114810.93,1150090.90,3309825.64,3008696.03,60175.27,2948520.76,2948520.76,0.0018,2026-04-19 18:11:51.244310+08:00,
000015.SZ,2018,1,2018-04-25,2018-04-25,1,174740085.32,174740085.32,169477413.08,162854725.05,2534067.82,3246727.09,620397.91,5262672.24,5118227.01,,5118227.01,5118227.01,0.0100,2026-04-19 18:11:46.972233+08:00,
000015.SZ,2018,2,2018-08-25,2018-08-25,1,276042998.99,276042998.99,271079166.14,258070575.79,5520718.55,6133176.39,928674.09,4963832.85,4573128.18,60175.27,4512952.91,4512952.91,0.0028,2026-04-19 18:11:49.011048+08:00,
000016.SZ,2018,4,2019-03-30,2019-03-30,1,46126797341.33,46126797341.33,47263866198.50,43227613914.45,2282174241.64,641892996.18,399165814.39,134238303.92,454896592.11,-213721829.46,668618421.57,411289744.68,0.1708,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:03.308785+08:00
000016.SZ,2018,3,2018-10-31,2018-10-31,1,29761729899.11,29761729899.11,30546938674.14,28063582724.87,1614517042.56,421990456.18,104533561.51,415378455.49,446359034.09,-132872432.79,579231466.88,429834688.51,0.1785,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:03.308785+08:00
000016.SZ,2018,1,2018-04-28,2018-04-28,1,7773238729.83,7773238729.83,7882064997.46,7144813360.27,515116761.90,162232118.05,61086438.88,41529631.36,123849262.41,19428807.03,104420455.38,55758297.40,0.0232,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:03.308785+08:00
000016.SZ,2018,2,2018-08-31,2018-08-31,1,17625414769.82,17625414769.82,18033756773.54,16442256445.26,1103181074.51,364827669.33,36292909.41,370020369.35,391286112.75,-17446049.13,408732161.88,341793039.03,0.1419,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:03.308785+08:00
000017.SZ,2018,4,2019-04-20,2019-04-20,1,119906950.34,119906950.34,122211426.75,108071430.05,5933231.41,6627286.22,-348684.16,-2304476.41,-2129064.50,-248558.72,-1880505.78,-1591968.91,-0.0029,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:03.773555+08:00
000017.SZ,2018,2,2018-08-22,2018-08-22,1,67734899.35,67734899.35,67051835.24,61164206.33,2755927.53,3309720.24,-260975.81,683064.11,725050.39,233133.98,491916.41,554162.06,0.0010,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:03.773555+08:00
000017.SZ,2018,1,2018-04-26,2018-04-26,1,24732886.83,24732886.83,24497325.06,22815921.16,1088883.41,792355.78,-212881.07,235561.77,307688.05,104059.89,203628.16,231983.23,0.0004,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:03.773555+08:00
000017.SZ,2018,3,2018-10-26,2018-10-26,1,101250275.83,101250275.83,99818581.32,90958528.99,4356796.05,4805269.03,-302000.97,1431694.51,1607982.99,371731.68,1236251.31,1084675.99,0.0020,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:03.773555+08:00
000018.SZ,2018,2,2018-08-31,2018-08-31,1,1586971575.24,1586971575.24,1608871904.00,1312212102.46,16521622.08,127907861.56,145939925.19,-16728436.25,161855758.33,18790236.79,143065521.54,143999455.72,0.0848,2026-04-19 18:11:49.011048+08:00,
000018.SZ,2018,3,2018-10-31,2018-10-31,1,2259055189.05,2259055189.05,2583757816.17,1970673537.82,18463113.78,185124556.07,400405629.14,-173156353.80,31068187.20,7699247.03,23368940.17,25482633.97,0.0150,2026-04-19 18:11:51.244310+08:00,
000018.SZ,2018,1,2018-04-28,2018-04-28,1,923442740.92,923442740.92,870627801.52,694723215.49,2926234.68,73133254.43,92188683.69,66653339.55,254738114.40,35955549.44,218782564.96,218523628.75,0.1287,2026-04-19 18:11:46.972233+08:00,
000018.SZ,2018,4,2019-04-30,2019-04-30,1,2426987687.02,2426987687.02,3906818404.18,2449500634.87,28300802.42,311698800.53,606015536.23,-1449558758.67,-1716482516.80,3281922.60,-1719764439.40,-1704739736.40,-1.0040,2026-04-19 18:11:53.493923+08:00,
000019.SZ,2018,2,2018-08-28,2018-08-28,1,136721215.40,136721215.40,155026741.38,98142437.41,18475423.94,37057054.07,-1547896.32,-18090617.03,-18100791.30,1125027.35,-19225818.65,-18246639.07,-0.0367,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:04.194037+08:00
000019.SZ,2018,3,2018-10-30,2018-10-30,1,216769103.19,216769103.19,247396761.94,158113254.02,27128227.58,58749346.13,-2896154.76,-29000871.59,-29195263.35,2335182.76,-31530446.11,-29974223.31,-0.0603,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:04.194037+08:00
000019.SZ,2018,1,2018-04-24,2018-04-24,1,57472118.11,57472118.11,69156755.58,42926786.82,8903741.34,16819352.41,-447193.81,-11586647.31,-11596094.95,-116218.11,-11479876.84,-10817275.30,-0.0218,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:04.194037+08:00
000019.SZ,2018,4,2019-04-27,2019-04-27,1,10758782838.14,10758782838.14,10431315508.14,9693634274.21,255021072.54,246543836.47,10131313.25,341220603.31,339344589.72,18488865.34,320855724.38,308331032.44,0.2675,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:04.194037+08:00
000020.SZ,2018,4,2019-04-30,2019-04-30,1,637046707.03,637046707.03,634300173.31,566691476.49,14100247.17,38515205.15,10316763.45,4046152.96,4591957.26,1296934.54,3295022.72,3295022.72,0.0116,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:04.604704+08:00
000020.SZ,2018,3,2018-10-30,2018-10-30,1,489960226.29,489960226.29,491129704.77,440512068.49,12053059.93,22964669.93,5216790.23,-242810.40,987554.32,490059.24,497495.08,497495.08,0.0018,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:04.604704+08:00
000020.SZ,2018,1,2018-04-24,2018-04-24,1,171620013.62,171620013.62,171509663.58,152728695.85,3844118.14,9464851.87,4354111.52,-45093.86,465524.34,158156.45,307367.89,307367.89,0.0011,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:04.604704+08:00
000020.SZ,2018,2,2018-08-28,2018-08-28,1,340984843.24,340984843.24,338582633.28,302582979.44,8433363.31,20400985.42,5447070.22,2542109.70,3256965.01,463831.41,2793133.60,2793133.60,0.0099,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:04.604704+08:00
000021.SZ,2018,3,2018-10-31,2018-10-31,1,12611111508.98,12611111508.98,12497354250.31,12108908130.19,34896003.84,311874179.79,-59786458.80,580360537.10,580068548.80,122345474.31,457723074.49,440835575.10,0.2996,2026-04-19 18:11:51.244310+08:00,2026-05-05 19:44:05.137414+08:00
