ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
000001.SZ,2001,4,2002-04-19,9.6183,9.6851,,0.4295,,405153345.00,-35.1898,11.0820,-13.0925,96.9801,33.1137,,,-6.8730,-6.8730,,,1.8600,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000002.SZ,2001,4,2002-03-15,12.3957,6.3220,8.2374,6.3109,22.9093,190618052.89,35.7725,31.9530,25.9903,51.7797,2.0738,1.9911,0.4450,17.7446,17.7446,,,4.9510,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000003.SZ,2001,4,2002-04-30,,,3.7604,0.6217,0.7772,-74122252.85,103.1829,101.4219,101.4219,181.9934,,0.4106,0.2275,-57.2517,-57.2517,,,-2.9800,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000004.SZ,2001,4,2002-03-27,12.0088,1.2977,3.8576,3.5189,56.0154,1198958.17,-88.3418,-44.9788,-49.5823,46.0723,1.8543,1.5364,1.3596,-52.6860,-52.6860,,,1.1410,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000005.SZ,2001,4,2002-04-18,-6.9962,-5.5079,-2.5162,-3.6538,46.9733,-52443176.89,-352.2473,-511.8259,-788.3978,43.2965,1.7636,0.7062,0.4749,-57.3446,-57.3446,,,1.5200,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000006.SZ,2001,4,2002-04-16,9.7706,10.0529,4.6511,3.1403,21.7566,115415863.58,-1.3150,-7.0072,-4.7570,68.7292,3.1979,1.3421,0.7010,14.5395,14.5395,,,4.6960,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000007.SZ,2001,4,2002-04-11,13.7112,16.6676,3.4463,1.2405,33.5562,18643612.45,121.1871,111.2684,108.3498,82.9790,5.8751,0.7645,0.3301,3478.9360,3478.9360,,,1.0200,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000008.SZ,2001,4,2002-04-29,-449.4186,-436.2136,-78.4994,-65.0847,23.7729,-120960664.00,-1520.2361,-1554.2335,-1134.6424,132.1407,,0.2166,0.1908,-76.2478,-76.2478,,,-0.6600,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000009.SZ,2001,4,2002-04-20,3.2678,1.1212,5.0016,1.3169,32.1023,14017101.00,26.3358,19.1390,16.9565,67.8623,3.1116,1.1173,0.2731,31.8707,31.8707,,,1.2500,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000010.SZ,2001,4,2002-03-26,1.1517,0.7914,3.3502,0.9395,10.1138,1205912.35,-69.3910,-81.2877,-91.1998,43.6982,1.7761,1.5306,1.1112,-31.3471,-31.3471,,,1.0300,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000011.SZ,2001,4,2002-04-27,31.4056,30.0299,6.1296,3.4558,31.4748,82601869.77,849.5040,723.6443,1501.8402,87.3626,7.9130,0.9762,0.3161,93.9362,93.9362,,,0.5280,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000012.SZ,2001,4,2002-04-27,8.2267,8.2874,6.6404,5.5132,36.3508,152413313.00,-16.9330,-21.6189,-18.2170,30.3140,1.4350,0.9483,0.4669,-6.7569,-6.7569,,,2.7300,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000013.SZ,2001,4,2002-04-30,,,-87.8189,-95.4439,18.3149,-713704512.90,-1957.9448,-3294.1140,-8691.7505,256.3578,,0.1696,0.1204,-11.5985,-11.5985,,,-5.4200,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
000014.SZ,2001,4,2002-02-07,33.0618,33.1512,8.1340,6.3271,23.1352,31845968.91,204.3293,201.1913,195.0171,72.3245,3.6133,1.4498,0.5329,495.5689,495.5689,,,2.1400,2026-05-07 00:32:31.281509+08:00,2026-05-07 00:32:31.282381+08:00
