ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
000001.SZ,2004,4,2005-04-26,6.3830,6.1070,,0.1457,,277245520.00,-78.5744,38.7761,-31.8295,97.7068,43.6072,,,-12.0021,-12.0021,,,2.4100,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000002.SZ,2004,4,2005-03-22,16.1049,16.3096,9.5949,6.9947,30.9089,889165465.77,54.2270,51.7798,61.9129,59.4163,2.4640,2.4062,0.7331,20.1748,20.1748,,,2.7280,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000003.SZ,2004,4,2005-04-30,,,15.2993,-13.2824,,-66374492.72,94.8284,,76.2994,673.6513,,,-0.0844,-5.3800,-5.3800,,,-7.8100,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000004.SZ,2004,4,2005-04-19,-4.1505,-4.4985,-0.4868,-1.4522,35.2028,-4403357.46,-259.5751,-145.7649,-205.2097,42.7696,1.7473,1.8822,1.5569,-10.6975,-10.6975,,,1.1370,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000005.SZ,2004,4,2005-04-23,0.1862,-4.5245,0.0670,0.0941,41.7344,-41062980.65,-71.4614,18.1177,-21.9938,50.9352,2.0381,0.6252,0.3888,-46.0792,-46.0792,,,1.2500,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000006.SZ,2004,4,2005-04-15,6.5904,0.7186,2.8189,1.4615,17.5344,6890805.86,107.8134,121.0010,121.6387,72.1050,3.5849,1.2081,0.6305,-5.5416,-5.5416,,,3.9540,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000007.SZ,2004,4,2005-04-23,-91.4863,-71.2992,-12.3303,-14.2546,62.3073,-110348216.74,-291.1512,-681.7183,-1045.9418,90.9256,11.0200,0.5814,0.2454,-59.4377,-59.4377,,,0.5300,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000008.SZ,2004,4,2005-02-03,74.6280,5.8158,53.7855,51.0239,27.8732,3007126.00,2054.2812,3990.2371,3809.2058,19.7632,1.2463,2.7248,2.5086,48.6501,48.6501,,,0.9890,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000009.SZ,2004,4,2005-04-19,-10.4527,-13.3090,0.4197,-1.6789,30.9724,-146924294.17,58.6042,-439.5271,-993.8179,68.9813,3.2239,1.2530,0.4186,20.2869,20.2869,,,1.1150,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000010.SZ,2004,4,2005-04-12,-9.2240,-9.0976,3.2030,1.1895,36.5448,-14792141.52,-59.5176,-60.3648,-313.3071,59.8615,2.4914,1.4445,1.1727,5.9653,5.9653,,,1.0600,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000011.SZ,2004,4,2005-03-01,17.6382,16.9392,6.9520,3.8000,38.5070,86865043.72,-20.2926,3.6851,17.4647,76.2667,4.2135,1.2078,0.3098,22.8644,22.8644,,,1.0470,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000012.SZ,2004,4,2005-03-22,15.2689,14.8691,10.3898,8.9352,34.0274,330140324.00,67.4606,70.0700,66.2578,48.1675,1.9293,0.5664,0.3915,41.5200,41.5200,,,3.4400,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000013.SZ,2004,4,2005-04-30,,,-421.9209,-474.0817,,-66339320.90,-212.3555,-68.6291,-68.6291,14415.9261,,0.0026,0.0026,,,,,-9.7600,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000014.SZ,2004,4,2005-04-23,10.1672,10.2736,3.8964,2.7178,24.6433,28024245.38,-0.0364,-0.6009,-7.0963,75.0282,4.0045,1.2127,0.3230,67.5379,67.5379,,,3.1819,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
000015.SZ,2004,4,2005-04-22,,,-7.5520,-39.9479,,-65673305.36,-18.8904,-18.8906,-18.8906,1021.8376,,0.0066,0.0066,,,,,-8.7020,2026-05-07 00:32:49.369626+08:00,2026-05-07 00:32:49.369731+08:00
