ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
00007.HK,2003,4,2003-03-31,2003-03-31,25542799.20,,21361004.10,-3311693.10,,-870102.00,,2026-07-09 01:13:07.607193+08:00,
00007.HK,2003,2,2003-09-30,2003-09-30,2886546.60,,1143081.00,-1355672.70,,-387792.90,,2026-07-09 09:09:21.575488+08:00,
00010.HK,2003,4,2003-06-30,2003-06-30,-51574320.00,,-2104996320.00,-794626560.00,,-1258795440.00,,2026-07-09 01:13:07.929292+08:00,
00018.HK,2003,4,2003-03-31,2003-03-31,587028108.60,,110634530.40,-150054395.40,,-326339182.80,,2026-07-09 01:13:08.952004+08:00,
00018.HK,2003,2,2003-09-30,2003-09-30,235418066.10,,-183549964.50,-196067235.60,,-222900795.00,,2026-07-09 09:09:23.325194+08:00,
00021.HK,2003,4,2003-12-31,2003-12-31,17584050.00,,15665790.00,-1918260.00,,,,2026-07-09 01:13:09.421472+08:00,
00021.HK,2003,2,2003-06-30,2003-06-30,16660840.00,,21860720.00,5199880.00,,,,2026-07-09 09:09:23.667663+08:00,
00022.HK,2003,2,2003-09-30,2003-09-30,-102073928.40,,-179382526.20,-146993806.80,,69685209.00,,2026-07-09 09:09:23.834565+08:00,
00022.HK,2003,4,2003-03-31,2003-03-31,208813869.00,,90901253.70,-64331309.70,,-53581305.60,,2026-07-09 01:13:09.972119+08:00,
00025.HK,2003,2,2003-09-30,2003-09-30,214120437.30,,118078130.70,-68799588.30,,-27242718.30,,2026-07-09 09:09:25.016981+08:00,
00025.HK,2003,4,2003-03-31,2003-03-31,185795426.70,,82422003.60,-95957395.20,,-7416027.90,,2026-07-09 01:13:35.003361+08:00,
00026.HK,2003,4,2003-06-30,2003-06-30,32293377.20,,-988093932.00,-66896986.80,,-953490322.40,,2026-07-09 01:13:35.110327+08:00,
00029.HK,2003,4,2003-06-30,2003-06-30,266280548.80,,-42692076.00,-297775903.60,,-11196721.20,,2026-07-09 01:13:35.524635+08:00,
00029.HK,2003,2,2003-12-31,2003-12-31,118014552.30,,92340773.60,-207476870.20,,181803091.50,,2026-07-09 09:09:25.403998+08:00,
00030.HK,2003,2,2003-09-30,2003-09-30,-10808135.32,,18723965.90,34519844.36,,-4987743.14,,2026-07-09 09:09:25.531867+08:00,
00030.HK,2003,4,2003-03-31,2003-03-31,-2676632.18,,32417644.88,40048404.40,,-4954127.35,,2026-07-09 01:13:35.525788+08:00,
000338.SZ,2003,4,2007-03-31,2007-03-31,983299614.74,,593794067.58,-353230521.37,,-36275025.79,,2026-05-05 01:15:31.192859+08:00,2026-05-05 13:08:05.661691+08:00
00035.HK,2003,2,2003-09-30,2003-09-30,-114992880.30,,75076919.10,-106827863.40,,296897662.80,,2026-07-09 09:09:26.980955+08:00,
00035.HK,2003,4,2003-03-31,2003-03-31,28056545.10,,40150962.90,-311712980.40,,323807398.20,,2026-07-09 01:13:36.844365+08:00,
00037.HK,2003,4,2003-03-31,2003-03-31,9002748.03,,-100719519.68,-90645350.34,,-19076917.38,,2026-07-09 01:13:37.370292+08:00,
00037.HK,2003,2,2003-09-30,2003-09-30,21794409.67,,-27535834.18,2786468.26,,-52116712.10,,2026-07-09 09:09:27.335858+08:00,
00039.HK,2003,2,2003-06-30,2003-06-30,-2127706.00,,9985892.00,-7806187.20,,19919785.20,,2026-07-09 09:09:28.210955+08:00,
00039.HK,2003,4,2003-12-31,2003-12-31,7279796.70,,40326088.00,-2520380.50,,35566671.80,,2026-07-09 01:13:37.626438+08:00,
00040.HK,2003,2,2003-09-30,2003-09-30,-21820027.50,,163080268.20,12845239.20,,172055056.50,,2026-07-09 09:09:28.387312+08:00,
00040.HK,2003,4,2003-03-31,2003-03-31,94655425.50,,-213130423.80,-6726312.90,,-301059536.40,,2026-07-09 01:13:38.456741+08:00,
00050.HK,2003,4,2003-12-31,2003-12-31,257525339.30,,2975434.40,-148238870.00,,-106311034.90,,2026-07-09 01:13:38.790706+08:00,
00050.HK,2003,2,2003-06-30,2003-06-30,204750050.40,,78938423.20,-50196882.40,,-75614744.80,,2026-07-09 09:09:29.824711+08:00,
00052.HK,2003,2,2003-09-30,2003-09-30,28113382.80,,10160601.30,-13580229.60,,-4372551.90,,2026-07-09 09:09:29.964081+08:00,
00052.HK,2003,4,2003-03-31,2003-03-31,50433021.90,,3673528.20,-41831745.30,,-4927748.40,,2026-07-09 01:13:39.362297+08:00,
00053.HK,2003,2,2003-12-31,2003-12-31,-2618036083.80,,-3211384430.10,-63788526.90,,-529559819.40,,2026-07-09 09:09:30.811406+08:00,
00053.HK,2003,4,2003-06-30,2003-06-30,12127028359.80,,10406372112.20,267914605.80,,-1988570853.40,,2026-07-09 01:13:39.862335+08:00,
00055.HK,2003,2,2003-09-30,2003-09-30,32186810.70,,18152553.60,-4311658.80,,-9722598.30,,2026-07-09 09:09:31.224583+08:00,
00055.HK,2003,4,2003-03-31,2003-03-31,45752337.90,,-18143990.83,-64469388.52,,573059.79,,2026-07-09 01:13:40.083272+08:00,
00057.HK,2003,4,2003-03-31,2003-03-31,313593249.60,,118658568.60,-64399220.10,,-130535460.90,,2026-07-09 01:13:40.045892+08:00,
00057.HK,2003,2,2003-09-30,2003-09-30,138787126.20,,-110632079.70,-101227834.80,,-149127201.90,,2026-07-09 09:09:31.802305+08:00,
00065.HK,2003,4,2003-12-31,2003-12-31,1912931.50,,-11487180.30,-11997650.60,,-1402461.20,,2026-07-09 01:13:41.567376+08:00,
00065.HK,2003,2,2003-06-30,2003-06-30,-4700054.80,,-4845439.20,-145384.40,,,,2026-07-09 09:09:33.223181+08:00,
00070.HK,2003,4,2003-06-30,2003-06-30,-20889722.00,,-2118155.20,-5306000.00,,24077566.80,,2026-07-09 01:13:41.904398+08:00,
00070.HK,2003,2,2003-12-31,2003-12-31,376192.10,,2960514.60,-782223.80,,3366546.30,,2026-07-09 09:09:33.760677+08:00,
00071.HK,2003,4,2003-03-31,2003-03-31,253227270.60,,-11712421.80,141049900.80,,-405989593.20,,2026-07-09 01:13:41.942746+08:00,
00071.HK,2003,2,2003-09-30,2003-09-30,200626740.00,,21869169.30,7136244.00,,-185893814.70,,2026-07-09 09:09:33.921594+08:00,
00077.HK,2003,2,2003-09-30,2003-09-30,22463144.10,,2961327.60,-52960972.50,,33459156.00,,2026-07-09 09:09:35.561005+08:00,
00077.HK,2003,4,2003-03-31,2003-03-31,53816869.80,,37419691.50,-27506895.30,,11109717.00,,2026-07-09 01:13:43.137946+08:00,
00084.HK,2003,2,2003-09-30,2003-09-30,29103696.90,,-4054198.50,-17543622.60,,-17964532.80,,2026-07-09 09:09:36.934121+08:00,
00084.HK,2003,4,2003-03-31,2003-03-31,-1164026.70,,-21153028.50,-34226841.60,,14237839.80,,2026-07-09 01:13:44.438783+08:00,
00088.HK,2003,2,2003-09-30,2003-09-30,-8012250.00,,-15917670.00,-11003490.00,,3204900.00,,2026-07-09 09:09:37.431027+08:00,
00088.HK,2003,4,2003-03-31,2003-03-31,-31833000.00,,10929330.00,81174150.00,,-38411820.00,,2026-07-09 01:13:44.965901+08:00,
00089.HK,2003,2,2003-06-30,2003-06-30,34566467.60,,-2893892.40,-4538752.40,,-32921607.60,,2026-07-09 09:09:37.654283+08:00,
00089.HK,2003,4,2003-12-31,2003-12-31,54656148.80,,-7169144.00,-2667143.38,,-59474016.52,,2026-07-09 01:13:45.231222+08:00,
00092.HK,2003,2,2003-12-31,2003-12-31,655090052.80,,295235133.80,-535902164.80,,175434468.30,,2026-07-09 09:09:39.036756+08:00,
00092.HK,2003,4,2003-06-30,2003-06-30,439211578.40,,6497727.60,-500554244.40,,67840393.60,,2026-07-09 01:13:45.753472+08:00,
00093.HK,2003,4,2003-03-31,2003-03-31,-11981941.20,,4434336.90,16416278.10,,,,2026-07-09 01:13:46.265229+08:00,
00093.HK,2003,2,2003-09-30,2003-09-30,-21628801.80,,1247774.40,22877644.50,,,,2026-07-09 09:09:39.084431+08:00,
00094.HK,2003,4,2003-12-31,2003-12-31,-32110606.70,,-300527.40,-17143915.90,,48953995.20,,2026-07-09 01:13:46.568866+08:00,
00094.HK,2003,2,2003-06-30,2003-06-30,-29331568.00,,-9325825.60,6959349.60,,13418874.00,,2026-07-09 09:09:39.736198+08:00,
00095.HK,2003,4,2003-12-31,2003-12-31,32896027.60,,11595881.70,54565971.40,,-75866117.30,,2026-07-09 01:13:46.625449+08:00,
00096.HK,2003,4,2003-12-31,2003-12-31,18542000.00,,6539000.00,-31668000.00,,15180000.00,,2026-07-09 01:13:47.249349+08:00,
00097.HK,2003,2,2003-12-31,2003-12-31,333514012.10,,231522259.30,682920808.30,,-784912561.10,,2026-07-09 09:09:41.046433+08:00,
00097.HK,2003,4,2003-06-30,2003-06-30,357758111.20,,161626066.00,1525931316.00,,-1722063361.20,,2026-07-09 01:13:47.439772+08:00,
00099.HK,2003,2,2003-06-30,2003-06-30,-61055080.80,,-468604696.00,-54960609.20,,-352631454.00,,2026-07-09 09:09:41.841211+08:00,
00099.HK,2003,4,2003-12-31,2003-12-31,70936189.10,,-288198316.70,-11890014.90,,-347244490.90,,2026-07-09 01:13:47.787099+08:00,
00104.HK,2003,2,2003-09-30,2003-09-30,-1067231.70,,49783848.30,48160032.30,,2603447.10,,2026-07-09 09:09:43.357669+08:00,
00104.HK,2003,4,2003-03-31,2003-03-31,-12546446.40,,7648408.80,20768910.30,,-574055.10,,2026-07-09 01:13:49.051516+08:00,
00105.HK,2003,4,2003-03-31,2003-03-31,162366338.70,,46527112.80,-1461134.70,,-114378091.20,,2026-07-09 01:13:49.065130+08:00,
00105.HK,2003,2,2003-09-30,2003-09-30,33590556.90,,31000997.70,1509507.90,,-3588419.70,,2026-07-09 09:09:43.437067+08:00,
00108.HK,2003,4,2003-01-31,2003-01-31,-1266750.08,,-1754531.38,-46112.98,,-441668.32,,2026-07-09 01:13:49.537704+08:00,
00113.HK,2003,4,2003-03-31,2003-03-31,248932998.90,,193263448.50,-11089556.10,,-44579994.30,,2026-07-09 01:13:50.089722+08:00,
00113.HK,2003,2,2003-09-30,2003-09-30,70959690.90,,25922299.50,-13691332.80,,-30310875.90,,2026-07-09 09:09:44.934489+08:00,
00114.HK,2003,2,2003-09-30,2003-09-30,-20034898.20,,-38631864.60,-4000783.50,,-14912399.70,,2026-07-09 09:09:45.150912+08:00,
00114.HK,2003,4,2003-03-31,2003-03-31,71375952.60,,31532708.70,-22287344.40,,-17555899.50,,2026-07-09 01:13:50.305176+08:00,
00115.HK,2003,2,2003-06-30,2003-06-30,7947326.80,,-24457476.40,-1669267.60,,-30735535.60,,2026-07-09 09:09:45.938906+08:00,
00115.HK,2003,4,2003-12-31,2003-12-31,9561460.40,,-31562836.90,30007980.60,,-71132277.90,,2026-07-09 01:13:50.454986+08:00,
00116.HK,2003,2,2003-06-30,2003-06-30,-5251878.80,,-26814401.60,-9434068.00,,-12118904.00,,2026-07-09 09:09:45.949195+08:00,
00116.HK,2003,4,2003-12-31,2003-12-31,-38794677.10,,69168192.80,-8634301.40,,116597171.30,,2026-07-09 01:13:50.796183+08:00,
00120.HK,2003,2,2003-09-30,2003-09-30,-15568335.90,,29916673.20,21762339.30,,23722669.80,,2026-07-09 09:09:47.570603+08:00,
00120.HK,2003,4,2003-03-31,2003-03-31,-18565005.60,,3761599.50,27223581.60,,-4896976.50,,2026-07-09 01:13:51.686345+08:00,
00122.HK,2003,4,2003-07-31,2003-07-31,-10659867.00,,-17693236.00,-4756463.00,,-2276906.00,,2026-07-09 01:13:51.780993+08:00,
00122.HK,2003,2,2003-01-31,2003-01-31,-8382441.60,,-13449883.20,-2640331.20,,-2427110.40,,2026-07-09 09:09:47.971910+08:00,
00125.HK,2003,4,2003-03-31,2003-03-31,111159774.90,,50853217.50,-73221205.50,,12914648.10,,2026-07-09 01:13:52.425043+08:00,
00126.HK,2003,2,2003-09-30,2003-09-30,36480308.40,,16916530.50,-19187736.30,,-1831066.20,,2026-07-09 09:09:49.151780+08:00,
00126.HK,2003,4,2003-03-31,2003-03-31,39421987.20,,17024288.40,-7521076.80,,-14876622.00,,2026-07-09 01:13:52.569366+08:00,
001267.SZ,2003,1,2003-04-25,2003-04-25,966532.31,,,,,,,2026-05-05 13:29:33.084159+08:00,
001267.SZ,2003,3,2003-10-30,2003-10-30,-840576.80,,-1720742.04,-68628.00,,-811546.56,,2026-05-05 13:29:39.234373+08:00,
001267.SZ,2003,2,2003-08-26,2003-08-26,-108633.93,,-855601.42,-61198.00,,-685775.61,,2026-05-05 13:29:36.060639+08:00,
001267.SZ,2003,4,2004-03-09,2004-03-09,-1443721.83,,-1634895.25,-69588.00,,-121585.42,,2026-05-05 01:28:57.727991+08:00,2026-05-05 13:08:05.661691+08:00
00127.HK,2003,2,2003-06-30,2003-06-30,282371524.40,,-453415740.40,-2073745041.20,,1337934430.00,,2026-07-09 09:09:49.366702+08:00,
00127.HK,2003,4,2003-12-31,2003-12-31,-361025057.60,,-832268006.30,-2507256404.50,,2036013455.80,,2026-07-09 01:13:52.826226+08:00,
00128.HK,2003,2,2003-06-30,2003-06-30,-13030474.80,,17399435.20,31352092.80,,-1001772.80,,2026-07-09 09:09:50.009916+08:00,
00128.HK,2003,4,2003-12-31,2003-12-31,-9678687.40,,14706660.00,30516319.50,,-6130972.10,,2026-07-09 01:13:53.006734+08:00,
00129.HK,2003,2,2003-09-30,2003-09-30,-1739192.40,,-40810128.30,-6843529.80,,-31756285.80,,2026-07-09 09:09:50.489892+08:00,
00129.HK,2003,4,2003-03-31,2003-03-31,322043850.00,,-81740777.40,-12772460.70,,-391012166.70,,2026-07-09 01:13:53.566530+08:00,
00130.HK,2003,4,2003-03-31,2003-03-31,28207221.30,,7376767.20,-3124939.50,,-17705514.60,,2026-07-09 01:13:53.621029+08:00,
00130.HK,2003,2,2003-09-30,2003-09-30,21445054.20,,7388362.80,-6252759.90,,-7803931.50,,2026-07-09 09:09:50.571663+08:00,
00131.HK,2003,2,2003-12-31,2003-12-31,15569877.00,,1371555.90,-13602594.80,,-595726.30,,2026-07-09 09:09:51.092212+08:00,
00131.HK,2003,4,2003-06-30,2003-06-30,15951958.40,,1253277.20,-6838372.80,,-7860308.40,,2026-07-09 01:13:53.752896+08:00,
00132.HK,2003,4,2003-12-31,2003-12-31,-19768735.00,,-15915163.80,21211692.80,,-17358121.60,,2026-07-09 01:13:53.972656+08:00,
00132.HK,2003,2,2003-06-30,2003-06-30,-24869222.00,,-29548052.80,8724125.20,,-13402956.00,,2026-07-09 09:09:51.629239+08:00,
00136.HK,2003,4,2003-03-31,2003-03-31,36820806.66,,6837690.20,-52882829.10,,22899712.64,,2026-07-09 01:13:54.927263+08:00,
00136.HK,2003,2,2003-09-30,2003-09-30,8002635.30,,-13869738.90,-30462574.50,,8590200.30,,2026-07-09 09:09:52.703711+08:00,
00137.HK,2003,2,2003-06-30,2003-06-30,18227171.20,,23181914.00,56474941.60,,-51520198.80,,2026-07-09 09:09:52.842332+08:00,
00137.HK,2003,4,2003-12-31,2003-12-31,67629322.00,,33408629.30,32530492.50,,-66751185.20,,2026-07-09 01:13:55.175860+08:00,
00138.HK,2003,4,2003-12-31,2003-12-31,532850000.00,,98044400.00,-322907100.00,,-111898500.00,,2026-07-09 01:13:55.049058+08:00,
00139.HK,2003,2,2003-09-30,2003-09-30,-10916957.70,,18895022.10,29811979.80,,,,2026-07-09 09:09:53.837097+08:00,
00139.HK,2003,4,2003-03-31,2003-03-31,-16664575.50,,-37641461.40,-25622381.70,,4645495.80,,2026-07-09 01:13:55.179107+08:00,
00142.HK,2003,2,2003-06-30,2003-06-30,793802660.00,,293847700.00,198657600.00,,-797941360.00,,2026-07-09 09:09:54.603427+08:00,
00142.HK,2003,4,2003-12-31,2003-12-31,1484012310.00,,69524280.00,-213538860.00,,-1200949170.00,,2026-07-09 01:13:55.971699+08:00,
00147.HK,2003,4,2003-03-31,2003-03-31,5828622.30,,3360503.70,-696081.60,,-1772037.00,,2026-07-09 01:13:56.518695+08:00,
00147.HK,2003,2,2003-09-30,2003-09-30,6418346.40,,-3432447.90,-9850794.30,,,,2026-07-09 09:09:55.491644+08:00,
00149.HK,2003,4,2003-12-31,2003-12-31,7097562.00,,60829090.30,31280426.40,,-94570218.00,,2026-07-09 01:13:56.604204+08:00,
00156.HK,2003,4,2003-12-31,2003-12-31,1021356223.00,,778305221.10,66384584.40,,-309435586.30,,2026-07-09 01:13:57.769287+08:00,
00158.HK,2003,4,2003-09-30,2003-09-30,41548323.60,,-3888612.00,-34185.60,,-45402750.00,,2026-07-09 01:13:57.904873+08:00,
00158.HK,2003,2,2003-03-31,2003-03-31,18352785.60,,-7865934.30,308780.10,,-26527500.00,,2026-07-09 09:09:57.749311+08:00,
00159.HK,2003,2,2003-06-30,2003-06-30,5441833.60,,5587218.00,145384.40,,,,2026-07-09 09:09:57.634683+08:00,
00159.HK,2003,4,2003-12-31,2003-12-31,11263383.30,,11763196.60,126818.30,,372995.00,,2026-07-09 01:13:58.071869+08:00,
00160.HK,2003,4,2003-03-31,2003-03-31,82368948.60,,-74491342.20,-78759086.40,,-78101204.40,,2026-07-09 01:13:58.190692+08:00,
00160.HK,2003,2,2003-09-30,2003-09-30,-87510862.80,,-22411865.70,-88912472.40,,154011469.50,,2026-07-09 09:09:58.077013+08:00,
00162.HK,2003,2,2003-12-31,2003-12-31,10625029.00,,173709.10,-130015.40,,-10321304.50,,2026-07-09 09:09:58.941065+08:00,
00162.HK,2003,4,2003-06-30,2003-06-30,31259768.40,,-64754424.00,-35511996.80,,-60502195.60,,2026-07-09 01:13:58.860339+08:00,
00163.HK,2003,4,2003-03-31,2003-03-31,361925293.50,,133119239.40,-203407564.50,,-25398489.60,,2026-07-09 01:13:59.246299+08:00,
00163.HK,2003,2,2003-09-30,2003-09-30,81007052.40,,-22440709.80,-6144861.60,,-97302900.60,,2026-07-09 09:09:59.480342+08:00,
00164.HK,2003,4,2003-03-31,2003-03-31,-139670470.80,,36033894.90,-108101684.70,,283806050.40,,2026-07-09 01:13:59.297546+08:00,
00164.HK,2003,2,2003-09-30,2003-09-30,-4904565.30,,-8785699.20,-52300763.10,,48419629.20,,2026-07-09 09:09:59.326010+08:00,
00166.HK,2003,2,2003-09-30,2003-09-30,12654013.50,,15036322.50,-42907201.20,,45289510.20,,2026-07-09 09:10:00.177415+08:00,
00166.HK,2003,4,2003-03-31,2003-03-31,-128084319.90,,-158766026.40,-31378849.20,,697142.70,,2026-07-09 01:13:59.777251+08:00,
00167.HK,2003,4,2003-03-31,2003-03-31,284056470.00,,-192165210.00,-294985800.00,,-181235880.00,,2026-07-09 01:13:59.851207+08:00,
00167.HK,2003,2,2003-09-30,2003-09-30,21259170.00,,-71148780.00,-58756500.00,,-36429030.00,,2026-07-09 09:10:00.537888+08:00,
00173.HK,2003,4,2003-12-31,2003-12-31,1006059165.20,,-173130424.90,-90264790.00,,-1088924800.10,,2026-07-09 01:14:00.833976+08:00,
00173.HK,2003,2,2003-06-30,2003-06-30,836114174.00,,271352023.60,-134398857.60,,-430351619.60,,2026-07-09 09:10:02.477182+08:00,
