ts_code,report_year,report_type,ann_date,f_ann_date,comp_type,total_revenue,revenue,total_cogs,oper_cost,sell_exp,admin_exp,fin_exp,operate_profit,total_profit,income_tax,n_income,n_income_attr_p,basic_eps,created_at,updated_at
000001.SZ,2009,4,2010-03-12,2010-03-12,2,15114440000.00,15114440000.00,8955313000.00,NaN,NaN,6311091000.00,NaN,6159127000.00,6190537000.00,1159808000.00,5030729000.00,5030729000.00,1.6200,2026-05-05 13:07:42.750353+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2009,1,2009-04-24,2009-04-24,,3760604000.00,3760604000.00,2246969000.00,NaN,NaN,1465686000.00,NaN,1513634000.00,1517120000.00,395042000.00,1122077000.00,1122077000.00,0.3600,2026-05-05 13:30:50.389546+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2009,2,2009-08-21,2009-08-21,,7490850000.00,7490850000.00,4569321000.00,NaN,NaN,2942937000.00,NaN,2921529000.00,2929479000.00,618091000.00,2311388000.00,2311388000.00,0.7400,2026-05-05 13:30:56.317173+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2009,3,2009-10-29,2009-10-29,,11113953000.00,11113953000.00,6587504000.00,NaN,NaN,4443917000.00,NaN,4526449000.00,4540642000.00,903223000.00,3637419000.00,3637419000.00,1.1700,2026-05-05 13:31:02.635179+08:00,2026-05-05 19:43:57.657372+08:00
000002.SZ,2009,2,2009-08-04,2009-08-04,,21808652427.82,21808652427.82,17778062447.79,15007303368.20,551447478.82,569032075.09,237104136.49,4190846869.84,4191005358.24,1090778103.45,3100227254.79,2524392406.54,0.2300,2026-05-05 13:30:56.317173+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2009,3,2009-10-26,2009-10-26,,29543838457.46,29543838457.46,24837033896.31,20618995957.09,934484165.61,887374561.72,424340296.90,5022741585.01,5017079166.86,1347097206.51,3669981960.35,2957592238.84,0.2690,2026-05-05 13:31:02.635179+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2009,4,2010-03-02,2010-03-02,1,48881013143.49,48881013143.49,41122442525.36,34514717705.00,1513716869.35,1441986772.29,573680423.04,8685082798.00,8617427808.09,2187420269.40,6430007538.69,5329737727.00,0.4800,2026-05-05 13:07:42.750353+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2009,1,2009-04-27,2009-04-27,,8164318688.66,8164318688.66,6966013386.12,5404078573.96,238578263.06,282814192.37,184318797.17,1231593896.34,1227682233.52,339139681.33,888542552.19,768764018.98,0.0700,2026-05-05 13:30:50.389546+08:00,2026-05-05 19:43:58.498099+08:00
000003.SZ,2009,4,2010-04-21,2010-04-21,1,17758376.92,17758376.92,36886214.55,1616515.56,NaN,15986811.00,18490387.06,-18796321.63,-18768327.89,NaN,-18768327.89,-18768327.89,-0.0560,2026-05-05 13:07:42.750353+08:00,
000003.SZ,2009,2,2009-08-28,2009-08-28,,3085495.30,3085495.30,48468411.94,808257.78,NaN,9067750.28,38209475.87,-39823418.47,-39801146.10,NaN,-32127425.88,-31610142.35,NaN,2026-05-05 13:30:56.317173+08:00,
000004.SZ,2009,2,2009-08-15,2009-08-15,,28179390.23,28179390.23,26827987.04,14744098.65,2685072.40,7489248.98,449288.10,1214266.06,784654.06,1618457.34,-833803.28,-985338.90,-0.0117,2026-05-05 13:30:56.317173+08:00,2026-05-05 19:43:58.936867+08:00
000004.SZ,2009,3,2009-10-24,2009-10-24,,38587637.06,38587637.06,37999145.14,19352275.70,4018971.57,11570333.33,687273.28,395605.16,-34352.99,2126526.11,-2160879.10,-2118466.02,-0.0252,2026-05-05 13:31:02.635179+08:00,2026-05-05 19:43:58.936867+08:00
000004.SZ,2009,1,2009-04-30,2009-04-30,,10724454.95,10724454.95,10402762.92,5351019.82,1173451.69,3186649.67,201930.52,257764.08,-167164.52,602558.58,-769723.10,-844785.20,-0.0101,2026-05-05 13:30:50.389546+08:00,2026-05-05 19:43:58.936867+08:00
000004.SZ,2009,4,2010-04-17,2010-04-17,1,60080600.35,60080600.35,51395574.95,29914239.47,5788340.01,15794371.06,887246.30,8463829.54,7184460.67,2651927.03,4532533.64,2468845.24,0.0294,2026-05-05 13:07:42.750353+08:00,2026-05-05 19:43:58.936867+08:00
000005.SZ,2009,4,2010-04-30,2010-04-30,1,43192476.48,43192476.48,119468020.93,34759285.40,3077259.78,50965442.01,30078161.18,-81190360.03,-42035852.38,6883676.60,-48919528.98,-48919528.98,-0.0540,2026-05-05 13:07:42.750353+08:00,
000005.SZ,2009,2,2009-08-28,2009-08-28,,19003356.93,19003356.93,29739312.89,9508091.44,1355668.77,11415328.56,7334449.95,-10735955.96,-2164648.78,NaN,-2164648.78,-2164648.78,-0.0020,2026-05-05 13:30:56.317173+08:00,
000005.SZ,2009,3,2009-10-30,2009-10-30,,34268768.30,34268768.30,54714272.33,23639068.04,1921099.55,18018318.02,10503566.38,-20445504.03,-11721761.19,NaN,-11721761.19,-11721761.19,-0.0130,2026-05-05 13:31:02.635179+08:00,
000005.SZ,2009,1,2009-04-28,2009-04-28,,10602371.70,10602371.70,15251101.50,4001041.50,527811.54,6196731.85,3990096.84,-4648729.80,3802025.88,NaN,3802025.88,3802025.88,0.0050,2026-05-05 13:30:50.389546+08:00,2026-05-05 19:43:29.372447+08:00
