ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
000001.SZ,2016,3,2016-10-21,2016-10-21,-152942000000.00,NaN,-125590000000.00,-97162000000.00,1626197000000.00,122968000000.00,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000001.SZ,2016,4,2017-03-17,2017-03-17,10989000000.00,NaN,-27927000000.00,-102343000000.00,1765550000000.00,59212000000.00,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000001.SZ,2016,2,2016-08-12,2016-08-12,-33198000000.00,NaN,-48196000000.00,-123901000000.00,994034000000.00,107455000000.00,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000001.SZ,2016,1,2016-04-21,2016-04-21,59268000000.00,NaN,16196000000.00,-94781000000.00,409509000000.00,51880000000.00,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000002.SZ,2016,3,2016-10-28,2016-10-28,42985894837.63,205615883484.92,18165581664.49,-23204085045.86,119518440.05,-1733938779.15,8217198881.78,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000002.SZ,2016,2,2016-08-22,2016-08-22,25797213427.97,127349371079.94,19159589800.37,-15526829807.25,93638669.19,8823436812.95,2756250040.24,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000002.SZ,2016,4,2017-03-27,2017-03-27,39566129021.69,286532938270.71,27742393779.75,-43389050144.31,493101153.44,31296650600.62,9735250248.56,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000002.SZ,2016,1,2016-04-28,2016-04-28,-10726129132.78,47518016904.71,-1697538399.13,1843234319.59,91807422.46,7208145005.67,1898723307.83,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000003.SZ,2016,4,2017-04-27,2017-04-27,-38490400.85,17129229.13,50345522.92,-281482.74,NaN,89032000.00,75000000.00,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000003.SZ,2016,2,2016-08-26,2016-08-26,-1682779.64,5947247.38,158339121.36,-10099.00,NaN,160032000.00,160032000.00,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000004.SZ,2016,1,2016-04-30,2016-04-30,1146681.85,40527504.59,-974370.07,-608934.90,NaN,-1512117.02,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000004.SZ,2016,3,2016-10-29,2016-10-29,134331539.31,256250803.21,88964178.61,-1939709.90,NaN,-43427650.80,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000004.SZ,2016,4,2017-04-11,2017-04-11,147929759.13,307876582.48,44300559.01,-56122549.28,NaN,-47506650.84,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000004.SZ,2016,2,2016-08-31,2016-08-31,105056325.86,186901415.02,100578147.25,-1437327.90,NaN,-3040850.71,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000005.SZ,2016,4,2017-04-27,2017-04-27,-185863029.98,392847301.35,-90102130.61,-15386002.65,NaN,111277059.59,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000005.SZ,2016,2,2016-08-25,2016-08-25,-33658275.07,134321249.19,-26208882.11,-3962452.35,NaN,11411845.31,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000005.SZ,2016,1,2016-04-27,2016-04-27,-35294089.21,16824370.85,-51014673.24,NaN,NaN,-15720584.03,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000005.SZ,2016,3,2016-10-31,2016-10-31,-97768035.71,175581281.18,-4117397.29,-3962452.35,NaN,97613090.77,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000006.SZ,2016,2,2016-08-19,2016-08-19,1096422238.47,2153004380.53,164086911.36,-501861.00,NaN,-931914876.23,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000006.SZ,2016,1,2016-04-23,2016-04-23,524404696.72,1081164176.27,17500971.05,-154174.00,NaN,-506727720.46,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000006.SZ,2016,3,2016-10-31,2016-10-31,1516765817.03,3316707984.98,495247235.32,-579893.00,NaN,-1021050467.51,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000006.SZ,2016,4,2017-03-30,2017-03-30,1708425723.10,4247506535.56,971040520.41,605841016.91,749571123.79,-1343499646.27,0.00,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000007.SZ,2016,2,2016-08-30,2016-08-30,-8215246.15,16966816.13,-177276921.72,-152905079.40,24000000.00,-16158333.34,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000007.SZ,2016,1,2016-04-30,2016-04-30,-6945085.50,8350466.62,-197870564.59,-190924425.67,NaN,NaN,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000007.SZ,2016,4,2017-04-19,2017-04-19,-24156891.12,43538171.47,-160234751.35,-120444526.89,1950000.00,-15633333.34,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000007.SZ,2016,3,2016-10-29,2016-10-29,-31860625.11,29428270.21,-198469868.98,-150421657.10,24000000.00,-16196333.34,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000008.SZ,2016,4,2017-04-01,2017-04-01,-56126568.79,1589445863.91,647617087.64,-1987287853.18,1502089000.00,2690924641.55,2424262208.00,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000008.SZ,2016,1,2016-04-30,2016-04-30,25728423.18,287085003.62,625023861.68,-1567905946.78,173615947.93,2167097033.89,2177177318.00,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000008.SZ,2016,2,2016-08-25,2016-08-25,-52115774.12,586828896.01,560682803.61,-1576237232.78,346752454.25,2188871735.73,2177177318.00,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000008.SZ,2016,3,2016-10-26,2016-10-26,-99470776.90,925127471.52,872262970.93,-1193311619.01,463782454.25,2164893825.01,2177177318.00,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000009.SZ,2016,4,2017-04-27,2017-04-27,-12161653.84,6654843374.95,-1797712938.64,-2769165691.92,7033434946.19,938029980.94,190940000.01,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000009.SZ,2016,2,2016-08-30,2016-08-30,20959692.05,2818488262.84,-855860428.46,-887739066.52,2685643212.90,8892342.89,97250000.00,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000009.SZ,2016,1,2016-04-29,2016-04-29,84119342.16,1348500204.17,-340395787.79,-919550494.40,478923483.76,496166881.25,97240200.00,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000009.SZ,2016,3,2016-10-28,2016-10-28,25518038.29,4429018540.84,-1528482513.39,-1880756857.16,3985966418.44,324236384.46,144251400.00,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000010.SZ,2016,1,2016-04-29,2016-04-29,-30120719.51,191471675.71,-631131719.96,2012477.72,6000000.00,-603023478.17,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000010.SZ,2016,2,2016-08-24,2016-08-24,-180790495.14,287949904.54,-763217559.27,-31567269.59,6000000.00,-550859794.54,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000010.SZ,2016,3,2016-10-25,2016-10-25,-186874635.51,435332588.18,-876399049.51,-60968535.43,6000000.00,-628555878.57,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000010.SZ,2016,4,2017-04-22,2017-04-22,-81009787.27,685530692.73,-961448815.85,-67844985.72,6000000.00,-812594042.86,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000011.SZ,2016,1,2016-04-30,2016-04-30,877544687.88,1301621243.11,736096977.39,-485852.40,NaN,-140690176.52,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000011.SZ,2016,2,2016-08-27,2016-08-27,1509256494.79,2343478998.38,1182718159.91,-1245993.48,NaN,-326276049.87,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000011.SZ,2016,3,2016-10-29,2016-10-29,2101061539.92,3273473246.17,1771498466.54,-3922521.62,NaN,-327004119.63,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000011.SZ,2016,4,2017-03-31,2017-03-31,2252041183.42,3738338252.83,1924015241.08,-4515498.50,NaN,-326914299.68,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000012.SZ,2016,2,2016-08-16,2016-08-16,1046720349.00,4822965397.00,-170034722.00,-976174439.00,NaN,-241140524.00,5500000.00,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000012.SZ,2016,3,2016-10-28,2016-10-28,1592198960.00,7467528727.00,-273571476.00,-1148340129.00,NaN,-720224043.00,14500000.00,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000012.SZ,2016,4,2017-04-28,2017-04-28,2240852120.00,10375273438.00,9822113.00,-1606225665.00,NaN,-626361427.00,14500000.00,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000012.SZ,2016,1,2016-04-25,2016-04-25,319915324.00,2229364142.00,-330246399.00,-283719193.00,NaN,-365825089.00,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000014.SZ,2016,1,2016-04-23,2016-04-23,14796917.16,81621226.54,5269071.06,-9860.00,NaN,-9517986.10,NaN,2026-04-19 18:15:38.240549+08:00,2026-05-04 19:52:52.844414+08:00
000014.SZ,2016,4,2017-03-30,2017-03-30,444308245.03,645611466.43,132695819.73,-982777.00,NaN,-310630036.91,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000014.SZ,2016,3,2016-10-29,2016-10-29,166457300.99,307464927.07,94496945.21,-574988.00,NaN,-71385502.18,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
000014.SZ,2016,2,2016-08-27,2016-08-27,98945424.54,192678870.72,35045156.77,-569400.00,NaN,-63331002.17,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000015.SZ,2016,2,2016-09-01,2016-09-01,-39463199.29,311038719.86,-43661608.29,-1525540.00,NaN,-2672869.00,NaN,2026-04-19 18:15:39.886879+08:00,2026-05-04 19:52:54.632442+08:00
000015.SZ,2016,4,2017-04-29,2017-04-29,-34486565.52,932865881.90,-34501968.56,-3773855.32,10178960.50,3758452.28,NaN,2026-04-19 18:15:43.403106+08:00,2026-05-04 19:52:58.260537+08:00
000015.SZ,2016,3,2016-10-28,2016-10-28,-46644877.46,402869730.72,-42746596.18,-1461806.00,NaN,5360087.28,NaN,2026-04-19 18:15:41.707095+08:00,2026-05-04 19:52:56.378759+08:00
