ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
600257.SH,2003,4,2004-04-22,4.3078,4.3593,3.6103,2.1092,27.1975,19655657.92,-34.1972,-34.0889,-32.5996,50.2332,2.0094,1.5010,0.9555,8.0989,8.0989,,,6.3100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600258.SH,2003,4,2004-03-18,7.1046,6.6275,5.4235,3.8360,43.2443,50132929.56,-12.0010,-10.3854,-19.3228,37.5910,1.6023,0.6433,0.6088,-18.2681,-18.2681,,,3.3900,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600259.SH,2003,4,2004-04-17,0.6443,0.6443,3.3415,0.2497,10.9796,2835222.27,119.7114,5.9045,-5.7048,63.5595,2.7442,3.0051,2.2674,37.3319,37.3319,,,2.0700,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600260.SH,2003,4,2004-03-29,4.7341,4.0463,5.6713,3.8739,22.9926,36543599.80,0.6669,-3.8252,-11.3042,21.3373,1.2713,2.7512,2.3157,19.6686,19.6686,,,5.2600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600261.SH,2003,4,2004-02-18,8.7797,8.1167,8.7792,6.1120,27.7031,47094745.63,39.6611,39.3262,11.1167,31.4549,1.4589,1.9114,1.5402,26.8803,26.8803,,,4.9100,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600262.SH,2003,4,2004-03-03,2.5940,2.4349,2.7265,1.5558,26.3209,14186078.65,-41.0704,-44.9127,-47.9950,44.0464,1.7872,2.1825,1.5087,9.3651,9.3651,,,3.4730,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600263.SH,2003,4,2004-03-17,2.4167,2.4651,1.6843,1.0391,10.8993,34212215.34,19.3414,12.4623,39.2251,52.4821,2.1045,1.1753,0.6839,10.8872,10.8872,,,3.4230,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600265.SH,2003,4,2004-04-20,3.4439,3.5186,3.7587,1.5544,31.0923,11812590.95,-94.4171,-61.1040,-45.6000,55.9578,2.2705,0.9756,0.6993,-49.8046,-49.8046,,,3.2600,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600266.SH,2003,4,2004-03-26,4.9346,3.4429,3.3340,1.1289,25.1422,56181324.61,74.4249,87.4351,-49.6259,78.2467,4.5970,1.1914,0.2702,33.4885,33.4885,,,2.7860,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600267.SH,2003,4,2004-03-09,19.1393,19.4028,14.6080,9.9665,43.5615,172298559.59,243.9854,224.8500,239.2139,46.6528,1.8745,0.8624,0.5182,103.4526,103.4526,,,3.9000,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600268.SH,2003,4,2004-02-12,6.9275,6.9562,6.2284,4.3352,32.4315,33613643.78,20.4346,28.4083,11.4395,50.2394,2.0096,1.5413,1.3195,9.6787,9.6787,,,4.2260,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600269.SH,2003,4,2004-04-22,5.8413,4.5048,6.8416,4.3518,63.8863,143881786.28,18.7113,15.6287,-1.3475,29.0698,1.4098,0.6445,0.6445,32.9424,32.9424,,,8.4500,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
