ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
000001.SZ,2010,4,2011-02-25,2011-02-25,21746295000.00,,13444325000.00,-14660536000.00,,6358566000.00,,2026-04-19 18:15:04.672422+08:00,
000001.SZ,2010,3,2010-10-28,2010-10-28,10579792000.00,,9533910000.00,-7465384000.00,,6419502000.00,,2026-04-19 18:15:03.065920+08:00,
000001.SZ,2010,2,2010-08-25,2010-08-25,-3033438000.00,,1599598000.00,-1838394000.00,,6471430000.00,,2026-04-19 18:15:01.544309+08:00,
000001.SZ,2010,1,2010-04-29,2010-04-29,8609637000.00,,1488746000.00,-6750866000.00,,-370025000.00,,2026-04-19 18:15:00.091355+08:00,
000002.SZ,2010,3,2010-10-25,2010-10-25,-1207363590.00,,8710912589.82,-1618665296.02,,11532760207.04,,2026-04-19 18:15:03.065920+08:00,
000002.SZ,2010,4,2011-03-08,2011-03-08,2237255451.45,,13094160478.37,-2191659310.46,,13024529762.81,,2026-04-19 18:15:04.672422+08:00,
000002.SZ,2010,2,2010-08-10,2010-08-10,-9514421178.97,,-4003391621.36,-576174594.99,,6092186849.16,,2026-04-19 18:15:01.544309+08:00,
000002.SZ,2010,1,2010-04-27,2010-04-27,-6800224121.57,,-4674105522.18,-1415200762.53,,3543522013.07,,2026-04-19 18:15:00.091355+08:00,
000003.SZ,2010,4,2011-04-28,2011-04-28,-2356927.76,,-2356927.76,,,,,2026-04-19 18:15:04.672422+08:00,
000003.SZ,2010,2,2010-08-26,2010-08-26,-27904881.96,,-1175960.49,8951888.71,,17777032.76,,2026-04-19 18:15:01.544309+08:00,
000004.SZ,2010,4,2011-04-23,2011-04-23,-11737579.58,,-34642486.78,-22474959.70,,-429947.50,,2026-04-19 18:15:04.672422+08:00,
000004.SZ,2010,2,2010-08-20,2010-08-20,-5110047.20,,-10046575.93,-4506581.23,,-429947.50,,2026-04-19 18:15:01.544309+08:00,
000004.SZ,2010,1,2010-04-26,2010-04-26,4827054.35,,4082043.55,-315063.30,,-429947.50,,2026-04-19 18:15:00.091355+08:00,
000004.SZ,2010,3,2010-10-30,2010-10-30,-8006532.97,,-24862312.70,-16425832.23,,-429947.50,,2026-04-19 18:15:03.065920+08:00,
000005.SZ,2010,4,2011-04-30,2011-04-30,6126214.55,,-15997303.82,-7632035.61,,-14491482.76,,2026-04-19 18:15:04.672422+08:00,
000005.SZ,2010,3,2010-10-29,2010-10-29,-6340485.45,,-21582786.82,-14389470.57,,-852830.80,,2026-04-19 18:15:03.065920+08:00,
000005.SZ,2010,2,2010-08-30,2010-08-30,-9469000.19,,-1760357.96,-4389470.57,,12098112.80,,2026-04-19 18:15:01.544309+08:00,
000005.SZ,2010,1,2010-04-30,2010-04-30,2258974.74,,7396500.00,,,5137525.26,,2026-04-19 18:15:00.091355+08:00,
000006.SZ,2010,3,2010-10-30,2010-10-30,201096831.37,,531038072.57,36826633.93,,293154033.56,,2026-04-19 18:15:03.065920+08:00,
000006.SZ,2010,2,2010-08-07,2010-08-07,119126139.33,,260626012.13,38189665.53,,103349633.56,,2026-04-19 18:15:01.544309+08:00,
000006.SZ,2010,4,2011-03-31,2011-03-31,1086823122.18,,903162614.41,33481594.26,,-216998294.22,,2026-04-19 18:15:04.672422+08:00,
000006.SZ,2010,1,2010-04-21,2010-04-21,-54828769.44,,284568392.56,37497937.00,,301899225.00,,2026-04-19 18:15:00.091355+08:00,
000007.SZ,2010,2,2010-08-24,2010-08-24,33559952.74,,31637997.29,-139233.00,,-1782488.48,,2026-04-19 18:15:01.544309+08:00,
000007.SZ,2010,4,2011-04-23,2011-04-23,27866002.46,,-21638439.98,-406073.00,,-49098369.44,,2026-04-19 18:15:04.672422+08:00,
000007.SZ,2010,1,2010-04-27,2010-04-27,-1980032.01,,-2883254.06,,,-903222.05,,2026-04-19 18:15:00.091355+08:00,
000007.SZ,2010,3,2010-10-27,2010-10-27,32630828.99,,-22589706.90,-193125.00,,-55027176.92,,2026-04-19 18:15:03.065920+08:00,
000008.SZ,2010,2,2010-08-19,2010-08-19,-1965843.97,,10544093.50,12509937.47,,,,2026-04-19 18:15:01.544309+08:00,
000008.SZ,2010,4,2011-02-25,2011-02-25,-421069.14,,11736181.00,12157250.14,,,,2026-04-19 18:15:04.672422+08:00,
000008.SZ,2010,1,2010-04-23,2010-04-23,474607.63,,12700335.06,12225727.43,,,,2026-04-19 18:15:00.091355+08:00,
000008.SZ,2010,3,2010-10-25,2010-10-25,-2305497.61,,10203273.31,12508770.92,,,,2026-04-19 18:15:03.065920+08:00,
000009.SZ,2010,4,2011-03-23,2011-03-23,-586348316.97,,61170606.92,-764716362.26,,1415574836.40,,2026-04-19 18:15:04.672422+08:00,
000009.SZ,2010,1,2010-04-30,2010-04-30,295716820.75,,1050942940.16,-145898811.84,,901129403.52,,2026-04-19 18:15:00.091355+08:00,
000009.SZ,2010,3,2010-10-30,2010-10-30,-627577883.74,,576267425.36,-252947641.65,,1458202261.40,,2026-04-19 18:15:03.065920+08:00,
000009.SZ,2010,2,2010-08-17,2010-08-17,-159954371.04,,633406664.66,-276587188.19,,1070995425.25,,2026-04-19 18:15:01.544309+08:00,
000010.SZ,2010,3,2010-10-28,2010-10-28,-6469299.36,,-4717489.15,7833641.15,,-6081830.94,,2026-04-19 18:15:03.065920+08:00,
000010.SZ,2010,1,2010-04-23,2010-04-23,-5972564.01,,-7256843.35,3097991.03,,-4382270.37,,2026-04-19 18:15:00.091355+08:00,
000010.SZ,2010,2,2010-08-25,2010-08-25,-12167110.70,,-6324885.40,6884680.39,,-1042455.09,,2026-04-19 18:15:01.544309+08:00,
000010.SZ,2010,4,2011-04-29,2011-04-29,-6969460.51,,-5527494.14,4358960.10,,-2916993.73,,2026-04-19 18:15:04.672422+08:00,
000011.SZ,2010,1,2010-04-26,2010-04-26,-19498084.97,,-181899572.10,-12725413.00,,-149669109.80,,2026-04-19 18:15:00.091355+08:00,
000011.SZ,2010,3,2010-10-25,2010-10-25,-65504159.02,,-251655446.06,-11074336.63,,-174985754.47,,2026-04-19 18:15:03.065920+08:00,
000011.SZ,2010,4,2011-04-26,2011-04-26,-101778470.64,,-295636892.89,-7430856.50,,-186267026.32,,2026-04-19 18:15:04.672422+08:00,
000011.SZ,2010,2,2010-07-31,2010-07-31,49327311.75,,-124292904.66,-14603008.48,,-158973690.87,,2026-04-19 18:15:01.544309+08:00,
000012.SZ,2010,3,2010-10-23,2010-10-23,1549198125.00,,-85345878.00,-1037734716.00,,-595515261.00,,2026-04-19 18:15:03.065920+08:00,
000012.SZ,2010,1,2010-04-16,2010-04-16,204265631.00,,-22673074.00,-349720559.00,,122989810.00,,2026-04-19 18:15:00.091355+08:00,
000012.SZ,2010,2,2010-07-22,2010-07-22,935836780.00,,-235884170.00,-727598782.00,,-442643058.00,,2026-04-19 18:15:01.544309+08:00,
000012.SZ,2010,4,2011-03-22,2011-03-22,2366313914.00,,24595576.00,-1857670096.00,,-482578513.00,,2026-04-19 18:15:04.672422+08:00,
000014.SZ,2010,1,2010-04-30,2010-04-30,-53854099.71,,-142080625.71,-342076.00,,-87884450.00,,2026-04-19 18:15:00.091355+08:00,
