ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
000001.SZ,2013,3,2013-10-23,2013-10-23,100823000000.00,,-3588000000.00,-95715000000.00,,-8244000000.00,,2026-04-19 18:15:21.577006+08:00,
000001.SZ,2013,4,2014-03-07,2014-03-07,91674000000.00,,9037000000.00,-87011000000.00,,4910000000.00,,2026-04-19 18:15:23.184510+08:00,
000001.SZ,2013,2,2013-08-23,2013-08-23,28800000000.00,,-43885000000.00,-63946000000.00,,-8244000000.00,,2026-04-19 18:15:20.188052+08:00,
000001.SZ,2013,1,2013-04-24,2013-04-24,14119000000.00,,-33288000000.00,-40387000000.00,,-6873000000.00,,2026-04-19 18:15:18.665267+08:00,
000002.SZ,2013,1,2013-04-23,2013-04-23,-2383260770.37,,-159351719.40,-702237825.75,,2934485525.05,,2026-04-19 18:15:18.665267+08:00,
000002.SZ,2013,4,2014-03-07,2014-03-07,1923868889.89,,-8116074778.35,-7954417194.85,,-2057645577.99,,2026-04-19 18:15:23.184510+08:00,
000002.SZ,2013,2,2013-08-07,2013-08-07,-9792399309.57,,-14872710582.72,-1737614596.77,,-3311727625.17,,2026-04-19 18:15:20.188052+08:00,
000002.SZ,2013,3,2013-10-30,2013-10-30,-12060759405.31,,-15176110790.58,-1821157125.76,,-1251773248.06,,2026-04-19 18:15:21.577006+08:00,
000003.SZ,2013,2,2014-08-29,2014-08-29,-2453878.82,,-10195.15,2443683.67,,,,2026-04-19 18:15:20.188052+08:00,
000003.SZ,2013,4,2014-04-30,2014-04-30,-4183574.42,,-4190399.42,-6825.00,,,,2026-04-19 18:15:23.184510+08:00,
000004.SZ,2013,4,2014-04-22,2014-04-22,-21042308.56,,240268.84,-517422.60,,21800000.00,,2026-04-19 18:15:23.184510+08:00,
000004.SZ,2013,2,2013-08-27,2013-08-27,-10450667.80,,698972.29,1149640.09,,10000000.00,,2026-04-19 18:15:20.188052+08:00,
000004.SZ,2013,1,2013-04-20,2013-04-20,-4719408.48,,-3264600.59,1454807.89,,,,2026-04-19 18:15:18.665267+08:00,
