ts_code,report_year,report_type,ann_date,f_ann_date,comp_type,total_revenue,revenue,total_cogs,oper_cost,sell_exp,admin_exp,fin_exp,operate_profit,total_profit,income_tax,n_income,n_income_attr_p,basic_eps,created_at,updated_at
000001.SZ,2016,2,2016-08-12,2016-08-12,2,54769000000.00,54769000000.00,38613000000.00,,,15774000000.00,,16156000000.00,16154000000.00,3862000000.00,12292000000.00,12292000000.00,0.7200,2026-04-19 18:11:32.958735+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2016,4,2017-03-17,2017-03-17,2,107715000000.00,107715000000.00,77936000000.00,,,27973000000.00,,29779000000.00,29935000000.00,7336000000.00,22599000000.00,22599000000.00,1.3200,2026-04-19 18:11:36.793691+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2016,3,2016-10-21,2016-10-21,2,81968000000.00,81968000000.00,57423000000.00,,,22708000000.00,,24545000000.00,24560000000.00,5841000000.00,18719000000.00,18719000000.00,1.0900,2026-04-19 18:11:34.903553+08:00,2026-05-05 19:43:57.657372+08:00
000001.SZ,2016,1,2016-04-21,2016-04-21,2,27532000000.00,27532000000.00,19518000000.00,,,8080000000.00,,8014000000.00,8029000000.00,1943000000.00,6086000000.00,6086000000.00,0.4300,2026-04-19 18:11:31.081735+08:00,2026-05-05 19:43:57.657372+08:00
000002.SZ,2016,2,2016-08-22,2016-08-22,1,74795294306.29,74795294306.29,66233091162.02,55117487905.70,2045221097.89,2176466310.87,427124546.70,9904605249.00,9980342845.59,2885712247.20,7094630598.39,5351309986.08,0.4800,2026-04-19 18:11:32.958735+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2016,3,2016-10-28,2016-10-28,1,117054800129.06,117054800129.06,103513671150.55,86003585977.58,3327746603.79,3171476438.49,657045590.09,15787300604.87,15961171833.13,4670918759.93,11290253073.20,8262381011.76,0.7500,2026-04-19 18:11:34.903553+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2016,4,2017-03-27,2017-03-27,1,240477236923.34,240477236923.34,206467293987.86,169742403431.77,5160715903.60,6800561936.62,1592067967.14,39023778797.86,39253611726.28,10903356245.62,28350255480.66,21022606256.56,1.9000,2026-04-19 18:11:36.793691+08:00,2026-05-05 19:43:58.498099+08:00
000002.SZ,2016,1,2016-04-28,2016-04-28,1,14611312019.58,14611312019.58,13349692012.63,9967696885.63,726595796.37,1142819695.86,241815278.38,1646600783.53,1687268595.75,437445162.97,1249823432.78,833232885.76,0.0750,2026-04-19 18:11:31.081735+08:00,2026-05-05 19:43:58.498099+08:00
000003.SZ,2016,2,2016-08-26,2016-08-26,1,5867195.57,5867195.57,13107776.30,3240024.75,,9629281.46,-361.08,-7240580.73,1618414062.10,,1618414062.10,1617075297.97,4.8498,2026-04-19 18:11:32.958735+08:00,
000003.SZ,2016,4,2017-04-27,2017-04-27,1,25091586.70,25091586.70,33732473.88,14011332.37,1441310.33,17747044.39,-133721.86,-8640887.18,1617413747.65,389589.30,1617024158.35,1617024158.35,4.8496,2026-04-19 18:11:36.793691+08:00,
