code,name,track_index,track_index_code,fund_type,invest_strategy,list_date,management_fee,custody_fee,fund_company,scale,created_at,updated_at
588660,科创创业50ETF兴银,上证50,,,,,,,,0.69,2026-05-04 19:51:39.326881+08:00,
588670,科创综指增强ETF嘉实,科创板,,,,,,,,0.78,2026-05-04 19:51:39.326881+08:00,
588680,科创100增强ETF广发,科创板,,,,,,,,1.13,2026-05-04 19:51:39.326881+08:00,
588690,科创增强ETF银华,科创板,,,,,,,,0.94,2026-05-04 19:51:39.326881+08:00,
588700,科创医药ETF嘉实,医药指数,,,,,,,,3.00,2026-05-04 19:51:39.326881+08:00,
588710,科创半导体设备ETF华泰柏瑞,半导体指数,,,,,,,,15.45,2026-05-04 19:51:39.326881+08:00,
588720,科创50ETF中银,科创50,,,,,,,,1.89,2026-05-04 19:51:39.326881+08:00,
588730,科创人工智能ETF易方达,人工智能指数,,,,,,,,15.71,2026-05-04 19:51:39.326881+08:00,
588750,科创芯片ETF汇添富,芯片指数,,,,,,,,53.24,2026-05-04 19:51:39.326881+08:00,
588760,科创人工智能ETF广发,人工智能指数,,,,,,,,25.69,2026-05-04 19:51:39.326881+08:00,
588770,科创信息ETF摩根,科创板,,,,,,,,11.22,2026-05-04 19:51:39.326881+08:00,
588780,科创芯片设计ETF国联安,芯片指数,,,,,,,,9.39,2026-05-04 19:51:39.326881+08:00,
588790,科创AIETF博时,人工智能指数,,,,,,,,44.54,2026-05-04 19:51:39.326881+08:00,
588800,科创100ETF华夏,科创板,,,,,,,,29.06,2026-05-04 19:51:39.326881+08:00,
588810,科创芯片ETF富国,芯片指数,,,,,,,,5.67,2026-05-04 19:51:39.326881+08:00,
588820,科创200ETF华夏,科创板,,,,,,,,4.00,2026-05-04 19:51:39.326881+08:00,
588830,科创新能源ETF鹏华,新能源指数,,,,,,,,13.78,2026-05-04 19:51:39.326881+08:00,
588840,科创50ETF万家,科创50,,,,,,,,0.59,2026-05-04 19:51:39.326881+08:00,
588850,科创机械ETF嘉实,科创板,,,,,,,,0.61,2026-05-04 19:51:39.326881+08:00,
588860,科创医药ETF工银,医药指数,,,,,,,,2.64,2026-05-04 19:51:39.326881+08:00,
588870,科创50ETF汇添富,科创50,,,,,,,,4.87,2026-05-04 19:51:39.326881+08:00,
588880,科创100ETF华泰柏瑞,科创板,,,,,,,,1.87,2026-05-04 19:51:39.326881+08:00,
588890,科创芯片ETF南方,芯片指数,,,,,,,,21.48,2026-05-04 19:51:39.326881+08:00,
588900,科创100ETF南方,科创板,,,,,,,,7.05,2026-05-04 19:51:39.326881+08:00,
588910,科创价值ETF建信,科创板,,,,,,,,1.88,2026-05-04 19:51:39.326881+08:00,
588920,科创芯片ETF鹏华,芯片指数,,,,,,,,2.69,2026-05-04 19:51:39.326881+08:00,
588930,科创人工智能ETF银华,人工智能指数,,,,,,,,13.44,2026-05-04 19:51:39.326881+08:00,
588940,科创50ETF富国,科创50,,,,,,,,5.76,2026-05-04 19:51:39.326881+08:00,
588950,科创50ETF景顺,科创50,,,,,,,,3.23,2026-05-04 19:51:39.326881+08:00,
588960,科创新能源ETF富国,新能源指数,,,,,,,,3.64,2026-05-04 19:51:39.326881+08:00,
588980,科创100ETF广发,科创板,,,,,,,,0.26,2026-05-04 19:51:39.326881+08:00,
588990,科创芯片ETF博时,芯片指数,,,,,,,,5.52,2026-05-04 19:51:39.326881+08:00,
589000,科创综指ETF华夏,科创板,,,,,,,,14.26,2026-05-04 19:51:39.326881+08:00,
589010,科创人工智能ETF华夏,人工智能指数,,,,,,,,23.66,2026-05-04 19:51:39.326881+08:00,
589020,科创半导体设备ETF鹏华,半导体指数,,,,,,,,5.22,2026-05-04 19:51:39.326881+08:00,
589030,科创芯片设计ETF易方达,芯片指数,,,,,,,,3.61,2026-05-04 19:51:39.326881+08:00,
