ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,update_flag
000022.SZ,20100430,20100331,0.203,0.203,0.6062,0.6062,0.2266,0.5508,2.8727,246406.0,130922369.0,233020618.0,0.7228,0.7063,0.7041,1.7228,0.3679,0.1771,0.07,191324107.0,215444360.0,,38296208.3406,20696208.3406,437318957.0,65074257.0,1540706351.0,710523831.0,1806847005.0,-431232836.0,-143109005.0,4525575482.0,2207331707.0,0.2034,4.629,0.238,3.4235,0.1382,0.3341,0.0594,0.0321,46.7216,59.6162,40.3838,7.0834,46.7216,,6.7831,0.3002,,51.0515,54.7377,55.1195,4.4937,4.49,4.4853,3.8559,3.2684,2.9334,17.9748,15.4236,36.1801,1.5669,1.9142,19.9112,80.0888,31.9964,34.0444,65.9556,76.1405,23.8595,0.0988,0.5669,1.461,1.9373,0.8844,1.1727,2.543,0.0752,66.8594,13.0736,2.3476,2801053221.0,54.8193,,51.0515,4.4937,4.4853,3.2684,39.3304,40.0,40.0,-9.85,44.3287,38.628,40.5311,48.3032,-9.5354,34.1321,4.61,2.1555,4.6228,14.9571,14.9571,14.9571,34.8066,4.7707,0
000043.SZ,20100427,20100331,0.0241,0.0241,1.5299,1.5299,4.292,0.5326,1.9091,1024766.02,4334124.28,142009632.83,1.3334,0.4416,0.3731,1.8832,0.0583,1.6043,0.0483,17084194.06,23415079.46,,-708656827.9549,81343172.0451,3284573928.41,133724172.37,2150000000.0,1032424352.3,1482218671.61,1608540891.67,2030965243.97,4230944468.1,542828212.06,0.0241,7.7337,-2.39,2.4416,0.8071,0.1053,-3.1875,0.3659,2.5253,41.7511,58.2489,29.7867,2.5253,13.9002,14.4216,1.465,0.0916,94.9772,5.0228,6.8841,0.3119,0.31,0.2523,0.3322,0.1219,0.2846,1.2476,1.3288,72.7954,3.6758,4.1024,84.1013,15.8987,19.3773,50.8161,40.6377,86.6436,13.3564,-0.11,2.6759,0.3088,0.7997,0.2662,0.6894,1.4357,-0.0953,1805.6035,0.4876,0.076,926028446.82,5.4191,13.9002,94.9772,0.3119,0.2523,0.1219,-155.998,193.0502,193.0502,-214.47,4326.0842,2098.9799,193.0351,170.7976,-213.8771,190.5506,0.16,18.6583,0.1598,52.2612,52.2612,52.2612,-77.9494,2.7438,1
601236.SH,20100412,20100331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0292,,,,,,-2.0608,1.6991,,,,,25.6859,1
688981.SH,20100511,20100331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.6566,,-5.1739,43.5266,,,,,-1.5562,-1.8633,,95.7058,-62.2667,,-0.7601,-9.9459,138.9625,139.7166,139.7166,,-37.2248,1
600816.SH,20100427,20100331,0.0603,0.0603,0.106,0.106,0.12,,-0.5495,2206268.5,25184253.72,,,,,,,5.7663,0.0819,25026144.16,,,,,,,,,,,,,-249514805.4,0.0603,0.5778,-0.0262,-0.5495,-0.0379,,,,55.3595,,,,55.3595,,2.541,,0.1157,,57.3594,,11.0482,11.04,10.1583,,4.5333,,44.1928,,48.0898,1.9264,2.3715,,,,,,,,,0.9264,0.934,,,,,-0.0423,,18.1332,4.6588,217620550.45,62.3901,,,11.0482,10.1583,4.5333,-24.6732,244.5714,244.5714,-134.47,474.7912,313.3527,245.2767,200.6901,-134.4359,142.2123,12.39,-1.2751,12.3869,89.4163,89.4163,89.4163,117.0332,42.5513,1
600691.SH,20100428,20100331,-0.0473,-0.0473,0.0541,0.0541,0.3642,0.1148,-2.6347,-7239.58,-5410094.72,-260416.04,0.3108,0.1751,0.1679,0.2918,0.1053,0.3049,0.0675,-5562145.95,-5086114.52,,-475917.18,-475917.18,187247026.35,33704742.49,3725000.0,-243664.45,-137408958.16,-131609131.57,-131852796.02,-128579645.45,-288472132.5,-0.0473,-1.1557,-0.0066,-2.5199,-0.0067,-0.0444,-0.0042,-0.0042,-87.4074,-4.2017,104.2017,84.7057,-87.4074,8.0174,71.3441,5.3442,,189.7439,-87.2906,-82.0632,,,,-5.5404,-5.9012,,,-22.1616,243.2301,,,64.2649,35.7351,-148.7559,,,84.9986,15.0014,-0.004,,-0.5889,-35.518,-0.6116,-36.8883,,-0.0034,673.6901,-23.6048,-5.9012,20730680.09,-87.4074,8.0174,189.7439,,,-5.9012,-12.2014,-6.5315,-6.5315,-540.0,-6.0871,-6.4704,-6.4704,-7.281,-541.7113,,-4.2674,1.2514,-4.2694,-13.6208,-13.6208,-13.6208,90.229,413.3885,1
000688.SZ,20100422,20100331,-0.0045,-0.0045,,,1.6041,0.1003,-2.8068,,,,0.2366,0.2366,0.2341,,,,,-1822732.89,-1823291.89,,-155543059.99,-158543059.99,56228046.65,,0.0,-446723.76,-41176141.59,-42922339.87,-43369063.63,-41168966.59,-1087792624.95,-0.0045,-0.1024,-0.0047,-2.7065,-0.0021,-0.0045,-0.387,-0.3945,,,,,,,,,,,,,,,,-19.7572,-19.7511,,,-79.0288,373.383,,,88.3567,11.6433,-273.4307,,,100.0,,-0.0336,,-0.7322,,-0.7323,,,-0.0336,,-79.0044,-19.7511,1746198.28,,,,,,-19.7511,,-9.7561,-9.7561,-2.17,-10.0151,-10.0151,-10.0151,,-2.2456,,80.34,343.1852,78.7746,,,,86.0784,-76.7783,1
000047.SZ,20100428,20100331,,,0.0,0.0,1.9874,0.3287,-11.9598,,,0.0,-0.007,-0.007,-0.007,,,0.0,,-9615290.94,-1222303.15,-95047.1,8392987.79,8392987.79,260342592.66,,957451556.86,957437034.29,-1220296049.65,-1203731405.15,-268719370.86,-83281992.79,-1400435501.76,-0.0799,-8.64,-0.0008,-11.6311,0.0,-0.0102,0.0697,0.0697,,,,,,,,,,,,,,,,-0.688,-5.4118,,,-2.752,687.7838,,,-4.7228,104.7228,-689.1968,,,98.1586,,-0.0001,,-0.8546,-1.087,-1.0021,-1.2745,-1.2745,-0.0001,,-21.6472,-5.4118,5781718.83,,,,,,-5.4118,,,,-14.2857,29.2202,29.2202,29.2202,,-8.4653,,-0.93,-0.6855,-0.9325,,,,-39.39,-3.4715,1
000660.SZ,20100429,20100331,,,0.0215,0.0215,1.0403,0.1717,-10.1044,427.8,-5144348.02,763206.89,0.0415,0.0397,0.0337,0.2683,0.06,0.1677,0.0372,-5628185.13,-707676.85,-430999.38,8231853.45,8231853.45,102757914.54,670000.0,1055399023.6,1052689805.59,-1097416159.69,-1110142946.74,-57453141.15,-29808531.49,-1320183599.78,-0.0387,-8.16,-0.0141,-9.9327,-0.0141,-0.0053,0.0619,0.0619,-181.68,26.729,73.271,223.8394,-181.68,10.6482,40.8801,172.3111,,297.1103,-197.1103,-24.7843,,,,-0.9208,-6.7498,,,-3.6832,1501.8118,,,62.225,37.775,-1422.2249,,,99.9422,0.0578,-0.0016,,-0.9365,-1.0282,-0.947,-1.0398,-1.0425,-0.0016,500.5527,-26.9992,-6.693,16939332.26,-197.0953,10.6482,297.1103,,,-6.7498,-65.8265,,,-1184.6154,-5.2772,-5.4364,-7.4827,-7.3015,-1191.6597,,-0.74,0.8017,-0.8403,-14.4882,-14.4882,-14.4882,-9.2257,7.9485,1
000675.SZ,20100412,20100331,,,0.0,0.0,0.4674,0.1113,-8.401,-9533.85,-4455622.79,0.0,0.0195,0.0162,0.0162,,0.0,0.0,,-4455622.79,1472589.27,2388237.35,5995755.91,6085755.91,312894184.94,289651016.81,306165595.65,303570511.0,-841951686.78,-603483882.47,-303505275.24,-484699735.29,-947935075.8,-0.04,-6.91,-0.0019,-8.2897,-0.0011,0.0129,0.0524,0.0532,,,,,,,,,,,,,,,,1.2303,-3.7305,,,4.9212,761.656,,,10.0446,89.9554,-705.7004,,,67.7298,31.8749,-0.0003,,-0.8703,-2.5831,-0.9265,-2.75,-2.7735,-0.0002,,-14.922,-3.7305,54321892.52,,,,,,-3.7305,,,,-195.0,29.9002,17.4344,17.4344,0.0969,-194.2243,,-0.436,-0.6443,-0.5678,,,,82.2893,5.8959,1
