ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,update_flag
000022.SZ,20160826,20160630,0.413,0.413,1.4033,1.4033,0.2598,0.8066,4.8321,1819122.66,264716384.31,412651127.65,1.0016,0.977,0.9552,4.1876,1.095,0.2858,0.1336,312993658.02,402545781.88,520193135.35,38649477.4631,-605817244.2469,349880629.25,97484872.53,876352111.81,470480084.82,3337990742.19,1155708.56,-26527494.32,5321555647.5,3635624336.42,0.4134,6.8943,0.5718,5.6387,-0.43,0.6243,0.0599,-0.9396,36.999,45.6064,54.3936,10.6322,36.999,,9.0569,1.5753,0.0318,65.4078,42.2513,44.4896,5.9998,5.88,5.9589,5.9458,4.9447,5.0706,11.9996,11.8916,19.9753,1.2496,1.524,11.0042,88.9958,50.3714,16.468,83.532,55.0019,44.9981,0.5063,0.2496,3.3581,5.0724,2.5217,3.809,7.0949,0.2785,49.4177,9.8894,3.9369,3186768251.45,42.4876,,64.7073,3.227,3.2114,2.6751,57.6319,10.1333,10.1333,0.8643,11.2121,11.5364,10.1489,8.6,0.8576,2.8694,0.1264,-4.1513,0.1262,2.7273,2.7273,-1.992,15.8415,7.0765,1
603619.SH,20171116,20160630,0.5,0.5,,,,,,280573.12,180085400.0,371059877.88,,,,,,0.894,,226682197.01,241194445.93,,,,,,,,,,,,,,,,,,,,,22.2205,45.7134,54.2866,15.7971,22.2205,2.4085,11.6352,1.7533,1.8691,72.0735,27.9265,29.7144,20.3937,18.51,20.362,9.5959,7.1758,14.6358,40.7874,19.1918,,,,,,,,,,,,,,,,,,,,14.3516,,,27.9611,,,,,,,35.1351,35.1351,,42.1855,22.6957,34.5529,65.5708,-100.0292,,,,,-2.2413,-2.2413,,,,1
601869.SH,20160831,20160630,,,,,,,,,,,,,,,,3.745,0.4671,3677647000.0,,,,,,,4189870000.0,4189870000.0,,,,4189870000.0,,,,,,,,,,,,,,,,,,,,,,9.6918,,,,,,19.3836,,51.1516,2.0471,,,,,100.0,,,,,,,,,,,,,,4.3674,,,,,,,,,,,,,,,,,,,8.4115,,,,,,,1
000043.SZ,20160827,20160630,0.005,0.005,4.0714,4.0714,0.8272,0.4195,3.6324,113229354.95,-109867105.59,577444154.76,1.2413,0.2842,0.227,5.5108,0.1922,20.0692,0.1171,-83030513.06,219058272.05,246832016.82,-322253719.3654,-867505421.9954,7446223464.52,745514823.06,10686500517.38,9389869004.61,3840246824.14,2840903454.71,5870423641.94,15304444327.47,2702478028.44,0.005,5.8847,1.3325,4.0519,-0.276,0.3284,-0.4832,-1.3007,-0.1984,21.2652,78.7348,17.7817,-0.1984,3.9079,6.5055,7.3683,,103.0577,0.9673,8.0672,0.0853,0.09,-2.7876,0.9447,-0.0232,-0.2677,0.1706,1.8894,80.346,5.088,5.8835,62.1943,37.8057,16.3441,69.8261,25.6454,62.3595,37.6405,0.0755,4.088,0.2079,0.3673,0.2034,0.3594,0.409,0.0471,953.8504,-0.0464,0.0145,8644555305.38,1.0463,2.9548,94.0326,4.1436,1.2274,0.7208,85.1184,102.9922,102.9922,219.0795,122.5367,124.1326,103.0172,2.11,219.0776,102.5575,-0.8291,2.6885,-0.8289,68.3044,68.3044,71.5574,215.1293,17.9735,1
688278.SH,20160819,20160630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9783,,,,,,,,,,,,,,,,,,,-13.2681,,,,,,,1
688569.SH,20160830,20160630,,,,,,,,,,,,,,,,,0.1677,183158803.12,,,,,,,,,585139225.37,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.2217,,,,,,4.4434,,,,1.7833,,,57.3068,,,,,,,,,,,,,,,1.2459,,,,,,,,,,,,,,,,,,,-12.2123,-8.5241,,,,,,1
688386.SH,20160728,20160630,,,,,,,,,,89477050.62,,,,,,,0.3203,89477050.62,,,,,,,,,222327119.62,,,0.0,,,,,,,,,,,,,,,,,,,,,,6.855,,,,,,13.71,,,,,,,79.5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000627.SZ,20160830,20160630,0.22,0.19,1.3604,1.3604,1.5515,0.0256,0.2287,484273128.53,345973501.11,,,,,,,17.9235,0.1032,-1603516066.39,,,,,,,,,,,,,1083395078.38,0.1949,2.9995,-0.9909,0.2544,3.7074,,,,20.7189,,,,20.7189,,7.3911,,1.0379,,19.6933,,11.4398,8.05,4.7671,,2.1374,,22.8796,,83.319,5.9948,7.7388,,,,,,,,,4.9948,0.1395,,,,,-0.0461,,4.2748,1.4782,5177772703.38,19.7122,,,0.2873,0.2618,0.0805,-112.296,914.8148,803.7037,-14913.6364,3089.5876,3245.9688,2332.5484,835.3065,-46962.7559,341.541,133.3878,4462.4878,634.3591,1795.2403,1795.2403,2109.2143,-90.983,805.1696,1
300673.SZ,20160901,20160630,0.53,0.53,4.2913,4.2913,3.4292,0.1218,1.0917,211513.35,31552479.81,68903923.43,2.216,1.8894,1.808,3.2699,0.911,1.9247,0.5446,34816428.33,35306113.35,,78682853.7931,78682853.7931,106400383.32,,20000000.0,-122642330.51,298221293.84,153705771.51,31063441.0,362791675.51,72812601.04,0.5294,5.6592,0.5481,1.2135,1.037,0.5884,1.3114,1.3114,12.3464,26.7613,73.2387,12.3071,12.3464,2.7548,10.0001,-0.4478,0.2563,86.4778,13.5758,13.7124,9.391,9.12,9.3285,7.468,6.7241,8.844,18.782,14.936,26.94,1.3687,1.3977,59.6997,40.3003,63.5606,5.5128,93.5942,100.0,,0.2602,0.3687,2.6863,16.9776,2.3593,14.9111,,0.2602,97.5245,13.4482,6.7188,135398755.43,13.6356,2.7171,87.2761,5.6786,5.6527,4.1099,5.3882,60.6061,60.6061,-17.2679,56.4289,57.421,64.9389,63.47,-14.4161,46.9978,0.71,-1.4991,0.7796,27.2133,27.2133,,30.364,12.205,1
000563.SZ,20160831,20160630,0.0916,0.0916,0.1815,0.1815,0.8879,0.0636,0.4433,94445137.27,188531624.55,,,,,,,6.9268,0.0668,186102518.77,,,,,,,,,,,,,1566607970.69,0.0916,2.4644,-0.1643,0.5069,-0.3554,,,,50.4415,,,,50.4415,,29.6654,,-0.9109,,66.9099,,3.7062,3.7,2.4693,,3.3672,,7.4124,,5.5543,1.0588,1.1007,,,,,,,,,0.0588,17.0041,,,,,-1.1334,,6.7344,3.3672,79719259.05,67.0841,,,1.8277,1.8005,1.7008,228.4689,-22.9605,-22.9605,-141.3958,-2.6741,-2.4236,-2.0539,1206.99,-205.3066,-43.8304,-50.2473,-7.774,-0.4956,-22.0116,-22.0116,-61.1033,-5.7409,74.3756,1
