ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,update_flag
300341.SZ,20121022,20120930,0.33,0.33,2.2869,2.2869,3.0248,0.0816,1.0618,682339.98,23659551.59,61188903.15,6.5147,5.7991,5.7335,2.527,0.6979,2.194,0.488,28141495.55,30568805.98,,10093378.0478,-55039880.1722,63548562.13,3439875.6,0.0,-273061833.01,459647227.44,350451826.54,77389993.53,474306065.4,105184626.38,0.2646,5.1555,0.27,1.1433,2.4135,0.3323,0.1097,-0.5983,11.5698,29.0832,70.9168,14.5928,11.5698,3.3415,10.4791,0.7722,0.3551,86.6243,13.3757,14.5294,7.4092,9.57,7.2015,7.091,5.6466,7.1207,9.8789,9.4547,12.3756,1.1412,1.3122,76.4834,23.5166,84.9163,0.0,100.0,94.865,5.135,0.3892,0.1412,7.0804,,6.8616,,,0.3692,190.4944,7.5288,5.6466,112635276.5,13.7573,4.4876,86.7395,2.6071,2.4475,2.083,3.9702,-34.0,-34.0,-50.74,-27.7948,-28.0355,-29.5075,,-34.6123,,94.72,68.6872,159.5178,-14.7786,-14.7786,-18.0196,14.9288,,0
002665.SZ,20121025,20120930,0.77,0.77,5.1047,5.1047,9.1425,0.0936,1.5423,10210582.62,83397912.53,167953901.18,2.8581,2.2582,1.9891,1.5922,0.4662,3.9043,0.405,98473107.06,103068598.84,,-341012145.7824,-341012145.7824,715438710.13,,0.0,-794080634.83,1543645638.43,1329347060.77,535266425.94,1572139636.68,218146415.94,0.702,11.7784,-1.21,1.6359,5.3007,0.7729,-2.5573,-2.5573,13.7516,24.6734,75.3266,7.4429,13.7516,3.0564,5.4786,-1.0922,2.0174,85.5337,14.4663,15.1414,9.0488,7.82,8.0618,6.1328,5.5699,8.4339,12.0651,8.1771,31.2749,1.4551,1.6246,89.3865,10.6135,67.4795,0.0,99.9051,100.0,,-0.2263,0.4551,2.1954,,2.1576,,,-0.2263,367.611,7.4265,5.5699,215790075.98,16.2336,2.3722,87.1354,2.1099,2.0224,1.4967,-24.6335,92.5,92.5,-317.24,91.8158,115.824,131.6439,50.0169,-463.7745,-36.8069,136.55,113.0681,215.1904,83.7032,83.7032,243.4071,-50.4314,266.5653,0
002608.SZ,20121026,20120930,0.39,0.39,11.2866,11.2866,5.0869,0.2974,7.3089,16214028.42,40491580.79,141917380.36,1.4609,0.8506,0.5651,13.7451,0.3926,1.7668,0.3055,46331969.56,98592040.27,,-1041954712.0209,1059286287.9391,1196426866.49,27069982.68,2859511815.25,1125045438.71,1922900223.02,1513011014.35,1864819153.06,4875001659.84,1118124459.18,0.3858,13.6957,-2.23,7.6063,1.2251,0.6707,-7.0881,7.206,3.4037,8.5538,91.4462,5.2748,3.4037,0.7409,2.7418,1.7921,-0.0597,97.2074,3.5112,5.9424,2.8413,2.83,2.0289,1.8153,1.0398,2.0883,3.7884,2.4204,66.951,3.0258,2.7214,78.6376,21.3624,31.5307,58.6566,41.2977,80.3991,19.6009,-0.1,2.0258,0.4931,0.7041,0.471,0.6725,1.7092,-0.0804,380.5577,1.3864,1.0441,1212423404.04,4.1503,-0.0166,97.4423,0.9694,0.7363,0.3394,-49.5637,-72.7273,-72.7273,-2887.5,-70.1786,-66.1681,-65.1414,-74.132,-3716.6568,-66.1273,1.78,28.0135,1.7707,-15.0544,-15.0544,6.2055,4.2761,2.9106,0
002546.SZ,20121027,20120930,0.54,0.54,2.1307,2.1307,3.3363,0.1378,1.882,1281071.51,88934075.03,145316367.06,5.7059,5.0489,4.9942,2.0551,0.3728,7.8558,0.3023,96742762.25,91313169.88,,-19672193.8487,-19672193.8487,154918218.57,0.0,0.0,-519516133.09,1049673804.23,729024086.88,209507953.79,1067819521.11,339322974.91,0.537,6.3561,0.2,2.0198,-1.4333,0.5435,-0.1171,-0.1171,25.2027,40.5958,59.4042,12.0631,25.2027,3.7703,12.174,-3.8812,0.8627,72.9738,27.3495,25.5094,8.6437,8.7,8.5209,7.7105,7.6178,7.5022,11.5249,10.2807,12.6698,1.1451,1.1347,72.2921,27.7079,85.8462,0.0,100.0,100.0,0.0,0.2174,0.1451,6.8928,,6.7757,,,0.2174,242.9923,10.1571,7.6178,119492635.17,29.3906,3.8258,71.5149,3.5145,3.4335,3.0116,-25.3604,31.7073,31.7073,146.51,26.5941,34.3757,35.4569,33.3566,146.2898,20.6867,4.78,6.714,4.7288,28.2339,28.2339,10.3904,6.5082,11.734,0
300166.SZ,20121026,20120930,0.31,0.31,1.4661,1.4661,3.59,0.1112,1.0605,722500.0,36798244.61,77871381.36,39.0559,38.2152,31.687,1.6831,0.2804,11.2805,0.2454,42664728.95,35675324.99,,-241142411.7237,-241142411.7237,15526192.92,375500.0,0.0,-357589900.94,607239840.36,590863213.25,233273312.31,700044884.12,142364206.79,0.3088,5.7617,-0.45,1.1717,-1.489,0.2936,-1.9847,-1.9847,21.063,43.7146,56.2854,16.626,21.063,5.3406,15.8686,-4.5833,-0.0473,76.0494,23.9506,20.027,5.4748,5.49,5.3694,4.9146,5.1688,4.4552,7.2997,6.5528,2.2211,1.0227,1.0592,84.6976,15.3024,84.8164,0.0,100.0,97.6386,2.3614,-3.498,0.0227,44.0233,,38.1871,,,-3.4154,179.9507,6.8917,5.1688,16752127.11,24.6103,6.6505,81.3296,1.6318,1.5889,1.5915,-34.8499,14.8148,14.8148,-4370.0,28.0777,20.2402,17.8305,18.4428,-18316.8138,8.548,-65.2,-2.7072,4.3871,73.6307,73.6307,126.1437,-4.6054,8.5515,0
300010.SZ,20121024,20120930,0.1141,0.1141,1.202,1.202,1.5394,0.0521,0.5368,3001854.61,26766401.68,105947541.82,3.4784,2.9663,2.6835,1.3979,0.4904,3.0571,0.322,20923558.45,26147951.6,,-78108253.78,-74108253.78,97064847.52,2380000.0,78900000.0,-140170204.91,615670013.33,436112402.19,295942197.28,921313699.21,153622691.99,0.1141,3.1283,0.05,0.5889,-0.0604,0.1002,-0.2994,-0.2841,10.0484,33.7876,66.2124,25.5143,10.0484,16.5029,9.052,-0.0406,0.5269,93.3273,6.6727,8.3388,3.9977,4.06,3.5945,2.685,3.2354,3.0775,5.3303,3.58,17.4718,1.2117,1.3078,59.963,40.037,60.315,8.5639,88.5765,98.6655,1.3345,0.0815,0.2117,4.5758,10.3431,3.4521,7.8032,,0.0804,314.1797,4.3139,3.0567,201230277.24,8.3794,16.4245,86.3236,2.4523,2.0252,2.2579,31.4825,-34.1604,-34.1604,132.35,-55.9836,-48.4236,-27.4073,-34.8912,136.0809,-43.1719,9.82,10.12,21.2202,-12.2059,-12.2059,-12.2204,1075.1073,27.7408,0
300192.SZ,20121026,20120930,0.32,0.32,2.5154,2.5154,3.0199,0.1102,1.178,1803341.59,33465410.51,67326603.33,5.0193,4.5521,4.1569,3.2387,0.4723,6.6261,0.4166,40054659.42,34867932.96,,-95104842.5559,-82655896.4459,111116114.54,0.0,13066574.32,-321776545.71,557642703.16,499127815.38,177351269.67,599753062.02,142016729.4,0.3199,5.3212,-0.06,1.2881,-0.7588,0.3163,-0.8626,-0.7497,12.7178,24.2777,75.7223,8.835,12.7178,4.2611,7.0097,-2.4358,0.5176,85.5564,14.4436,12.5732,6.1268,6.06,5.8135,5.2386,5.2988,5.0748,8.1691,6.9848,17.4691,1.2117,1.1563,87.6829,12.3171,78.4452,2.1787,97.8171,100.0,0.0,-0.0547,0.2117,4.7242,44.8979,4.4905,42.677,,-0.0547,146.7843,7.0651,5.2988,58540092.15,15.009,5.6921,86.3812,2.7888,2.5217,2.3633,-1.6014,-23.8095,-23.8095,-1400.0,36.9399,26.3475,25.7069,34.3073,-2518.8309,18.7182,-30.73,14.5942,3.9006,32.3984,32.3984,68.2323,69.3415,5.8868,0
300331.SZ,20121023,20120930,0.48,0.48,2.7466,2.7466,4.5416,0.2353,1.5976,6670515.12,18266619.88,49885211.46,4.3036,3.91,3.6953,2.1175,0.5304,3.595,0.4012,21326911.46,29230937.7,,-60514140.7956,-57514140.7956,98683551.56,0.0,18000000.0,-246553104.93,433248953.02,357392612.53,102339507.6,475224916.34,113644514.87,0.4022,7.3746,-0.32,1.833,3.5763,0.4715,-0.976,-0.9276,14.7818,29.294,70.706,15.0742,14.7818,2.5146,12.6597,-0.1001,1.1323,87.4762,12.6078,17.1652,7.9248,9.01,5.805,6.8865,5.9303,7.4976,10.5664,9.182,20.3314,1.2552,1.3489,81.1238,18.8762,75.4909,3.7877,96.2123,92.7153,7.2847,-0.1843,0.2552,3.9185,25.4014,3.713,24.0694,,-0.1709,216.5267,7.9071,5.8749,83615626.49,17.2653,3.2097,95.8982,1.1339,0.3754,0.8781,-48.5335,-26.1538,-26.1538,-148.71,-33.294,-16.4853,-17.5796,,-164.938,,99.19,108.675,165.6502,-10.2869,-10.2869,-28.6268,-85.7978,,0
300194.SZ,20121026,20120930,0.58,0.58,2.5035,2.5035,9.4635,0.1687,2.0124,4071038.95,72973074.12,123984594.14,17.9397,16.5622,15.9894,6.9638,0.2443,1.5741,0.1842,86987281.32,64480516.65,,-126648654.9961,-126648654.9961,70263416.06,24739058.36,3800000.0,-1038010475.43,1561488289.98,1254612432.49,216601957.06,1714165122.27,290948518.9,0.5775,12.6769,0.38,2.181,-1.0034,0.4834,-0.9494,-0.9494,23.2743,37.125,62.875,10.0725,23.2743,3.6065,14.5446,-8.0785,0.3857,73.9532,26.0468,19.3075,4.6041,4.61,4.3609,3.5563,4.2869,3.2137,6.1388,4.7417,5.4612,1.0578,1.0835,73.4413,26.5587,86.3098,0.2217,98.6544,74.9611,25.0389,0.6919,0.0578,17.116,445.0263,15.8041,410.918,,0.5186,163.8472,5.7159,4.2492,349845543.13,27.3861,4.1954,75.8409,1.3287,1.3302,1.2388,5.8226,-15.942,-15.942,60.7,-10.1957,-8.9069,-8.9132,-10.5442,60.6961,-11.4631,2.14,-0.4373,2.1426,21.8446,21.8446,66.4023,-19.6651,2.88,0
002439.SZ,20121025,20120930,-0.169,-0.169,1.6939,1.6939,3.1654,0.0971,1.1495,1993864.89,-35660744.1,197101632.21,3.1492,2.9228,2.8035,1.1366,0.3845,1.4584,0.2633,-57932199.55,-46082360.41,,-197941978.27,-197941978.27,296289785.72,14372777.6,0.0,-413626728.27,907689821.2,636788062.05,223161333.78,1124026519.63,258753346.77,-0.1622,5.412,-0.31,1.2466,-0.8083,-0.222,-0.9537,-0.9537,-9.6542,56.0604,43.9396,69.5631,-9.6542,42.8217,28.3906,-1.6491,1.113,116.4773,-17.2302,-13.1069,-3.1127,-3.23,-3.2971,-3.4511,-2.542,-4.2573,-4.1503,-4.6015,21.6537,1.2764,1.2346,65.0369,34.9631,63.2674,0.0,99.9373,95.3735,4.6265,-0.2161,0.2764,3.6159,,2.9218,,,-0.2061,321.4797,-3.3893,-2.5213,244470619.35,-11.4578,36.582,106.4064,-0.5615,-0.7034,-0.467,11.6299,-6.2893,-6.2893,45.61,-18.6338,-5.6516,-7.1126,-7.2751,43.1282,9.661,2.85,16.0843,8.0274,84.3936,84.3936,152.1754,3.7252,18.5674,0
