ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy,update_flag
000022.SZ,20180427,20180331,0.227,0.227,0.955,0.955,0.2598,0.8066,4.4393,-738863.37,147400980.09,279763278.51,0.8186,0.8037,0.7825,2.1161,0.503,0.158,0.0764,223187829.38,251437698.98,,762071206.3744,762071206.3744,455731446.5,250280836.92,1419951557.9,537507884.56,2856712885.34,-285946551.77,-47518119.24,5733483617.43,3382376333.58,0.2275,6.6901,0.1636,5.2459,0.0996,0.39,1.1819,1.1819,33.9722,45.434,54.566,8.8758,33.9722,,6.9485,1.9274,0.0585,63.754,38.8821,40.8339,3.1757,2.91,3.1917,3.119,2.5949,2.6137,12.7028,12.476,26.0942,1.3531,1.7455,15.8416,84.1584,35.0635,24.7659,75.2341,74.1595,25.8405,0.0669,0.3531,2.029,3.0378,1.3437,2.0118,5.3147,0.0496,48.6031,10.3796,1.8193,3990095066.46,38.9065,,63.754,3.1757,3.1917,2.5949,17.1276,6.0748,6.0748,-57.2064,4.0533,3.5986,6.1281,7.18,-67.8169,18.7961,-12.3793,2.1539,-12.3795,4.2839,4.2839,4.2839,68.6122,-11.0825,1
000043.SZ,20180428,20180331,0.1013,0.1013,2.3005,2.3005,0.8153,0.4636,4.0815,5098654.13,62481175.94,333189930.19,1.175,0.6581,0.3753,2.4407,0.1381,2.4495,0.0802,115349758.56,192073128.18,,273416276.9268,299190851.9268,5674568776.11,777068605.5,8013960511.47,5694236302.16,4162516414.13,1656631833.52,3129872482.28,12682286375.17,3031415202.71,0.1013,6.3738,-0.2266,4.5451,0.3723,0.288,0.4099,0.4486,4.8697,21.7155,78.2845,12.6686,4.8697,1.5821,6.0523,5.0342,0.0003,92.4821,7.351,12.5183,1.6034,1.6,1.4824,1.0044,0.3907,0.9876,6.4136,4.0176,75.6018,4.0987,4.5374,58.1384,41.8616,21.7546,63.1902,33.5197,65.4486,34.5514,-0.016,3.0987,0.2939,0.5305,0.2878,0.5194,0.731,-0.0104,412.344,1.5628,0.3534,7754780265.4,7.484,1.5821,92.4821,1.6034,1.4824,0.3907,-9.8492,188.3173,188.3173,-126.6526,286.5058,295.928,188.3061,179.88,-126.6503,183.1932,1.7383,0.1037,1.7381,51.8616,51.8616,51.8616,-57.3927,6.1457,1
688188.SH,20190719,20180331,,,,,,,,2448800.0,27595600.0,41707210.82,,,,,,11.25,,32663020.11,35196461.62,36050324.01,,,,,,,,,,,,,,,,,,,,58.0827,80.6296,19.3704,16.3277,58.0827,2.7859,13.685,-0.1432,-0.1845,36.8549,68.1807,68.0428,16.7068,,15.3451,12.9648,11.067,16.7068,66.8272,51.8592,,,,,,,,,,,,,,,,,,,,44.268,,,68.1937,2.7859,36.8549,16.7068,15.3451,11.067,31.8898,,,,,,,,,,,,,,,,,,0
688981.SH,20180510,20180331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.803,-57.9072,,-34.7903,-63.1337,,0.9357,1.3175,3.5824,4.7862,,,14.177,1
000047.SZ,20180719,20180331,-0.0021,-0.0021,,,0.5864,0.2144,-5.8894,0.0,-388480.8,,0.0482,0.0482,0.0482,,,,,-388480.8,-388326.8,,-2930.88,-2930.88,686787367.2,,106709492.79,74934031.23,-755108828.64,-755216843.13,-680282811.9,-648280335.85,-1047932657.74,-0.0021,-4.0886,0.0006,-5.675,0.0006,-0.0021,0.0,0.0,,,,,,,,,,,,,,,,-1.0125,-1.0129,,,-4.05,2060.6545,,,99.4105,0.5895,-1960.9635,,,100.0,,0.0001,,-0.9515,-7.0752,-0.9516,-7.0763,-10.077,0.0001,,-4.0516,-1.0129,29377.82,,,,,,-1.0129,,60.3774,60.3774,110.3448,60.6622,60.6622,60.6622,60.66,109.5454,,-0.0514,0.808,-0.0515,,,,71.669,1.2166,1
000751.SZ,20180421,20180331,0.024,0.024,1.3805,1.3805,0.9333,0.2637,-0.4803,3041788.79,30757911.07,131564778.35,1.2443,0.3993,0.2722,18.2588,0.8319,2.2247,0.4513,30782633.15,51434071.65,,-53516457.0109,193320020.4491,795851068.03,97511084.52,1152233807.46,973503264.35,1554194636.91,476010013.68,1449513278.03,3572495254.6,-305381580.06,0.024,1.7167,-0.2797,-0.2166,-0.1251,0.0365,-0.038,0.1371,1.7366,6.7598,93.2402,4.344,1.7366,0.3878,3.0515,0.9048,,98.4184,1.7663,2.6427,1.4095,1.41,1.2826,1.1925,0.7837,1.4997,5.638,4.77,45.8052,1.8452,1.7986,54.2806,45.7194,34.8017,32.2529,67.7471,95.2331,4.7669,-0.2024,0.8452,1.1832,2.1005,0.7598,1.3489,1.5965,-0.1927,81.2585,3.1348,0.7837,1165647983.75,1.7379,0.3878,98.4184,1.4095,1.2826,0.7837,-20.2582,-11.1111,-11.1111,-29.6708,-11.5836,-10.989,-11.0555,-20.9,-29.6314,-19.2395,1.8753,7.3459,1.8708,14.751,14.751,14.751,-64.4163,10.1336,1
000563.SZ,20180428,20180331,0.0396,0.0396,0.0876,0.0876,0.8879,0.0917,0.5953,2881129.6,119443696.44,,,,,,,3.6167,0.0287,105095958.99,,,,,,,,,,,,,2123154589.85,0.0396,2.5975,0.1239,0.687,-0.0389,,,,45.1723,,,,45.1723,,33.2075,,4.96,,60.3117,,1.533,1.53,1.4969,,1.2962,,6.132,,14.8409,1.1743,1.1827,,,,,,,,,0.1743,5.7381,,,,,0.2737,,5.1848,1.2962,74160365.87,60.3059,,,1.533,1.4969,1.2962,141.3872,3.6649,3.6649,151.3185,3.4945,3.492,3.5198,1.98,151.5367,0.3149,1.2158,-0.2281,1.2171,11.852,11.852,11.852,282.0586,3.1948,1
300403.SZ,20180427,20180331,0.0726,0.0726,0.5313,0.5313,1.3327,0.2763,1.8573,5397238.41,18912066.65,64644277.85,6.332,5.4504,4.7153,1.1708,0.1744,0.723,0.1064,21030188.13,37803641.75,,-27973146.1759,-27973146.1759,157671818.73,21416780.1,0.0,-539168361.75,1363727815.53,840703823.82,301535462.07,1503158968.51,714755768.72,0.0726,4.4663,0.03,2.1336,-0.1198,0.1128,-0.0835,-0.0835,12.9258,36.3212,63.6788,23.4451,12.9258,5.4069,12.3508,5.6873,,88.1839,15.5699,21.2404,1.638,1.64,1.2743,2.2601,1.3754,2.1062,6.552,9.0404,10.6458,1.1191,1.1271,59.3477,40.6523,81.0658,0.0,99.538,88.0412,11.9588,0.0637,0.1191,8.3546,,7.6148,,,0.0561,185.2781,5.5016,1.4533,470376702.39,15.5531,5.4069,88.1839,1.638,1.2743,1.3754,5.6435,-42.5633,-42.5633,-84.8255,-44.3106,-44.3702,-42.5711,-54.68,-62.0869,-46.7628,1.6524,1.1535,1.6516,2.2477,2.2477,2.2477,-10.5313,7.8735,1
300571.SZ,20180426,20180331,0.6,0.6,2.923,2.923,0.6293,0.133,3.0516,284730.48,47437362.42,101982222.35,2.0238,2.0032,1.7524,1.7507,0.4861,4.6684,0.3334,73366691.07,76291146.47,,19687546.3543,-60726655.3057,129481940.83,34130206.37,118494243.8,-133892857.22,254538095.52,239176343.28,90914242.26,523338504.11,254771931.56,0.5965,4.814,0.5672,3.1846,-0.5006,0.9536,0.2461,-0.7591,23.6662,43.6123,56.3877,11.375,23.6662,1.0766,9.1286,1.1698,0.3952,68.625,31.5409,32.6256,13.1939,13.21,13.1152,10.8789,7.8914,10.6008,52.7756,43.5156,41.0665,1.6968,1.9388,68.8235,31.1765,37.0533,22.642,73.5886,82.8081,17.1919,0.1942,0.6968,1.3651,3.2501,0.9023,2.1481,,0.1608,53.9831,31.5656,6.805,68987959.52,31.4558,1.0766,68.625,13.1939,13.1152,7.8914,19.4046,122.2222,122.2222,-1.4936,165.2513,164.0846,118.1248,118.47,97.0218,54.1962,13.8465,-4.0035,13.8457,12.3746,12.3746,12.3746,34.145,41.4592,1
600669.SH,20180426,20180331,0.0,0.0,,,0.5012,0.1209,-1.6254,0.0,3861.56,,0.8625,0.8625,0.8625,,,,,3861.56,0.0,,-3861.56,-3861.56,5826597.01,,0.0,-5025181.08,-801415.93,-801415.93,-5826597.01,-801415.93,-364676963.58,0.0,-0.0033,0.0001,-1.5045,-0.0009,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0752,,,0.0,115.948,,,100.0,,-15.948,,,100.0,,0.0026,,-0.1375,,-0.1375,,,0.0026,,0.3008,0.0752,,,,,,,0.0752,,,,,-74.4902,-74.4902,-74.4902,-74.4902,,,0.0,-4.2609,0.4795,,,,-40.1553,-2.2818,1
002196.SZ,20180420,20180331,0.042,0.0413,0.7224,0.7224,3.7491,0.0851,0.7625,1076258.74,17536328.38,63078299.88,1.8751,1.3971,1.3375,0.562,0.2301,0.6791,0.0992,16821091.17,27168278.9,,-131369935.9773,-80580771.6273,494169751.22,35567883.36,249845930.5,155926847.59,1252545329.7,651086333.29,807013180.88,2743555947.65,382191638.3,0.0413,5.5079,-0.2037,0.8476,-0.1557,0.0603,-0.2914,-0.1787,5.6961,19.3664,80.6336,14.2469,5.6961,1.7197,10.6562,1.871,-0.1513,94.8356,6.5253,8.3413,0.7523,0.75,0.7088,0.8276,0.5652,0.8822,3.0092,3.3104,23.8165,1.3126,1.3268,42.6207,57.3793,38.2656,9.1066,90.5222,95.4376,4.5624,-0.1235,0.3126,3.1857,9.9402,1.6067,5.0133,8.0329,-0.1178,284.9343,2.2608,0.567,633701970.38,6.4703,1.7197,94.8356,0.7523,0.7088,0.5652,-28.2014,-15.493,-15.5419,-2157.5758,5.4573,-13.4137,-14.6781,-13.12,-3602.7302,-18.7772,0.761,-0.6387,0.7616,29.4766,29.4766,29.4766,-69.0792,5.0466,1
