code,trade_date,open,high,low,close,pre_close,vol,amount
159901,2007-07-02,1.8440,1.8850,1.8200,1.8550,,177085.00,70662806.62
510050,2007-07-02,2.1550,2.2140,2.0890,2.1890,,585897.00,168444883.00
510180,2007-07-02,2.3450,2.3690,2.2220,2.3250,,7357.00,6049227.00
510880,2007-07-02,1.5690,1.6710,1.5440,1.6270,,450506.00,143155221.00
159902,2007-07-02,1.9750,2.0300,1.9420,1.9960,,177601.00,37276539.16
510880,2007-07-03,1.6470,1.7030,1.6290,1.6870,,182887.00,59434193.00
159902,2007-07-03,2.0100,2.0450,2.0050,2.0400,,241539.00,51855435.30
510180,2007-07-03,2.3260,2.3630,2.3210,2.3630,,6932.00,5800194.00
159901,2007-07-03,1.8630,1.9090,1.8620,1.9080,,197740.00,80431810.88
510050,2007-07-03,2.1790,2.2110,2.1640,2.2040,,539238.00,157771150.00
159901,2007-07-04,1.9100,1.9210,1.8710,1.8750,,164562.00,67382457.35
510180,2007-07-04,2.3610,2.4010,2.3210,2.3260,,5061.00,4235584.00
510050,2007-07-04,2.2030,2.2080,2.1290,2.1370,,724391.00,210123491.00
159902,2007-07-04,2.0390,2.0540,1.9980,2.0000,,123202.00,26481777.84
510880,2007-07-04,1.6880,1.7080,1.6130,1.6260,,207056.00,67332947.00
159902,2007-07-05,1.9720,1.9900,1.9150,1.9200,,215945.00,44439900.97
510880,2007-07-05,1.6130,1.6130,1.4240,1.4330,,978169.00,301334326.00
159901,2007-07-05,1.8540,1.8700,1.7700,1.7730,,412062.00,161438986.78
510050,2007-07-05,2.0930,2.1240,2.0130,2.0330,,813742.00,228535143.00
510180,2007-07-05,2.3010,2.3160,2.1690,2.1700,,9594.00,7705019.00
510050,2007-07-06,2.0240,2.1090,1.9640,2.1010,,1364054.00,377827532.00
159901,2007-07-06,1.7600,1.8550,1.7250,1.8550,,520539.00,200511970.98
510180,2007-07-06,2.1420,2.2730,2.1100,2.2700,,18308.00,14571714.00
159902,2007-07-06,1.8930,2.0080,1.8880,2.0060,,134219.00,27738049.24
510880,2007-07-06,1.4240,1.5740,1.3690,1.5700,,513865.00,155696212.00
159902,2007-07-09,2.0410,2.0580,2.0100,2.0500,,135974.00,29356642.43
510880,2007-07-09,1.5800,1.6720,1.5750,1.6630,,306830.00,98112402.00
510050,2007-07-09,2.1050,2.2020,2.1050,2.1940,,792861.00,229251596.00
159901,2007-07-09,1.8630,1.9300,1.8630,1.9280,,244730.00,100237477.70
510180,2007-07-09,2.2710,2.3710,2.2230,2.3610,,12304.00,10227694.00
510180,2007-07-10,2.3210,2.3930,2.3210,2.3420,,7741.00,6497660.00
510050,2007-07-10,2.1890,2.2340,2.1750,2.1780,,918741.00,270011931.00
159901,2007-07-10,1.9310,1.9320,1.8800,1.8850,,219974.00,90014671.74
159902,2007-07-10,2.0480,2.0480,1.9610,1.9720,,141502.00,29978442.52
510880,2007-07-10,1.6540,1.6630,1.5760,1.5890,,197675.00,63123373.00
159902,2007-07-11,1.9510,1.9950,1.9500,1.9870,,133620.00,28085273.24
510880,2007-07-11,1.5760,1.6170,1.5500,1.6140,,138829.00,43945978.00
510180,2007-07-11,2.3020,2.3940,2.3010,2.3410,,20551.00,17258000.00
510050,2007-07-11,2.1780,2.1940,2.1450,2.1800,,674289.00,196419010.00
159901,2007-07-11,1.9040,1.9190,1.8680,1.9060,,300815.00,119382476.83
510050,2007-07-12,2.1800,2.2290,2.1740,2.2180,,418626.00,123059633.00
510180,2007-07-12,2.3450,2.3930,2.3310,2.3790,,11554.00,9733310.00
159901,2007-07-12,1.9060,1.9300,1.8990,1.9140,,169823.00,67849802.95
159902,2007-07-12,1.9880,2.0300,1.9880,2.0150,,102649.00,21867988.94
510880,2007-07-12,1.6160,1.6530,1.6020,1.6340,,137520.00,43975060.00
510880,2007-07-13,1.6330,1.6440,1.5940,1.6380,,132883.00,42524685.00
159902,2007-07-13,2.0180,2.0300,2.0000,2.0290,,76977.00,16468086.52
510180,2007-07-13,2.3530,2.4010,2.3310,2.3850,,5449.00,4601502.00
159901,2007-07-13,1.9150,1.9200,1.8910,1.9060,,69587.00,27610400.45
510050,2007-07-13,2.2260,2.2280,2.1820,2.2220,,290807.00,85552057.00
159901,2007-07-16,1.9050,1.9060,1.8380,1.8520,,224989.00,87804036.49
510050,2007-07-16,2.2040,2.2180,2.1040,2.1240,,399108.00,115741531.00
510180,2007-07-16,2.3850,2.3850,2.2970,2.3310,,6446.00,5382857.00
510880,2007-07-16,1.6340,1.6360,1.5260,1.5360,,126642.00,39856105.00
159902,2007-07-16,2.0290,2.0380,1.9970,2.0070,,63821.00,13652202.60
159902,2007-07-17,1.9820,2.0450,1.9800,2.0310,,87374.00,18719969.29
510880,2007-07-17,1.5150,1.6160,1.5040,1.5910,,119901.00,37535563.00
510180,2007-07-17,2.3730,2.3800,2.2810,2.3610,,21118.00,17641325.00
510050,2007-07-17,2.1060,2.2190,2.1050,2.2070,,307492.00,89043162.00
159901,2007-07-17,1.8400,1.9000,1.8210,1.8860,,139424.00,54377370.31
510050,2007-07-18,2.1940,2.2640,2.1750,2.2220,,566476.00,168194255.00
510180,2007-07-18,2.3370,2.4420,2.3320,2.4150,,21761.00,18417091.00
159901,2007-07-18,1.8710,1.9170,1.8650,1.8870,,168695.00,66765787.70
510880,2007-07-18,1.5890,1.6640,1.5590,1.6140,,143631.00,45903982.00
159902,2007-07-18,2.0280,2.0600,2.0130,2.0320,,67394.00,14539140.33
159902,2007-07-19,2.0300,2.0500,2.0220,2.0430,,43988.00,9497258.83
510880,2007-07-19,1.6040,1.6230,1.5790,1.5820,,82864.00,26262700.00
510180,2007-07-19,2.4150,2.4150,2.3620,2.3850,,5164.00,4378462.00
510050,2007-07-19,2.2240,2.2410,2.2040,2.2110,,333529.00,98649304.00
159901,2007-07-19,1.8880,1.9050,1.8680,1.8900,,95791.00,37887218.50
159901,2007-07-20,1.8790,1.9800,1.8790,1.9800,,307373.00,125301687.55
510050,2007-07-20,2.2080,2.3590,2.2080,2.3530,,842737.00,256271347.00
510180,2007-07-20,2.3630,2.5210,2.3630,2.5090,,7597.00,6571499.00
510880,2007-07-20,1.5830,1.7070,1.5830,1.7060,,202445.00,65625689.00
