ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
300708.SZ,20250125,20250125,20241231,1,1,4,676211846.0,1838714118.34,449001651.69,52029173.76,934726.63,1552985290.85,140000000.0,164889528.24,465296454.64,4599808.32,7854092.35,,,239521565.66,,,,,,,,,28794799.57,2721772941.77,,,,84276225.53,,,,1486064784.72,156565559.3,,,,,23742663.53,,,,85897036.71,,69577693.13,1910481533.61,,,,,,,,,,,,,,,,,4632254475.38,,525000000.0,,,,,903582219.14,390907083.31,,,,31836481.06,6505442.68,,,3333264.8,,,,,,,,403348.26,42726695.92,1911901882.26,,,,,,,,3512596.97,,,,,,,,,,,,,,,,,1915414479.23,300051520.27,,,,,2716839996.15,2716839996.15,4632254475.38,,,,,,,,,,,,,,7607347.09,630185982.88,1294489302.45,4599808.32,1486064784.72,156565559.3,3333264.8,,,,0
300803.SZ,20250125,20250125,20241231,1,1,4,412563611.0,700826742.0,1017514254.0,114669072.0,,6559218052.0,929973465.0,,136254243.0,56555497.0,9085091.0,,,168072.0,,,745548779.0,,,,,126012887.0,54966794.0,8618952450.0,,,126678595.0,1974363.0,,,,378752358.0,,,,,,68124129.0,,1286544299.0,18171324.0,172935463.0,,51652047.0,2254738868.0,,,,,,,,,1169570.0,,,,,,,,10873691318.0,,402889794.0,,,270046041.0,,,113458388.0,97235.0,,,259953008.0,22956059.0,,,48818626.0,,,,,,6623633022.0,,18727727.0,9199600.0,7847184469.0,,,,,4869946.0,2269742.0,757678713.0,800813945.0,,,,,,,,,,,,,,,,,8647998414.0,,,,,-19880775.0,2245573679.0,2225692904.0,10873691318.0,1242380.0,,,,,,,,,,,,,77404969.0,136254243.0,113458388.0,56555497.0,378752358.0,,48818626.0,,,,0
874325.BJ,20250222,20250222,20241231,1,1,4,30797000.0,106959088.48,139261927.1,16945842.44,4659081.73,43415547.05,,2618943.4,198139414.52,9326960.04,101148070.13,,,122513706.49,,,,,,,,,9619394.82,486880133.25,,,,,,,,41298203.61,7258545.52,,,,,381212.33,,,8446353.69,4746869.79,,5496983.19,83124428.78,,,,,,,,,,,,,,,,,570004562.03,,59218906.15,,,,765574.26,66739314.11,100294751.18,,,,6811827.21,12317198.86,,,185609.0,,,,,,,,7961764.73,2935622.1,259666832.75,,,,370347.89,2159057.34,,,10773442.01,,,,,,,,,,,,,,,,,270440274.76,,,,,812608.58,298751678.69,299564287.27,570004562.03,,128738.94,,,,,,,,,,,,2436265.15,200758357.92,167034065.29,9326960.04,41298203.61,7258545.52,185609.0,,,,0
603535.SH,20250220,20250220,20241231,1,1,4,345211371.0,565974845.93,1475987602.54,112616467.01,14441498.42,421568005.58,3073753.51,24712376.26,643488849.89,36603563.67,39686185.12,,,128456319.63,,5588428.37,,,,,,,112539559.84,1435755399.88,,,6951908.53,,,,25363399.46,1459376045.48,593518255.42,,,,,366274119.86,,,32578893.04,21427316.76,,726773105.7,3300767626.09,,,,,,,,,,,,,,,,,4736523025.97,291262027.44,319945562.59,,,,,160988364.81,296441978.43,,,,7459218.77,97664382.38,,,39682850.89,,,,,,,,21230398.34,14928303.77,969979343.98,760160192.93,,,,5170270.42,19126637.56,,1131484158.56,,,,,,,,,,,,,,,,,2101463502.54,,,,,7411363.67,2627648159.76,2635059523.43,4736523025.97,,1543927.25,111872447.61,,,,,,,,,,,11638284.0,668201226.15,457430343.24,36603563.67,1459376045.48,593518255.42,39682850.89,,,,0
603050.SH,20250225,20250225,20241231,1,1,4,272512968.0,387550673.76,935978659.34,64236006.59,4750368.51,506605434.25,,158637433.35,2422569599.66,31958744.71,38678329.62,,,812113900.76,,,,,,,,,15111729.54,4153290368.25,,,8522292.88,39476598.35,,,,724311429.36,1881110.4,,,,,165011234.01,,,1055999.85,82180526.21,,783607.9,1030010803.81,,,,,,,,,,,,,,,,,5183301172.06,568871054.0,1680000.0,,,,,793012961.76,950615186.93,,,,71004817.21,47826471.8,,,36561383.9,,,,,,,,304639278.27,123826138.09,2817676626.86,,,,6650816.04,,90636890.74,,673873969.8,,,,,,,,,,,,,,,,,3491550596.66,,,,,26706336.47,1665044238.93,1691750575.4,5183301172.06,,15562.73,,,,,,,,,,,142695505.7,488510388.9,2581207033.01,1743628148.69,31958744.71,724311429.36,1881110.4,36561383.9,,,,0
600535.SH,20250225,20250225,20241231,1,1,4,1493950005.0,458958999.11,8154564722.69,1743640001.98,,2993557964.21,524719705.87,,780136942.44,23058667.91,62025889.68,,,1711924485.34,,,,,,,,,29690011.97,7310616579.8,,,1309335062.13,,,,,3232209836.77,221757157.63,,,,,604166584.95,1445664826.9,,20672268.78,53171544.27,,72542582.98,7665678782.89,,,,,,,,,,,,,,,,,14976295362.69,253756391.88,699540797.49,,,,,188038180.24,418770962.75,66081071.77,,,113606014.02,120805373.55,,,38262369.57,,,,,,,,634671402.64,2382046.72,2349687994.47,,,,,398033.79,193285981.93,,515414082.09,,,,,,,,,,,,,,,,,2865102076.56,,,,,207864283.78,11903329002.35,12111193286.13,14976295362.69,,52215273.57,,,,,,,,,,,,67529775.72,780136942.44,606809142.99,23058667.91,3232209836.77,221757157.63,38262369.57,,,,0
300033.SZ,20250225,20250225,20241231,1,1,4,537600000.0,356802975.99,6672686655.49,360815351.25,,9199697806.06,50000000.0,,40678253.12,30579638.8,944979.21,,,,,,,,,,,,49656469.97,9371557147.16,,,4004118.51,,,,,631769496.83,626252320.68,,,,,331254408.61,,3895328.16,,477531.01,,,1604944420.37,,,,,,,,,,,,,,,,,10976501567.53,,,,,,,,161541411.33,,,,221841989.16,194234044.67,,,821174754.21,,,,,,,,,1245070.38,2886162232.42,,,,1804358.24,,1323333.63,112886492.94,116014184.81,,,,,,,,,,,,,,,,,3002176417.23,,,,,217676.55,7974107473.75,7974325150.3,10976501567.53,,46202491.02,,,,,,,,,,,,1486124962.67,40678253.12,161541411.33,30579638.8,631769496.83,626252320.68,821174754.21,,,,0
301522.SZ,20250225,20250225,20241231,1,1,4,371866667.0,961556102.11,483141066.95,42064366.82,,671033413.23,,295856746.87,608984554.68,724656.06,8334168.27,,,936082161.78,,,,,,,,,4187456.05,2628185271.65,,,,,,,,923962569.88,78564281.09,,,,,49953364.85,,,,9552129.23,,7159579.54,1071402748.14,,,,,,,,,,,,,,,,,3699588019.79,73113413.34,353305199.63,,,,,448852292.83,417365821.65,,,,21646574.16,5442342.3,,,2744414.7,,,,,,,,135206892.44,50674888.43,1455079521.62,,,,,44163.59,311473211.19,,385880295.29,,,,,,,,,,,,,,,,,1840959816.91,,,,,,1858628202.88,1858628202.88,3699588019.79,,,,,,,,,,,,,,19841095.48,904841301.55,866218114.48,724656.06,923962569.88,78564281.09,2744414.7,,,,0
603196.SH,20250226,20250226,20241231,1,1,4,236988282.0,370641228.24,-39779544.35,67799503.19,,141263442.31,,,72186699.74,29574065.93,8311945.82,,,273344857.28,,,,,,,,,29433159.21,554114170.29,,,,42242504.06,,,12280549.87,115430334.49,45946964.36,,,,,70356551.17,,,20433476.88,95406756.88,,,483366539.59,,,,,,,,,,,,,,,,,1037480709.88,,119659252.72,,,,,,122356999.0,583765.27,,,6233989.3,7197615.2,,,30892365.21,,,,,,,,26065995.54,44715369.92,367328914.52,,,,,,,,32936884.07,,,,,,,,,,,,,,,,,400265798.59,,,,,1230235.36,635984675.93,637214911.29,1037480709.88,,335206.85,,,,,,,,,,,,9623562.36,72186699.74,122356999.0,29574065.93,115430334.49,45946964.36,30892365.21,,,,0
002315.SZ,20250226,20250226,20241231,1,1,4,317235869.0,1226974090.48,632883426.65,158617934.5,,1557408357.0,102351622.76,12233252.22,19701000.8,12785850.67,11025244.27,,6127.14,3822893.74,,96229826.6,,,,,,,17801662.91,1872526148.78,,,61511109.69,3292838.67,,,,420071754.88,,,,,,47652981.86,,,933896.12,36124697.66,,1079015873.11,2346565498.68,,,,,,,,,,,,,,,,,4219091647.46,,,,,,,,80178308.65,369990.9,,,116028196.06,27760904.15,,,93482647.28,,,,,,,,12219856.12,4688315.51,1487447856.57,,,,135650.5,37872457.7,231818.19,150852318.91,197106724.78,,,,,,,,,,,,,,,,,1684554581.35,,4503849.51,,,23057633.86,2511479432.25,2534537066.11,4219091647.46,,171264262.11,,,,,,,,,,,,1152719637.9,31934253.02,80178308.65,12791977.81,420071754.88,,93482647.28,,,,0
