ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
603612.SH,20170628,20170628,20150930,1,1,3,180504900.0,643031199.34,462967491.72,30589767.61,,765694391.81,,16302880.84,553711929.51,1528088.62,36335145.98,,,319305441.63,,,,,,,,,21769074.52,1714646952.91,,,,,,,,1110201543.92,142693144.95,11221118.56,,,,122207592.83,,,,24008964.49,,117367768.97,1527700133.72,,,,,,,,,,,,,,,,,3242347086.63,663958333.23,741000000.0,,,,,28262880.84,155136754.59,101780.8,,,6404693.46,17769557.45,,,72299057.65,,,,,,,,142500000.0,,1163474724.79,,,,,,4318761.99,,668277095.22,,,,,,,,,,,,,,,,,1831751820.01,,,,,93501907.95,1317093358.67,1410595266.62,3242347086.63,,,,,,,,,,,,,,,570014810.35,183399635.43,1528088.62,1110201543.92,153914263.51,72299057.65,,,,0
920212.BJ,20160421,20160421,20150930,1,1,3,16000000.0,,17465707.66,1266677.05,,5363030.99,,1322353.32,34943473.38,243794.64,1072922.08,,,16286989.62,,,,,,,,,,59232564.03,,,,,,,,35703913.04,,,,,,13486699.66,,,,471542.75,,200000.0,49862155.45,,,,,,,,,,,,,,,,,109094719.48,,26000000.0,,,,,,20064687.54,12800.42,,,2636609.84,3685619.04,,10000000.0,11962617.93,,,,,,,,,,74362334.77,,,,,,,,,,,,,,,,,,,,,,,,,74362334.77,,,,,,34732384.71,34732384.71,109094719.48,,,,,,,,,,,,,,,36265826.7,20064687.54,243794.64,35703913.04,,21962617.93,,,,0
920242.BJ,20160422,20160422,20150930,1,1,3,5000000.0,,5936818.85,211627.97,,26731841.27,23000000.0,,16433578.79,502609.6,18227830.64,,,12285832.2,,,,,,,,,15071039.77,112252732.27,,,,,,,,1175466.74,138938.32,,,,,10428.54,,,,242105.35,,,1566938.95,,,,,,,,,,,,,,,,,113819671.22,,14249948.13,,,,,,85148228.34,1995223.74,,,32782.01,1244671.92,,,370.26,,,,,,,,,,102671224.4,,,,,,,,,,,,,,,,,,,,,,,,,102671224.4,,,,,,11148446.82,11148446.82,113819671.22,,,,,,,,,,,,,,,16433578.79,85148228.34,502609.6,1175466.74,138938.32,370.26,,,,0
833819.BJ,20160128,20160128,20150930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450626870.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2777655507.31,,,,,,1672971362.72,,,,,,,,,,,,,,,,,,,,,,,,,,0
920185.BJ,20160114,20160114,20150930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2487550900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149955100.0,,,,,,1337595800.0,,,,,,,,,,,,,,,,,,,,,,,,,,0
920344.BJ,20160430,20180424,20150930,1,1,3,110000000.0,7526727.31,16226831.85,9704497.45,,30811687.7,,5404552.95,51640501.66,4381977.19,1129389.49,,,18511876.54,,,,,,,,,355895.26,112235880.79,,,,,,,,93379741.68,,,,,,1864928.38,5547570.52,,417830.48,1130520.02,,,102340591.08,,,,,,,,,,,,,,,,,214576471.87,26750000.0,20000000.0,,,,,,186444.08,60065.88,,,2667690.14,3564663.01,,371110.0,13780020.17,,,,,,,,,218639.76,40848633.04,,,2365936.05,,,1153846.17,,30269782.22,,,,,,,,,,,,,,,,,71118415.26,,,,,,143458056.61,143458056.61,214576471.87,,,,,,,,,,,,,,,57045054.61,186444.08,4381977.19,93379741.68,,14151130.17,2365936.05,,,0
301035.SZ,20160429,20160429,20150930,1,1,3,180000000.0,489305065.49,389490914.84,39916919.97,3608942.96,823102482.51,,6538802.67,1038932672.43,13494068.35,29847465.61,,,291010136.81,,,,,,,,,20205027.8,2223956256.18,,,,,,,,602996861.74,66050647.58,,,,,41270142.52,,4626464.16,,18908246.56,,73144492.17,806996854.73,,,,825600.0,,,,,,,,,,,,,3030953110.91,,745230844.39,,,,,774748343.66,198693319.63,5662410.99,,,48921122.04,25746538.15,4487009.51,13258590.0,25581624.95,,,,,,,,,52197483.0,1896603886.32,,,,,2455792.73,178333.3,,2634126.03,,2076600.0,,,,,,,,,,,,,,,1899238012.35,,,,,27452996.45,1104262102.11,1131715098.56,3030953110.91,,1940258.85,,,,,,,,,,,,,1045471475.1,973441663.29,13494068.35,602996861.74,66050647.58,43327224.46,,,,1
688303.SH,20160428,20160428,20150930,1,1,3,633274141.35,21847797.04,116299927.13,8010611.25,,138437845.32,,67676978.74,92981804.04,648940.25,3944105.43,,,39423339.96,,,,,,,,,81851564.87,424964578.61,,,,,,,,2727340504.88,8724200.69,8298446.77,,,,164721814.08,,,,1786492.92,,,2910871459.34,,,,,,,,,,,,,,,,,3335836037.95,915000000.0,337000000.0,,,,,224000000.0,72139524.21,6564280.99,,,12569605.81,9330928.0,,,564068896.12,,,,,,,,255000000.0,,1480673235.13,,,,,,160730326.05,,1075730326.05,,,,,,,,,,,,,,,,,2556403561.18,,,,,,779432476.77,779432476.77,3335836037.95,,,,,,,,,,,,,,,160658782.78,296139524.21,648940.25,2727340504.88,17022647.46,564068896.12,,,,1
688226.SH,20160416,20160416,20150930,1,1,3,60000000.0,8000000.0,171146883.93,21768517.93,,132777454.9,,9250476.1,303397309.09,47099348.14,19044167.04,,,107702268.56,,,,,,,,,11023838.5,630294862.33,,,,,,,,93437468.93,992283.52,,,,,39663636.66,,3969705.59,351566.64,5650532.94,,,144065194.28,,,,,,,,,,,,,,,,,774360056.61,,245400000.0,,,,,90500000.0,62289126.13,34600158.59,,,8000239.11,13516755.06,,5363300.0,40191040.21,,,,,,,,,,499860619.1,,,,,,,,,,,,,,,,,,,,,,,,,499860619.1,,,,,13199333.55,261300103.96,274499437.51,774360056.61,,384702.1,,,,,,,,,,,,,312647785.19,152789126.13,47099348.14,93437468.93,992283.52,45554340.21,,,,1
688131.SH,20160426,20160426,20150930,1,1,3,20000000.0,1500000.0,3749289.14,761155.4,514918.15,8203209.69,,1104112.68,10124574.74,750630.24,3528995.86,,,27737805.04,,,,,,,,,2001828.81,53451157.06,,,,,,,,5934602.97,,,,,,,,810483.4,492966.76,994358.76,,222800.0,8455211.89,,,,,,,,,,,,,,,,,61906368.95,,9000000.0,,,,,,4042701.2,14464015.43,,,1117865.38,210125.85,14008.33,6262974.59,201460.16,,,,,,,,66389.89,,35379540.83,,,,,1465.43,,,1465.43,,,,,,,,,,,,,,,,,35381006.26,,,,,,26525362.69,26525362.69,61906368.95,,,,,,,,,,,,,,,11228687.42,4042701.2,750630.24,5934602.97,,6478443.08,,,,1
601528.SH,20160308,20160308,20150930,1,2,3,1293732441.0,304831385.25,1101484609.7,2970599654.46,,,2705583534.4,,,,,,346290109.74,,,,,1565000000.0,,,,2206000000.0,,,13405175234.94,3505451333.92,80000000.0,,,,,585096171.75,134998958.24,,,,,265035919.5,,,,250230618.88,36819480776.97,,,9465621742.67,2468663344.69,,,,,,,,,,,,,,8040498626.77,82099571482.39,,,,,250000000.0,,,,,5283400000.0,,43076819.22,81681118.29,836955397.59,,,,,,,,,,,,,2986607761.95,,,,7547535.19,,,,10183321387.86,,54648093050.41,,330719888.25,,,,,,,,,,,,75188628640.8,,1208359819.1,,,,6910942841.59,6910942841.59,82099571482.39,,31934932.08,,,,,,,,,,,,,,,,,,,,,,1
003035.SZ,20160112,20160112,20150930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2531405700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990195700.0,,,,,,541210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1
003013.SZ,20160323,20160323,20150930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575678700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267571700.0,,,,,,,,,,,,,,,,,,,,,,,,,,1
601568.SH,20161025,20161025,20150930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11381000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8311000000.0,,,,,,3069000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1
002997.SZ,20160430,20160430,20150930,1,1,3,135000000.0,8312780.27,34290338.69,24288931.71,,65912244.84,,64534000.0,132040230.72,30430683.57,10817387.24,,,479278347.81,,,,,,,,,10824221.03,793837115.21,19134117.65,,89571378.18,,,,,76443643.83,2981891.79,,,,,9882497.35,,,42703.61,18338838.62,,12341324.0,228736395.03,,,,,,,,,,,,,,,,,1022573510.24,,19000000.0,,,,,89080000.0,240448878.08,409358341.48,,,7273579.81,3966676.8,105965.27,,11558680.99,,,,,,,,28000000.0,,808792122.43,,,,,,7500000.0,,7500000.0,,,,,,,,,,,,,,,,,816292122.43,,,,,4389337.14,201892050.67,206281387.81,1022573510.24,,,,,,,,,,,,,,,196574230.72,329528878.08,30430683.57,76443643.83,2981891.79,11664646.26,,,,0
688595.SH,20160430,20160430,20150930,1,1,3,11111110.0,20888890.0,12002719.9,1355427.77,,12228998.91,,,10230009.59,1002392.37,3975479.2,,,11290264.52,,,,,,,,,9378.03,38736522.62,,,26629561.32,,,,,3466828.28,,,,,,3190585.19,,,,201582.08,,,33488556.87,,,,,,,,,,,,,,,,,72225079.49,,14290000.0,,,,,,3558435.69,361800.08,,,839543.3,-535938.65,,,653091.4,,,,,,,,,,19166931.82,,,,,,7700000.0,,7700000.0,,,,,,,,,,,,,,,,,26866931.82,,,,,,45358147.67,45358147.67,72225079.49,,,,,,,,,,,,,,,10230009.59,3558435.69,1002392.37,3466828.28,,653091.4,,,,1
003006.SZ,20160219,20160219,20150930,1,1,3,385000000.0,53792419.0,3572632.0,,,106184537.0,,8657097.0,43203300.0,80454519.0,3560939.0,,,61614199.0,,,,,,,,,1315858.0,304990449.0,,,,,,,,87961537.0,69085869.0,,,,,74978174.0,,,,7012800.0,,34646019.0,273684399.0,,,,,,,,,,,,,,,,,578674848.0,,,,,,,,46875270.0,31372007.0,,,11672949.0,6276146.0,,,38440760.0,,,,,,,,,722665.0,135359797.0,,,,,,950000.0,,950000.0,,,,,,,,,,,,,,,,,136309797.0,,,,,,442365051.0,442365051.0,578674848.0,,,,,,,,,,,,,,,51860397.0,46875270.0,80454519.0,87961537.0,69085869.0,38440760.0,,,,1
688577.SH,20160423,20160423,20150930,1,1,3,33740740.0,16713040.61,63209626.82,8139212.96,,13675788.84,,8314128.31,43215739.42,8872204.05,3560968.12,,,85822700.94,,,,,,,,,640820.32,164102350.0,2800000.0,,,,,,,80810717.92,95948.0,,,,,12072436.86,,,6151129.54,1776695.5,,11868187.68,115575115.5,,,,,,,,,,,,,,,,,279677465.5,16000000.0,47430000.0,,,,,,35461731.3,10296506.35,,,5628333.65,1700614.4,163657.66,,2594001.75,,,,,,,,34000000.0,,137274845.11,,,,,,4600000.0,,20600000.0,,,,,,,,,,,,,,,,,157874845.11,,,,,,121802620.39,121802620.39,279677465.5,,,,,,,,,,,,,,,51529867.73,35461731.3,8872204.05,80810717.92,95948.0,2757659.41,,,,1
688513.SH,20160430,20160430,20150930,1,1,3,86500000.0,40853744.0,99032920.69,5994804.61,1990774.12,59976057.22,,,6002846.23,3220826.67,2711583.32,,,27223648.96,,,,,,,,,2302657.54,101437619.94,,,,,,,,162872201.32,3374545.3,,,,,14277807.44,,1230363.73,,2404693.38,,6194231.75,190353842.92,,,,,,,,,,,,,,,,,291791462.86,,,,,,,,14447091.51,7022722.56,,,2695920.48,8937407.55,,,8886046.22,,,,,,,,,,41989188.32,,,,,,15430031.12,,15430031.12,,,,,,,,,,,,,,,,,57419219.44,,,,,,234372243.42,234372243.42,291791462.86,,,,,,,,,,,,,,,6002846.23,14447091.51,3220826.67,162872201.32,3374545.3,8886046.22,,,,1
605100.SH,20160430,20160430,20150930,1,1,3,50000000.0,260225303.07,8541088.8,504407.36,,31451637.96,,40797022.68,80758508.3,4292577.65,7936483.53,,,102817260.05,,,,,,,,,1965026.56,270018516.73,41040000.0,,,,,,,294924422.98,32154940.5,,,,,33606914.84,,,,1811641.68,,7500000.0,411037920.0,,,,,,,,,,,,,,,,,681056436.73,22331250.0,,,,,,50454380.46,242291895.23,7731392.2,,,2933753.88,2835848.34,93759.04,33809.6,3304548.75,,,,,,,,29775000.0,,339454387.5,,,,,,,,22331250.0,,,,,,,,,,,,,,,,,361785637.5,,,,,,319270799.23,319270799.23,681056436.73,,,,,,,,,,,,,,,121555530.98,292746275.69,4292577.65,294924422.98,32154940.5,3432117.39,,,,1
