ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
688111.SH,20240321,20240321,20231231,1,1,4,461723327.0,5177797385.24,4093062809.7,200756553.5,,3478159254.52,2570762119.72,2080000.0,566940348.12,49547644.58,21957492.65,,,1412787.6,,1154634585.44,,,,,,,2299838562.99,10146960782.49,,,1094062948.51,,,,,68991107.9,248056286.98,,,,,87027526.13,,184668972.58,46221703.38,40728324.07,,1944680525.63,3827060525.46,,,,,,,,,,,,,,,,,13974021307.95,,,,,,,,453484554.12,,,,463591057.46,70268322.72,,,103671965.14,,,,,,,,36734728.79,134163014.03,3153787786.19,,56710317.29,0.0,10000000.0,42967086.23,36640186.95,612638895.13,800627282.94,,,,,,,,,,,,,,,,,3954415069.13,,,,,70808511.07,9948797727.75,10019606238.82,13974021307.95,,15457652.31,,,,,,,,,,,1627986.87,1891874143.93,569020348.12,453484554.12,49547644.58,68991107.9,248056286.98,103671965.14,56710317.29,,,1
920433.BJ,20240321,20240321,20231231,1,1,4,258777181.0,130755572.08,71259528.6,32198080.59,,120815757.96,15125580.82,100000.0,50629931.13,320644.24,12805623.18,,,63738502.55,,,,,,,,,1235455.33,264771495.21,,,,,,,506526.37,126224101.81,263377154.83,,,,,21455631.93,,,1482460.55,5044934.52,,55292602.23,475486075.67,,,,,,,,,,,,,,,,,740257570.88,,123825526.2,,,,,,74996172.08,,,,4465269.9,210800.29,,,13001389.61,,,,,,,,474282.15,1092264.93,237902009.73,,407249.94,,,334236.63,12085702.0,,14016573.88,,,,,,,,,,,,,,,,,251918583.61,4651375.0,,,,,488338987.27,488338987.27,740257570.88,,,,,,,,,,,,,,19836304.57,50729931.13,74996172.08,320644.24,126224101.81,263377154.83,13001389.61,407249.94,,,1
603477.SH,20240323,20240323,20231231,1,1,4,509447511.0,2285050320.09,10324265.13,37115332.36,,445817777.47,,,43142163.82,10673017.08,64821692.75,,,1531600510.83,,,,,,,,,11245425.1,2111450567.73,,,,,,,17987883.28,3753394111.23,352981204.13,,,386175890.5,,99066708.08,,581123073.7,4754389.46,41988382.74,,25102541.29,5609514756.19,,,,,,,,,,,,,,,,,7720965323.92,615348579.11,1153271381.95,,,,,133000000.0,271564793.79,,,,66700740.63,7803015.73,,,697226863.01,,,,,,,,404861033.54,20284189.98,2775382847.66,748147399.3,236827295.29,0.0,5548167.65,4755825.4,14971681.23,,1845848102.62,,,,,,,,,,,,,,,,,4621230950.28,,,,,32164394.36,3067569979.28,3099734373.64,7720965323.92,,-2834072.54,228466623.24,,,,,,,,,,,20670829.03,43142163.82,404564793.79,10673017.08,3753394111.23,352981204.13,697226863.01,236827295.29,,,1
920992.BJ,20240323,20240323,20231231,1,1,4,96730934.0,377806775.8,100560928.83,24484564.51,1936769.22,557254810.73,,228500.0,3317585.32,862370.38,118159.0,,,27396969.78,,,,,,,,,1588784.87,590844407.76,,,,,,,,121387208.96,812484.31,,,,,10706019.24,,,2481783.55,229506.62,,27926.17,141979474.66,,,,,,,,,,,,,,,,,732823882.42,,5005041.67,,,,3123.71,28207109.08,33743563.11,,,,6476122.52,1929166.72,,,16219547.41,,,,,,,,3689304.48,2162876.03,120874302.44,,,,3525835.51,,3849824.54,,10429607.62,,,,,,,,,,,,,,,,,131303910.06,,,,,,601519972.36,601519972.36,732823882.42,,,,,,,,,,,,,77227.68,23438447.71,3546085.32,61950672.19,862370.38,121387208.96,812484.31,16219547.41,,,,1
601607.SH,20240329,20240329,20231231,1,1,4,3703301054.0,29187649155.53,33822332888.31,2306949383.63,,30517706443.04,10152154821.92,1908648955.48,72933881117.17,3142067903.41,3190044307.4,239065993.48,,36623393930.07,,77420057.49,,,,,,,1326776412.93,162433862348.46,,,8351910110.17,314673077.66,,,227939569.6,12155054666.68,3569629053.37,,,133427150.06,,6050835947.46,310509650.32,11393332202.2,474711155.94,1716858058.26,,440691051.61,49538671418.34,,,,2596393.11,,,,,,,,,,,,,211972533766.8,5786154730.58,35560499735.45,,,,,6717443536.29,47915010730.47,,,,1783979964.7,1217172193.69,,,,,,,,,,,2963475811.09,6291936544.95,122371879034.89,,,,39585088.27,1015820143.36,633481321.72,202396163.96,9274561766.98,,2316492.78,,,,,,,,,,,,,,,131646440801.87,,,,,11801949913.58,68524143051.35,80326092964.93,211972533766.8,38884169.72,-496089430.12,,,,,,,,,,,,1970690132.08,74842530072.65,54632454266.76,3381133896.89,12155054666.68,3569629053.37,17949353893.39,8163467.74,,,1
002356.SZ,20240329,20240329,20231231,1,1,4,1311254521.0,2059412755.76,-2817158530.58,29332370.58,,545675146.35,,,25113981.39,10655087.85,8007873.56,,,67571542.72,,,,,,,,,44753165.25,701776797.12,,,5531963.22,,,,,68276078.56,,,,,,16455274.77,,,5775280.42,,,,98896408.86,,,,,,,,,,,,,,,,,800673205.98,,,,,,,,8072446.67,123414.08,,,10278047.29,7460492.02,,,170419797.48,,,,,,,,2655321.09,190183.61,200662653.01,,,,9359793.09,,,825050.96,10539006.02,,,,,,,,,,,,,,,,,211201659.03,,,,,6630430.19,582841116.76,589471546.95,800673205.98,,,,,,,,,,,,,,1462950.77,25113981.39,8072446.67,10655087.85,68276078.56,,170419797.48,,,,1
300508.SZ,20240329,20240329,20231231,1,1,4,109094400.0,168617101.96,379274046.86,46146311.04,,43939240.76,160072816.27,93423760.57,46149254.99,723211.2,1439920.37,,,45661786.92,,,,,,,,,919941.79,410248532.91,,,,15357015.92,,,,333886059.64,,,,,,36160440.29,,92414911.17,1391846.03,2363459.95,,251400.0,481825133.0,,,,,,,,,,,,,,,,,892073665.91,,9899868.09,,,,,,45845715.01,,,,42373493.98,4938123.88,,,1774387.1,,,,,,,,30000000.0,45159514.69,184261026.17,,,,,225.9,4252422.08,,4252647.98,,,,,,,,,,,,,,,,,188513674.15,,,,,428131.9,703131859.86,703559991.76,892073665.91,,,,,,,,,,,,,,4269923.42,139573015.56,45845715.01,723211.2,333886059.64,,1774387.1,0.0,,,1
688722.SH,20240330,20240330,20231231,1,1,4,224666700.0,644641437.32,306886477.36,53289548.83,,456421341.84,,11161489.45,14875737.77,5619769.76,6544280.19,,,197954335.45,,,,,,,,,21689772.25,714266726.71,,,,2443028.25,,,,448463631.13,185554528.29,925572.15,,,,61991856.93,,19331528.43,1347552.85,1241352.89,,17202685.11,738599794.38,,,,,,,,,,,,,,,,,1452866521.09,,23844015.43,,,,,,45765154.5,,,,13105816.09,3184702.81,,,3216160.71,,,,,,,,67826.5,8671773.91,123945075.86,,,,5206582.71,5587838.72,16434583.48,,27232003.83,,,,,,,,,,,,,,,,,151177079.69,,,,,72205277.89,1229484163.51,1301689441.4,1452866521.09,,,,,,,,,,,,,,26089625.91,26037227.22,45765154.5,5619769.76,448463631.13,186480100.44,3216160.71,,,,1
000011.SZ,20240330,20240330,20231231,1,1,4,595979092.0,80488045.38,3872586802.17,116108727.08,,2748798476.72,,,502806453.88,624394372.82,11983086.35,,,11098209095.74,,,,,,,,,127774825.51,15114810796.59,,,84057750.55,386810800.47,,,,66436408.9,,,,,,889801.14,,9446847.38,21510397.88,1276440386.83,,3505155.93,1873251271.5,,,,,,,,,,,,,,,,,16988062068.09,1399889274.47,230915000.0,,,,,,662869059.59,2265223.56,,,218786111.78,4026957347.94,0.0,12202676.04,1205100618.21,,,,,,,,3092324853.07,68373661.13,10340219504.74,,400105655.56,0.0,650000.0,5862279.7,,127039225.54,1944117527.54,,,,,,,,,,,,,,,,,12284337032.28,,,,,41914707.06,4661810328.75,4703725035.81,16988062068.09,,-3352337.88,,,,,,,,,,,844485.57,820424953.42,502806453.88,662869059.59,624394372.82,66436408.9,,1217303294.25,400105655.56,,,1
002152.SZ,20240330,20240330,20231231,1,1,4,2483382898.0,3102868442.95,6015454976.72,799428833.59,,11716383526.34,174313756.51,77164868.32,2457377569.76,131546447.22,91170345.9,1911000.0,0.0,2570260908.44,,,,,,,,,1093843675.58,18805026903.71,,,984856125.9,130617217.86,,,,1492389361.07,391455588.23,,,,,264483549.34,,1554317791.43,22979795.13,313840251.04,,1627657287.53,7347319687.22,,,,,,,,,,,,,,,,,26152346590.93,308700000.0,239596221.41,,,,,1124823197.97,1584748896.55,,,,879025004.66,215299883.09,0.0,3485000.0,721261065.88,,,,,,,,20387234.81,3833278973.2,11220152696.05,,,,44138932.26,73853471.04,51687741.74,,512387474.67,,,,,,,,,,,,,,,,,11732540170.72,,,,,2415616340.11,12004190080.1,14419806420.21,26152346590.93,,-396945071.16,,,,,,,350896884.22,57868277.49,,,123625884.33,2540378940.99,2534542438.08,2709572094.52,133457447.22,1492389361.07,391455588.23,724746065.88,,,,1
