ts_code,name,fullname,enname,list_date,delist_date,market,curr_type,list_status,created_at,updated_at
02579.HK,中伟新材,中伟新材料股份有限公司,"CNGR Advanced Material Co., Ltd.",2025-11-17,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02580.HK,奥克斯电气,奥克斯电气有限公司,"AUX Electric Co., Ltd.",2025-09-02,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02581.HK,明基医院,明基医院集团股份有限公司,BenQ BM Holding Cayman Corp.,2025-12-22,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02582.HK,国富氢能,江苏国富氢能技术装备股份有限公司,"Jiangsu Guofu Hydrogen Energy Equipment Co., Ltd.",2024-11-15,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02583.HK,西普尼,深圳西普尼精密科技股份有限公司,"Shenzhen Hipine Precision Technology Co., Ltd.",2025-09-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02585.HK,梦金园,梦金园黄金珠宝集团股份有限公司,"Mokingran Jewellery Group Co., Ltd.",2024-11-29,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02586.HK,多点数智,多点数智有限公司,Dmall Inc.,2024-12-06,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02587.HK,健康之路,健康之路股份有限公司,HealthyWay Inc.,2024-12-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02588.HK,中银航空租赁,中银航空租赁有限公司,BOC Aviation Ltd.,2016-06-01,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02589.HK,沪上阿姨,沪上阿姨(上海)实业股份有限公司,"Auntea Jenny (Shanghai) Industrial Co., Ltd.",2025-05-08,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02590.HK,极智嘉-W,北京极智嘉科技股份有限公司,"Beijing Geekplus Technology Co., Ltd.",2025-07-09,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02591.HK,银诺医药-B,广州银诺医药集团股份有限公司,"Guangzhou Innogen Pharmaceutical Group Co., Ltd.",2025-08-15,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02592.HK,拨康视云-B,拨康视云制药有限公司,Cloudbreak Pharma Inc.,2025-07-03,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02593.HK,草姬集团,草姬集团控股有限公司,Herbs Generation Group Holdings Limited,2024-12-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02595.HK,劲方医药-B,劲方医药科技(上海)股份有限公司,GenFleet Therapeutics (Shanghai) Inc.,2025-09-19,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02596.HK,宜宾银行,宜宾市商业银行股份有限公司,"Yibin City Commercial Bank Co., Ltd.",2025-01-13,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02597.HK,讯众通信,北京讯众通信技术股份有限公司,"Beijing Xunzhong Communication Technology Co., Ltd.",2025-07-09,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02598.HK,连连数字,连连数字科技股份有限公司,"Lianlian DigiTech Co., Ltd.",2024-03-28,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02600.HK,中国铝业,中国铝业股份有限公司,Aluminum Corporation of China Limited,2001-12-12,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02601.HK,中国太保,中国太平洋保险(集团)股份有限公司,"China Pacific Insurance (Group) Co., Ltd.",2009-12-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02602.HK,万物云,万物云空间科技服务股份有限公司,Onewo Inc.,2022-09-29,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02603.HK,吉宏股份,厦门吉宏科技股份有限公司,"Xiamen Jihong Co., Ltd",2025-05-27,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02605.HK,METALIGHT,元光科技,MetaLight Inc.,2025-06-10,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02607.HK,上海医药,上海医药集团股份有限公司,"Shanghai Pharmaceuticals Holding Co., Ltd.",2011-05-20,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
