trade_date,open,high,low,close,pre_close,pct_chg,vol
2001-01-02,4756.181,4799.771,4734.07,4797.961,4752.751,0.9512,16647714.0
2001-01-03,4806.894,4825.904,4784.206,4822.946,4797.961,0.5207,13683525.0
2001-01-04,4833.52,4836.514,4795.043,4801.169,4822.946,-0.4515,10720936.0
2001-01-05,4800.955,4806.838,4768.112,4792.28,4801.169,-0.1851,10305972.0
2001-01-08,4793.402,4793.402,4699.119,4719.379,4792.28,-1.5212,12027320.0
2001-01-09,4708.791,4742.76,4684.873,4739.549,4719.379,0.4274,8770744.0
2001-01-10,4742.128,4788.8,4739.303,4787.199,4739.549,1.0054,10300156.0
2001-01-11,4795.246,4849.254,4790.377,4817.29,4787.199,0.6286,10586231.0
2001-01-12,4825.786,4825.786,4782.261,4793.096,4817.29,-0.5022,9822895.0
2001-01-15,4778.932,4778.932,4642.864,4648.996,4793.096,-3.0064,13555722.0
2001-01-16,4629.222,4685.103,4610.277,4678.181,4648.996,0.6278,9008748.0
2001-01-17,4687.541,4698.439,4652.796,4659.393,4678.181,-0.4016,6543077.0
2001-01-18,4661.67,4709.485,4661.67,4690.594,4659.393,0.6696,9851985.0
2001-01-19,4701.1,4745.141,4701.1,4743.368,4690.594,1.1251,9731529.0
2001-02-05,4754.243,4764.649,4629.33,4636.869,4743.368,-2.2452,8197591.0
2001-02-06,4624.216,4633.077,4533.743,4608.214,4636.869,-0.618,7732558.0
2001-02-07,4607.849,4623.772,4557.519,4560.027,4608.214,-1.0457,5981029.0
2001-02-08,4551.864,4561.802,4403.668,4410.29,4560.027,-3.2837,7375949.0
2001-02-09,4416.781,4493.902,4416.781,4478.805,4410.29,1.5535,10710060.0
2001-02-12,4488.152,4490.308,4412.762,4460.171,4478.805,-0.416,6600643.0
2001-02-13,4467.314,4491.705,4459.76,4463.92,4460.171,0.0841,5155447.0
2001-02-14,4464.517,4483.747,4456.05,4468.756,4463.92,0.1083,3334704.0
2001-02-15,4471.223,4488.602,4431.653,4435.738,4468.756,-0.7389,3820129.0
2001-02-16,4427.392,4443.654,4369.045,4441.605,4435.738,0.1323,5133184.0
2001-02-19,4443.489,4496.525,4418.313,4494.976,4441.605,1.2016,5332689.0
2001-02-20,4491.748,4530.165,4459.823,4474.765,4494.976,-0.4496,5749568.0
2001-02-21,4466.141,4466.141,4333.933,4362.647,4474.765,-2.5056,7582631.0
2001-02-22,4341.533,4388.61,4318.52,4352.403,4362.647,-0.2348,5062090.0
2001-02-23,4346.207,4414.003,4341.736,4413.339,4352.403,1.4001,5617098.0
